year,endorsers,people,organizations,candidates_with_pages,edges,projection_edges,density,leiden_Q,leiden_communities,slate_Q,ei_index,share_cross_slate,share_multi_candidate,share_people_held_elected_office,share_people_held_boulder_council,share_people_board_commission
2015,388,385,3,6,405,57764,0.7693865047017768,0.02547662324373123,6,0.00021040818956293217,-1.0,0.0,0.04381443298969072,0.1038961038961039,0.08051948051948052,0.012987012987012988
2017,79,61,18,6,80,1600,0.519311911716975,0.07035214843749994,6,0.005018788813733633,-1.0,0.0,0.012658227848101266,0.21311475409836064,0.19672131147540983,0.06557377049180328
2019,923,915,8,9,1039,244858,0.5754554021945791,0.10623080162664375,6,0.05240684654559313,-0.9768401348124085,0.013001083423618635,0.10184182015167931,0.07540983606557378,0.05792349726775956,0.04371584699453552
2021,469,449,20,8,624,29368,0.26759973028629747,0.4890486900473582,5,0.453126313126817,-0.91650390625,0.0255863539445629,0.19616204690831557,0.12694877505567928,0.09131403118040089,0.08463251670378619
2023,443,439,4,7,508,46340,0.4733256386423296,0.2959236334935213,6,0.22284941056395027,-0.9266227657572906,0.0,0.14446952595936793,0.11617312072892938,0.07517084282460136,0.07517084282460136
2025,445,439,6,7,537,40751,0.41250126531025405,0.38269508733798746,6,0.2946165197208366,-0.8766964935565356,0.04294478527607362,0.16179775280898875,0.1366742596810934,0.09339407744874716,0.07517084282460136
2026,245,242,3,7,329,9099,0.3044161927065908,0.44261431153067915,5,,-1.0,0.0,0.2,0.21487603305785125,0.10743801652892562,0.09917355371900827
