through_year,donors,campaigns,projection_edges,leiden_Q,leiden_communities,slate_Q,ei_index,share_cross_slate,giant_component_share
2015,1454,25,128721,0.558064737522934,11,0.4405281767656892,-0.9010525234892437,0.1125703564727955,0.9855570839064649
2017,2855,50,265912,0.6051586360924706,24,0.4443212552936897,-0.9169596430462599,0.05322656617993406,0.9898423817863398
2019,4053,70,406524,0.5988031558388526,25,0.4343568938747222,-0.9205642723785782,0.03568015291494107,0.993338267949667
2021,5746,95,571906,0.6426714214641726,23,0.4325664112772962,-0.9132751320265999,0.03240622607808114,0.9953010790114862
2023,7180,119,773551,0.6359772885179537,25,0.428382310408325,-0.8680752218356393,0.04352987732489118,0.9958217270194986
2025,7766,135,837406,0.6305956314542812,28,0.42435547240730975,-0.8635680015909712,0.04811946902654867,0.9961370074684522
2026,8161,146,883231,0.6176943248810172,25,0.41366491333306965,-0.8580691738973488,0.04883638928067701,0.9969366499203529
