year,candidates_compared,mantel_r,mantel_p,donor_overlap_slate_Q,endorser_overlap_slate_Q,donor_mean_within_side,donor_mean_across_side,endorser_mean_within_side,endorser_mean_across_side
2019,10,0.7121584732395658,0.001,0.4112682252641874,0.10558534675790361,0.09274656568029435,0.004245266906428638,0.053782177259269315,0.0026974564998534763
2021,8,0.7098433369474583,0.007,0.4055983507086499,0.2917361506938134,0.07033041166978028,0.003366634100500037,0.14184625743014714,0.016908159158233134
2025,7,0.5452328897585779,0.035,0.21596549737167264,-0.10259831641732807,0.13991716917410008,0.03578235072022818,0.020022482677281437,0.013905691899988477
2026,6,0.8304561136159903,0.003,,,0.06658773517575169,,0.13033683786890693,
