year,donors,returning_from_previous_cycle,returning_from_any_prior_cycle,dollars_share_from_returning,retained_of_previous
2017,1656,0.19384057971014493,0.19384057971014493,0.31322933772808853,0.22077028885832187
2019,1577,0.18706404565630944,0.24159797083069118,0.38153173731928963,0.17814009661835747
2021,1425,0.1529824561403509,0.19789473684210526,0.270508161547683,0.13823715916296767
2023,1659,0.12658227848101267,0.24291742013261,0.29080306758996755,0.14736842105263157
2025,873,0.24742268041237114,0.434135166093929,0.5209585699755156,0.1301989150090416
2026,752,0.2154255319148936,0.46808510638297873,0.6210180044729591,0.18556701030927836
