from_year,to_year,repeat_sided_donors,same_side_share
2015,2017,232,0.9396551724137931
2017,2019,225,0.9511111111111111
2019,2021,171,0.847953216374269
2021,2023,129,0.8914728682170543
2023,2025,171,0.9122807017543859
2025,2026,91,0.7912087912087912
