district_name,schools,pop_change,schools_change,boulder_valley
Adams County 14,12.0,3.9,6.9,False
Norwood R-2J,1.0,4.4,7.1,False
Telluride R-1,5.0,4.4,7.1,False
Douglas County Re 1,89.0,4.8,7.2,False
Garfield 16,4.0,5.2,7.4,False
Roaring Fork RE-1,14.0,5.2,7.4,False
Garfield Re-2,10.0,5.2,7.4,False
Fountain 8,13.0,5.2,7.4,False
Miami/Yoder 60 JT,3.0,5.2,7.4,False
Hanover 28,2.0,5.2,7.4,False
Peyton 23 Jt,4.0,5.2,7.4,False
Academy 20,40.0,5.2,7.4,False
Ellicott 22,3.0,5.2,7.4,False
Widefield 3,18.0,5.2,7.4,False
Harrison 2,29.0,5.2,7.4,False
Colorado Springs 11,60.0,5.2,7.4,False
Cheyenne Mountain 12,9.0,5.2,7.4,False
Manitou Springs 14,4.0,5.2,7.4,False
Calhan RJ-1,2.0,5.2,7.4,False
Edison 54 JT,3.0,5.2,7.4,False
District 49,33.0,5.2,7.4,False
Lewis-Palmer 38,10.0,5.2,7.4,False
Littleton 6,20.0,7.5,8.4,False
Deer Trail 26J,2.0,7.5,8.4,False
Adams-Arapahoe 28J,60.0,7.5,8.4,False
Sheridan 2,5.0,7.5,8.4,False
Byers 32J,10.0,7.5,8.4,False
Cherry Creek 5,69.0,7.5,8.4,False
Englewood 1,9.0,7.5,8.4,False
Lake County R-1,4.0,9.4,9.2,False
Crowley County RE-1-J,3.0,12.0,10.3,False
Gunnison Watershed RE1J,7.0,13.1,10.8,False
West Grand 1-JT,2.0,15.5,11.8,False
East Grand 2,4.0,15.5,11.8,False
Platte Canyon 1,3.0,22.1,14.4,False
Park County RE-2,5.0,22.1,14.4,False
Greeley 6,33.0,23.2,14.8,False
Weld RE-4,15.0,23.2,14.8,False
Prairie RE-11,2.0,23.2,14.8,False
Briggsdale RE-10,2.0,23.2,14.8,False
Pawnee RE-12,1.0,23.2,14.8,False
Platte Valley RE-7,4.0,23.2,14.8,False
Weld Re-8 Schools,7.0,23.2,14.8,False
Johnstown-Milliken RE-5J,10.0,23.2,14.8,False
Weld County School District RE-3J,8.0,23.2,14.8,False
Eaton RE-2,5.0,23.2,14.8,False
Weld County RE-1,6.0,23.2,14.8,False
Ault-Highland RE-9,3.0,23.2,14.8,False
Clear Creek RE-1,5.0,29.1,17.1,False
Ouray R-1,3.0,31.1,17.9,False
Ridgway R-2,3.0,31.1,17.9,False
Gilpin County RE-1,2.0,37.0,20.1,False
Custer County School District C-1,3.0,46.6,23.6,False
