outcome,fit,elasticity,ci_low,ci_high,observations,ci_width
teacher FTE,BVSD alone,0.9130627544388545,0.5976240679272959,1.2285014409504131,31,0.6308773730231172
teacher FTE,180-district panel,0.7436290895295695,0.6184084740500922,0.8688497050090468,5454,0.25044123095895454
schools,BVSD alone,0.834678896683176,0.5846698970468995,1.0846878963194524,31,0.5000179992725529
schools,180-district panel,0.4225332559634961,0.29259459688850215,0.55247191503849,5454,0.2598773181499879
