,coefficient,std_error,p_value,odds_ratio
log_enrollment,-1.0538240604987277,0.041230607632919816,4.3314506852030363e-144,0.3486021213760193
enrollment_3yr,-0.16247417974141315,0.1256405053061754,0.19595323920824903,0.850038038144
log_district,0.2657890075528363,0.025607362489232587,3.077092904346281e-25,1.3044597984839283
district_3yr,-0.3843903506060136,0.35838215392385375,0.2834635852778621,0.6808655990006435
