district_code,district_name,countyfips,teacher_fte,schools,enrollment,pop_5_17,pop_2060,pop_change,teacher_fte_2060_demography,teacher_fte_2060,schools_2060_demography,schools_2060,schools_change,fte_change,schools_change_demography
0010,Mapleton 1,001,404.6,20.0,7095.0,97924.0,101741,0.03897920836567126,416.3745054668997,442.46245834934274,20.328973249619903,21.14953786172388,0.05747689308619397,0.09357997614765878,0.01644866248099519
0030,Adams County 14,001,318.9,12.0,5221.0,97924.0,101741,0.03897920836567126,328.18049874788505,348.74265439348835,12.197383949771943,12.689722717034329,0.05747689308619397,0.09357997614765878,0.01644866248099519
0040,School District 27J,001,1231.0,34.0,24014.0,97924.0,101741,0.03897920836567126,1266.824063840221,1346.1969506377677,34.55925452435384,35.9542143649306,0.05747689308619419,0.09357997614765856,0.01644866248099519
0050,Bennett 29J,001,91.0,6.0,1793.0,97924.0,101741,0.03897920836567126,93.64824517421619,99.51577782943694,6.098691974885972,6.344861358517164,0.05747689308619397,0.09357997614765878,0.01644866248099519
0060,Strasburg 31J,001,66.7,4.0,1180.0,97924.0,101741,0.03897920836567126,68.6410764079145,72.94178440904884,4.065794649923981,4.229907572344776,0.05747689308619397,0.09357997614765856,0.01644866248099519
0070,Westminster Public Schools,001,428.4,18.0,7724.0,97924.0,101741,0.03897920836567126,440.86712343554075,468.48966178165693,18.296075924657913,19.03458407555149,0.05747689308619375,0.09357997614765856,0.01644866248099519
0100,Alamosa RE-11J,003,139.1,6.0,2038.0,2982.0,2592,-0.13078470824949695,125.2164113143509,133.06184804399498,5.651704531729435,5.8798315836892066,-0.02002806938513224,-0.0434087128397197,-0.05804924471176076
0110,Sangre De Cristo Re-22J,003,24.9,2.0,256.0,2982.0,2592,-0.13078470824949695,22.414727834128954,23.819123050290976,1.8839015105764785,1.9599438612297355,-0.02002806938513224,-0.04340871283971981,-0.05804924471176076
0120,Englewood 1,005,165.7,9.0,2406.0,111727.0,120069,0.07466413669032557,174.8972294542675,185.85541882793336,9.280797179896888,9.65540998716595,0.0728233319073277,0.12163801344558456,0.03119968665520978
0123,Sheridan 2,005,68.1,5.0,1018.0,111727.0,120069,0.07466413669032557,71.87991144137365,76.3835487156443,5.155998433276049,5.364116659536639,0.0728233319073277,0.12163801344558456,0.03119968665520978
0130,Cherry Creek 5,005,3213.7,69.0,52672.0,111727.0,120069,0.07466413669032557,3392.077406742181,3604.608083810075,71.15277837920948,74.02480990160561,0.0728233319073277,0.12163801344558456,0.03119968665520978
0140,Littleton 6,005,766.3,20.0,13110.0,111727.0,120069,0.07466413669032557,808.8337171442678,859.5112097033515,20.623993733104196,21.456466638146555,0.0728233319073277,0.12163801344558478,0.03119968665520978
0170,Deer Trail 26J,005,28.0,2.0,327.0,111727.0,120069,0.07466413669032557,29.554148610256426,31.40586437647637,2.0623993733104196,2.1456466638146554,0.0728233319073277,0.12163801344558456,0.03119968665520978
0180,Adams-Arapahoe 28J,005,2338.4,60.0,39813.0,111727.0,120069,0.07466413669032557,2468.1936110794154,2622.838330641155,61.871981199312586,64.36939991443965,0.07282333190732748,0.12163801344558456,0.03119968665520978
0190,Byers 32J,005,166.7,10.0,6853.0,111727.0,120069,0.07466413669032557,175.95273476177664,186.97705684137895,10.311996866552098,10.728233319073277,0.0728233319073277,0.12163801344558478,0.03119968665520978
0220,Archuleta County 50 Jt,007,112.8,5.0,1588.0,1905.0,1856,-0.0257217847769029,110.61632477153208,117.54699278981727,4.944717810872684,5.144307844398761,0.02886156887975222,0.04208326941327356,-0.011056437825463172
0230,Walsh RE-1,009,16.4,2.0,177.0,606.0,554,-0.08580858085808585,15.332550697655464,16.29321196513526,1.9248911639670367,2.002588032958318,0.0012940164791590547,-0.006511465540532835,-0.03755441801648163
0240,Pritchett RE-3,009,9.6,3.0,64.0,606.0,554,-0.08580858085808585,8.975151627895881,9.537489930810885,2.887336745950555,3.003882049437477,0.0012940164791590547,-0.006511465540532724,-0.03755441801648163
0250,Springfield RE-4,009,29.8,2.0,284.0,606.0,554,-0.08580858085808585,27.86036651159347,29.605958326892125,1.9248911639670367,2.002588032958318,0.0012940164791590547,-0.006511465540532724,-0.03755441801648163
0260,Vilas RE-5,009,8.0,2.0,54.0,606.0,554,-0.08580858085808585,7.479293023246568,7.947908275675738,1.9248911639670367,2.002588032958318,0.0012940164791590547,-0.006511465540532724,-0.03755441801648163
0270,Campo RE-6,009,5.7,2.0,47.0,606.0,554,-0.08580858085808585,5.32899627906318,5.662884646418963,1.9248911639670367,2.002588032958318,0.0012940164791590547,-0.006511465540532835,-0.03755441801648163
0290,Las Animas RE-1,011,37.3,5.0,906.0,781.0,434,-0.4443021766965429,24.004357475771567,25.5083509685985,3.891377698271526,4.048450403927821,-0.19030991921443585,-0.31613000084186327,-0.22172446034569482
0310,McClave Re-2,011,19.9,2.0,231.0,781.0,434,-0.4443021766965429,12.806614310130138,13.60901298324692,1.5565510793086104,1.6193801615711283,-0.19030991921443585,-0.31613000084186327,-0.22172446034569482
0470,St Vrain Valley RE1J,013,1956.7,55.0,32414.0,43997.0,38207,-0.1315998818101234,1760.162152336563,1870.4451468348086,51.78655624018363,53.87688391741747,-0.0204202924105914,-0.04408179749843688,-0.058426250178479466
0480,Boulder Valley Re 2,013,1591.6,56.0,27991.0,43997.0,38207,-0.1315998818101234,1431.734083742461,1521.4394111014878,52.72812999000515,54.85646362500689,-0.02042029241059129,-0.04408179749843688,-0.058426250178479466
