outcome,k,effect,low,high,significant,reps
enrolment,-4,0.07681394142838127,-0.012061795738092962,0.19036888200764213,False,1000
enrolment,-3,0.042042469256028614,-0.04074902171938788,0.12344753715792,False,1000
enrolment,-2,0.0214020540543709,-0.04163674725892186,0.08516704894359739,False,1000
enrolment,0,-0.021070526426298364,-0.05138619719394033,0.0051607154920612075,False,1000
enrolment,1,-0.02336914097246212,-0.060203084783898575,0.011894476369846307,False,1000
enrolment,2,-0.02248219600590229,-0.0667632224235939,0.020995302059243937,False,1000
enrolment,3,-0.0070480733766152825,-0.05780557430690392,0.04755305624281703,False,1000
enrolment,4,0.010222655930030466,-0.0474703910329789,0.07412279458383564,False,1000
enrolment,5,-0.0015304134858367124,-0.0638845873208771,0.06785342032912811,False,1000
schools,-4,-0.07169238728879246,-0.20126739863748166,0.0457434589383261,False,1000
schools,-3,-0.043446627415957284,-0.11589097137647131,0.01785909151607301,False,1000
schools,-2,-0.03630539870677307,-0.0922170894816643,0.01583873019928972,False,1000
schools,0,-0.16936961609601642,-0.23097951325809207,-0.10782323234459634,True,1000
schools,1,-0.14619559660981918,-0.2196463196509545,-0.07315796527572449,True,1000
schools,2,-0.11523222341072525,-0.19931673089811508,-0.035025431484501324,True,1000
schools,3,-0.15275720313246066,-0.23070710176582954,-0.06902460577670266,True,1000
schools,4,-0.14424353993972583,-0.22902326741204337,-0.052384121522055294,True,1000
schools,5,-0.15643677527032585,-0.24599000119885295,-0.05816191464359566,True,1000
staff,-4,0.05227949955338529,0.0011327932085576364,0.10722781661595371,True,1000
staff,-3,0.007000796357432115,-0.02952386144900976,0.0408859170032041,False,1000
staff,-2,0.015650622969159977,-0.007500257888504724,0.0447657644093431,False,1000
staff,0,0.017515765925797178,-0.0004116008346901623,0.034018787207417134,False,1000
staff,1,0.00847006082103463,-0.02013178918588643,0.036992445192771006,False,1000
staff,2,0.006755738193029437,-0.028340085607198362,0.04772589459903798,False,1000
staff,3,0.012556655843444231,-0.03299694908745632,0.06341190446801792,False,1000
staff,4,0.02603406037450129,-0.02909158862514649,0.08477230537181701,False,1000
staff,5,0.02248237552810206,-0.034775093633507725,0.08942775031098193,False,1000
