year,county 5-17 vs today,"even split, pupils","even split, per grade",under BVSD bar (shrink in place),under BVSD bar (do nothing),under Colorado bar (do nothing),smallest school (do nothing)
2030,0.8792644953064982,280.9250062504262,46.82083437507103,30,16,16,34.68547796531332
2040,0.8698320340023183,277.91133486374076,46.31855581062346,30,16,16,34.31338352675561
2050,0.9403368411482601,300.43762074686913,50.072936791144855,0,16,16,37.09467737833637
2060,0.8684001181898766,277.45383776166557,46.24230629361093,30,16,16,34.25689690114323
