t,schools,closing_median,all_median,share_of_typical
-6,410,209.0,391.0,0.5345268542199488
-5,438,205.0,389.0,0.5269922879177378
-4,473,189.0,389.0,0.48586118251928023
-3,511,157.0,389.5,0.4030808729139923
-2,543,150.0,389.0,0.3856041131105398
-1,564,128.5,389.0,0.33033419023136246
0,39,75.0,389.0,0.1928020565552699
