band,districts,median_enrollment,median_schools,median_school_size,lower_quartile,upper_quartile
under 300,60,189.5,2.0,96.66666666666666,62.875,135.875
300-999,43,514.0,3.0,181.2,140.16666666666666,226.95833333333331
1k-3k,26,1657.5,5.5,308.11428571428576,276.3303571428571,335.59375
3k-10k,18,5916.5,13.0,423.19841269841265,389.4270833333333,503.57291666666663
10k-30k,13,22265.0,33.0,499.8392857142857,440.28125,664.225
30k and over,6,57261.5,79.0,626.4477272727272,540.5394886363637,687.1037921348315
