school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2019-2020,high,Peak to Peak,Peak-to-Peak,409,,409.0,181.0,,1.0,410.0,591.0,
2019-2020,high,Justice High,Justice High,50,,50.0,37.0,,,50.0,87.0,
2019-2020,middle,Manhattan,Manhattan,492,276.0,216.0,32.0,15.0,,507.0,539.0,0.51
2019-2020,middle,Casey,Casey,616,501.0,115.0,5.0,13.0,,629.0,634.0,0.79
2019-2020,middle,Centennial,Centennial,628,570.0,58.0,5.0,2.0,,630.0,635.0,0.9
2019-2020,middle,Platt,Platt,507,332.0,175.0,16.0,9.0,,516.0,532.0,0.62
2019-2020,middle,Southern Hills,Southern Hills,507,377.0,130.0,14.0,8.0,,515.0,529.0,0.71
2019-2020,middle,Aspen Creek K-8,Aspen Creek K-8,332,312.0,20.0,71.0,4.0,,336.0,407.0,0.77
2019-2020,middle,Broomfield Heights,Broomfield Heights,387,314.0,73.0,165.0,11.0,,398.0,563.0,0.56
2019-2020,middle,Angevine,Angevine,669,649.0,20.0,10.0,6.0,,675.0,685.0,0.95
2019-2020,middle,Meadowlark,Meadowlark,160,139.0,21.0,16.0,8.0,,168.0,184.0,0.76
2019-2020,middle,Louisville Middle,Louisville Middle,643,535.0,108.0,5.0,5.0,,648.0,653.0,0.82
2019-2020,middle,Monarch K-8,Monarch K-8,345,256.0,89.0,22.0,6.0,,351.0,373.0,0.69
2019-2020,middle,Eldorado K-8,Eldorado K-8,426,410.0,16.0,10.0,,,426.0,436.0,0.94
2019-2020,middle,Nederland,Nederland,112,109.0,3.0,2.0,,,112.0,114.0,0.96
2019-2020,middle,Boulder Universal,Boulder Universal,12,,12.0,5.0,1.0,,13.0,18.0,
2019-2020,middle,Halcyon,Halcyon,6,,6.0,,1.0,,7.0,7.0,
2019-2020,middle,Horizons,Horizons,116,,116.0,2.0,,,116.0,118.0,
2019-2020,middle,Summit,Summit,358,,358.0,1.0,,,358.0,359.0,
2019-2020,middle,Justice High,Justice High,3,,3.0,7.0,,,3.0,10.0,
2019-2020,middle,Peak to Peak,Peak to Peak,305,,305.0,98.0,2.0,1.0,308.0,406.0,
2020-2021,elementary,Bear Creek,Bear Creek *,331,292.0,39.0,0.0,10.0,0.0,341.0,341.0,0.86
2020-2021,elementary,Columbine,Columbine,361,307.0,54.0,8.0,8.0,2.0,371.0,379.0,0.81
2020-2021,elementary,Creekside,Creekside *,286,247.0,39.0,3.0,8.0,2.0,296.0,299.0,0.83
2020-2021,elementary,Crest View,Crest View,433,394.0,39.0,5.0,7.0,0.0,440.0,445.0,0.89
2020-2021,elementary,Douglass,Douglass,287,204.0,83.0,4.0,6.0,0.0,293.0,297.0,0.69
2020-2021,elementary,Eisenhower,Eisenhower,311,265.0,46.0,13.0,12.0,0.0,323.0,336.0,0.79
2020-2021,elementary,Flatirons,Flatirons,166,116.0,50.0,5.0,1.0,0.0,167.0,172.0,0.67
2020-2021,elementary,Foothill,Foothill,410,386.0,24.0,1.0,9.0,1.0,420.0,421.0,0.92
2020-2021,elementary,Heatherwood,Heatherwood,205,195.0,10.0,11.0,8.0,0.0,213.0,224.0,0.87
2020-2021,elementary,Mesa,Mesa *,224,174.0,50.0,4.0,7.0,0.0,231.0,235.0,0.74
2020-2021,elementary,Whittier,Whittier,318,245.0,73.0,6.0,4.0,1.0,323.0,329.0,0.74
2020-2021,elementary,Aspen Creek K-8,Aspen Creek K-8,279,221.0,58.0,60.0,7.0,1.0,287.0,347.0,0.64
2020-2021,elementary,Birch,Birch,219,193.0,26.0,68.0,6.0,0.0,225.0,293.0,0.66
2020-2021,elementary,Emerald,Emerald,270,236.0,34.0,50.0,18.0,0.0,288.0,338.0,0.7
2020-2021,elementary,Kohl,Kohl,239,195.0,44.0,47.0,7.0,0.0,246.0,293.0,0.67
2020-2021,elementary,Lafayette,Lafayette Elem.,398,327.0,71.0,5.0,7.0,0.0,405.0,410.0,0.8
2020-2021,elementary,Ryan,Ryan,404,377.0,27.0,9.0,4.0,3.0,411.0,420.0,0.9
2020-2021,elementary,Sanchez,Sanchez,254,231.0,23.0,3.0,6.0,0.0,260.0,263.0,0.88
2020-2021,elementary,Meadowlark,Meadowlark,407,397.0,10.0,24.0,5.0,0.0,412.0,436.0,0.91
2020-2021,elementary,Coal Creek,Coal Creek,312,291.0,21.0,8.0,13.0,0.0,325.0,333.0,0.87
2020-2021,elementary,Fireside,Fireside,356,287.0,69.0,7.0,11.0,2.0,369.0,376.0,0.76
2020-2021,elementary,Louisville,Louisville Elem.,434,421.0,13.0,3.0,11.0,1.0,446.0,449.0,0.94
2020-2021,elementary,Monarch K-8,Monarch K-8,252,181.0,71.0,30.0,15.0,1.0,268.0,298.0,0.61
2020-2021,elementary,Eldorado K-8,Eldorado K-8,275,249.0,26.0,29.0,6.0,0.0,281.0,310.0,0.8
2020-2021,elementary,Superior,Superior,405,370.0,35.0,6.0,6.0,0.0,411.0,417.0,0.89
2020-2021,elementary,Gold Hill,Gold Hill,25,7.0,18.0,0.0,0.0,0.0,25.0,25.0,0.28
2020-2021,elementary,Jamestown,Jamestown,19,13.0,6.0,0.0,0.0,0.0,19.0,19.0,0.68
2020-2021,elementary,Nederland,Nederland Elem.,177,177.0,0.0,1.0,0.0,0.0,177.0,178.0,0.99
2020-2021,elementary,BCSIS,BCSIS,281,,281.0,3.0,1.0,0.0,282.0,285.0,
2020-2021,elementary,Boulder Universal,Boulder Universal,276,,276.0,37.0,0.0,1.0,277.0,314.0,
2020-2021,elementary,Halcyon,Halcyon,1,,1.0,0.0,3.0,0.0,4.0,4.0,
2020-2021,elementary,High Peaks,High Peaks,257,,257.0,15.0,1.0,0.0,258.0,273.0,
2020-2021,elementary,Community Montessori,Comm. Montessori,189,,189.0,17.0,2.0,0.0,191.0,208.0,
2020-2021,elementary,University Hill International,Uni-Hill Int.,367,,367.0,30.0,0.0,1.0,368.0,398.0,
2020-2021,elementary,Pioneer,Pioneer,360,,360.0,63.0,2.0,0.0,362.0,425.0,
2020-2021,elementary,Horizons,Horizons,220,,220.0,6.0,3.0,0.0,223.0,229.0,
2020-2021,elementary,Peak to Peak,Peak to Peak,362,,362.0,91.0,0.0,0.0,362.0,453.0,
2020-2021,high,Boulder,Boulder,2081,1953.0,128.0,14.0,13.0,8.0,2102.0,2116.0,0.92
2020-2021,high,Fairview,Fairview,1982,1336.0,646.0,21.0,20.0,13.0,2015.0,2036.0,0.66
2020-2021,high,Broomfield,Broomfield,881,869.0,12.0,645.0,1.0,1.0,883.0,1528.0,0.57
2020-2021,high,Centaurus,Centaurus,1388,1121.0,267.0,57.0,8.0,11.0,1407.0,1464.0,0.77
2020-2021,high,Monarch,Monarch,1460,1288.0,172.0,102.0,9.0,4.0,1473.0,1575.0,0.82
2020-2021,high,Nederland,Nederland,101,99.0,2.0,3.0,,2.0,103.0,106.0,0.93
2020-2021,high,Arapahoe Ridge,Arapahoe Ridge,115,,115.0,14.0,6.0,,121.0,135.0,
2020-2021,high,Boulder Universal,Boulder Universal,247,,247.0,36.0,4.0,,251.0,287.0,
2020-2021,high,Halcyon,Halcyon,5,,5.0,,4.0,1.0,10.0,10.0,
2020-2021,high,New Vista,New Vista,256,,256.0,48.0,1.0,1.0,258.0,306.0,
2020-2021,high,Boulder Prep,Boulder Prep,58,,58.0,36.0,,1.0,59.0,95.0,
2020-2021,high,Peak to Peak,Peak-to-Peak,417,,417.0,174.0,,1.0,418.0,592.0,
2020-2021,high,Justice High,Justice High,45,,45.0,35.0,3.0,,48.0,83.0,
2020-2021,middle,Manhattan,Manhattan,399,225.0,174.0,27.0,11.0,1.0,411.0,438.0,0.51
2020-2021,middle,Casey,Casey,482,396.0,86.0,7.0,14.0,,496.0,503.0,0.79
2020-2021,middle,Centennial,Centennial,533,483.0,50.0,10.0,1.0,3.0,537.0,547.0,0.88
2020-2021,middle,Platt,Platt,448,292.0,156.0,12.0,11.0,,459.0,471.0,0.62
2020-2021,middle,Southern Hills,Southern Hills,455,322.0,133.0,10.0,11.0,,466.0,476.0,0.68
2020-2021,middle,Aspen Creek K-8,Aspen Creek K-8,269,251.0,18.0,85.0,8.0,1.0,278.0,363.0,0.69
2020-2021,middle,Broomfield Heights,Broomfield Heights,350,288.0,62.0,153.0,11.0,,361.0,514.0,0.56
2020-2021,middle,Angevine,Angevine,619,605.0,14.0,8.0,5.0,3.0,627.0,635.0,0.95
2020-2021,middle,Meadowlark,Meadowlark,162,149.0,13.0,14.0,3.0,1.0,166.0,180.0,0.83
2020-2021,middle,Louisville Middle,Louisville Middle,588,473.0,115.0,6.0,8.0,,596.0,602.0,0.79
2020-2021,middle,Monarch K-8,Monarch K-8,312,219.0,93.0,25.0,4.0,4.0,320.0,345.0,0.63
2020-2021,middle,Eldorado K-8,Eldorado K-8,343,331.0,12.0,15.0,1.0,,344.0,359.0,0.92
2020-2021,middle,Nederland,Nederland,101,99.0,2.0,3.0,,,101.0,104.0,0.95
2020-2021,middle,Boulder Universal,Boulder Universal,289,,289.0,47.0,,1.0,290.0,337.0,
2020-2021,middle,Halcyon,Halcyon,4,,4.0,,1.0,,5.0,5.0,
2020-2021,middle,Horizons,Horizons,115,,115.0,3.0,1.0,,116.0,119.0,
2020-2021,middle,Summit,Summit,348,,348.0,4.0,1.0,1.0,350.0,354.0,
2020-2021,middle,Justice High,Justice High,3,,3.0,,,,3.0,3.0,
2020-2021,middle,Peak to Peak,Peak to Peak,328,,328.0,76.0,2.0,,330.0,406.0,
2021-2022,elementary,Bear Creek,Bear Creek *,337,300.0,37.0,2.0,7.0,0.0,344.0,346.0,0.87
2021-2022,elementary,Columbine,Columbine,341,287.0,54.0,8.0,13.0,0.0,354.0,362.0,0.79
2021-2022,elementary,Creekside,Creekside *,286,256.0,30.0,6.0,9.0,0.0,295.0,301.0,0.85
2021-2022,elementary,Crest View,Crest View,434,398.0,36.0,7.0,6.0,0.0,440.0,447.0,0.89
2021-2022,elementary,Douglass,Douglass,279,214.0,65.0,4.0,7.0,0.0,286.0,290.0,0.74
2021-2022,elementary,Eisenhower,Eisenhower,327,270.0,57.0,9.0,15.0,2.0,344.0,353.0,0.76
2021-2022,elementary,Flatirons,Flatirons,178,126.0,52.0,3.0,1.0,0.0,179.0,182.0,0.69
2021-2022,elementary,Foothill,Foothill,421,385.0,36.0,1.0,11.0,1.0,433.0,434.0,0.89
2021-2022,elementary,Heatherwood,Heatherwood,218,207.0,11.0,12.0,5.0,0.0,223.0,235.0,0.88
2021-2022,elementary,Mesa,Mesa *,235,190.0,45.0,4.0,8.0,0.0,243.0,247.0,0.77
2021-2022,elementary,Whittier,Whittier,310,237.0,73.0,7.0,8.0,0.0,318.0,325.0,0.73
2021-2022,elementary,Aspen Creek K-8,Aspen Creek K-8,301,233.0,68.0,56.0,7.0,0.0,308.0,364.0,0.64
2021-2022,elementary,Birch,Birch,238,208.0,30.0,61.0,5.0,3.0,246.0,307.0,0.68
2021-2022,elementary,Emerald,Emerald,275,239.0,36.0,54.0,10.0,0.0,285.0,339.0,0.71
2021-2022,elementary,Kohl,Kohl,241,206.0,35.0,45.0,4.0,0.0,245.0,290.0,0.71
2021-2022,elementary,Lafayette,Lafayette Elem.,443,380.0,63.0,0.0,7.0,0.0,450.0,450.0,0.84
2021-2022,elementary,Ryan,Ryan,440,418.0,22.0,6.0,6.0,1.0,447.0,453.0,0.92
2021-2022,elementary,Sanchez,Sanchez,279,262.0,17.0,4.0,6.0,1.0,286.0,290.0,0.9
2021-2022,elementary,Meadowlark,Meadowlark,432,424.0,8.0,16.0,1.0,1.0,434.0,450.0,0.94
2021-2022,elementary,Coal Creek,Coal Creek,349,328.0,21.0,9.0,13.0,0.0,362.0,371.0,0.88
2021-2022,elementary,Fireside,Fireside,391,310.0,81.0,11.0,11.0,1.0,403.0,414.0,0.75
2021-2022,elementary,Louisville,Louisville Elem.,440,423.0,17.0,4.0,8.0,0.0,448.0,452.0,0.94
2021-2022,elementary,Monarch K-8,Monarch K-8,250,183.0,67.0,24.0,15.0,0.0,265.0,289.0,0.63
2021-2022,elementary,Eldorado K-8,Eldorado K-8,265,240.0,25.0,29.0,1.0,0.0,266.0,295.0,0.81
2021-2022,elementary,Superior,Superior,437,399.0,38.0,5.0,11.0,0.0,448.0,453.0,0.88
2021-2022,elementary,Gold Hill,Gold Hill,17,10.0,7.0,0.0,0.0,0.0,17.0,17.0,0.59
2021-2022,elementary,Jamestown,Jamestown,20,11.0,9.0,0.0,0.0,0.0,20.0,20.0,0.55
2021-2022,elementary,Nederland,Nederland Elem.,177,177.0,,3.0,0.0,2.0,179.0,182.0,0.97
2021-2022,elementary,BCSIS,BCSIS,273,,273.0,9.0,3.0,1.0,277.0,286.0,
2021-2022,elementary,Boulder Universal,Boulder Universal,65,,65.0,30.0,0.0,1.0,66.0,96.0,
2021-2022,elementary,Halcyon,Halcyon,0,,,0.0,1.0,0.0,1.0,1.0,
2021-2022,elementary,High Peaks,High Peaks,240,,240.0,16.0,2.0,1.0,243.0,259.0,
2021-2022,elementary,Community Montessori,Comm. Montessori,186,,186.0,23.0,2.0,0.0,188.0,211.0,
2021-2022,elementary,University Hill International,Uni-Hill Int.,372,,372.0,20.0,3.0,0.0,375.0,395.0,
2021-2022,elementary,Pioneer,Pioneer,361,,361.0,63.0,6.0,0.0,367.0,430.0,
2021-2022,elementary,Horizons,Horizons,221,,221.0,6.0,5.0,0.0,226.0,232.0,
2021-2022,elementary,Peak to Peak,Peak to Peak,377,,377.0,74.0,1.0,1.0,379.0,453.0,
2021-2022,high,Boulder,Boulder,2090,1967.0,123.0,13.0,14.0,6.0,2110.0,2123.0,0.93
2021-2022,high,Fairview,Fairview,1904,1290.0,614.0,37.0,17.0,8.0,1929.0,1966.0,0.66
2021-2022,high,Broomfield,Broomfield,889,875.0,14.0,702.0,1.0,3.0,893.0,1595.0,0.55
2021-2022,high,Centaurus,Centaurus,1494,1181.0,313.0,52.0,11.0,9.0,1514.0,1566.0,0.75
2021-2022,high,Monarch,Monarch,1401,1238.0,163.0,91.0,7.0,8.0,1416.0,1507.0,0.82
2021-2022,high,Nederland,Nederland,119,118.0,1.0,,,,119.0,119.0,0.99
2021-2022,high,Arapahoe Ridge,Arapahoe Ridge,107,,107.0,16.0,4.0,1.0,112.0,128.0,
2021-2022,high,Boulder Universal,Boulder Universal,153,,153.0,47.0,2.0,1.0,156.0,203.0,
2021-2022,high,Halcyon,Halcyon,0,,,,6.0,,6.0,6.0,
2021-2022,high,New Vista,New Vista,245,,245.0,36.0,2.0,,247.0,283.0,
2021-2022,high,Boulder Prep,Boulder Prep,50,,50.0,44.0,1.0,2.0,53.0,97.0,
2021-2022,high,Peak to Peak,Peak-to-Peak,437,,437.0,152.0,,1.0,438.0,590.0,
2021-2022,high,Justice High,Justice High,41,,41.0,41.0,,,41.0,82.0,
2021-2022,middle,Manhattan,Manhattan,391,219.0,172.0,28.0,10.0,,401.0,429.0,0.51
2021-2022,middle,Casey,Casey,485,400.0,85.0,8.0,5.0,1.0,491.0,499.0,0.8
2021-2022,middle,Centennial,Centennial,586,534.0,52.0,2.0,2.0,3.0,591.0,593.0,0.9
2021-2022,middle,Platt,Platt,430,270.0,160.0,12.0,10.0,2.0,442.0,454.0,0.59
2021-2022,middle,Southern Hills,Southern Hills,464,324.0,140.0,9.0,7.0,1.0,472.0,481.0,0.67
2021-2022,middle,Aspen Creek K-8,Aspen Creek K-8,252,231.0,21.0,79.0,9.0,,261.0,340.0,0.68
2021-2022,middle,Broomfield Heights,Broomfield Heights,355,294.0,61.0,140.0,16.0,3.0,374.0,514.0,0.57
2021-2022,middle,Angevine,Angevine,638,624.0,14.0,9.0,7.0,1.0,646.0,655.0,0.95
2021-2022,middle,Meadowlark,Meadowlark,157,147.0,10.0,11.0,,1.0,158.0,169.0,0.87
2021-2022,middle,Louisville Middle,Louisville Middle,571,461.0,110.0,9.0,9.0,,580.0,589.0,0.78
2021-2022,middle,Monarch K-8,Monarch K-8,333,239.0,94.0,29.0,5.0,,338.0,367.0,0.65
2021-2022,middle,Eldorado K-8,Eldorado K-8,327,311.0,16.0,16.0,,,327.0,343.0,0.91
2021-2022,middle,Nederland,Nederland,105,105.0,,1.0,,,105.0,106.0,0.99
2021-2022,middle,Boulder Universal,Boulder Universal,51,,51.0,24.0,2.0,,53.0,77.0,
2021-2022,middle,Halcyon,Halcyon,7,,7.0,,1.0,,8.0,8.0,
2021-2022,middle,Horizons,Horizons,107,,107.0,6.0,3.0,,110.0,116.0,
2021-2022,middle,Summit,Summit,345,,345.0,7.0,4.0,,349.0,356.0,
2021-2022,middle,Justice High,Justice High,0,,,,,,,,
2021-2022,middle,Peak to Peak,Peak to Peak,326,,326.0,76.0,2.0,1.0,329.0,405.0,
2022-2023,elementary,Bear Creek,Bear Creek *,330,291.0,39.0,4.0,8.0,0.0,338.0,342.0,0.85
2022-2023,elementary,Columbine,Columbine,340,282.0,58.0,7.0,12.0,0.0,352.0,359.0,0.79
2022-2023,elementary,Creekside,Creekside *,320,287.0,33.0,2.0,12.0,3.0,335.0,337.0,0.85
2022-2023,elementary,Crest View,Crest View,416,379.0,37.0,13.0,5.0,0.0,421.0,434.0,0.87
2022-2023,elementary,Douglass,Douglass,291,212.0,79.0,0.0,6.0,1.0,298.0,298.0,0.71
2022-2023,elementary,Eisenhower,Eisenhower,285,238.0,47.0,4.0,12.0,2.0,299.0,303.0,0.79
2022-2023,elementary,Flatirons,Flatirons,176,128.0,48.0,3.0,2.0,0.0,178.0,181.0,0.71
2022-2023,elementary,Foothill,Foothill,424,381.0,43.0,1.0,12.0,0.0,436.0,437.0,0.87
2022-2023,elementary,Heatherwood,Heatherwood,216,205.0,11.0,12.0,5.0,0.0,221.0,233.0,0.88
2022-2023,elementary,Mesa,Mesa *,229,182.0,47.0,5.0,11.0,1.0,241.0,246.0,0.74
2022-2023,elementary,Whittier,Whittier,314,230.0,84.0,9.0,6.0,0.0,320.0,329.0,0.7
2022-2023,elementary,Aspen Creek K-8,Aspen Creek K-8,302,235.0,67.0,64.0,12.0,0.0,314.0,378.0,0.62
2022-2023,elementary,Birch,Birch,238,202.0,36.0,64.0,4.0,3.0,245.0,309.0,0.65
2022-2023,elementary,Emerald,Emerald,308,266.0,42.0,49.0,10.0,,318.0,367.0,0.72
2022-2023,elementary,Kohl,Kohl,226,193.0,33.0,39.0,2.0,0.0,228.0,267.0,0.72
2022-2023,elementary,Lafayette,Lafayette Elem.,423,350.0,73.0,3.0,6.0,0.0,429.0,432.0,0.81
2022-2023,elementary,Ryan,Ryan,405,386.0,19.0,5.0,6.0,0.0,411.0,416.0,0.93
2022-2023,elementary,Sanchez,Sanchez,290,270.0,20.0,7.0,4.0,1.0,295.0,302.0,0.89
2022-2023,elementary,Meadowlark,Meadowlark,451,442.0,9.0,14.0,8.0,2.0,461.0,475.0,0.93
2022-2023,elementary,Coal Creek,Coal Creek,303,280.0,23.0,15.0,12.0,0.0,315.0,330.0,0.85
2022-2023,elementary,Fireside,Fireside,366,281.0,85.0,9.0,9.0,0.0,375.0,384.0,0.73
2022-2023,elementary,Louisville,Louisville Elem.,433,402.0,31.0,8.0,10.0,0.0,443.0,451.0,0.89
2022-2023,elementary,Monarch K-8,Monarch K-8,239,168.0,71.0,30.0,16.0,1.0,256.0,286.0,0.59
2022-2023,elementary,Eldorado K-8,Eldorado K-8,261,235.0,26.0,24.0,2.0,0.0,263.0,287.0,0.82
2022-2023,elementary,Superior,Superior,405,362.0,43.0,7.0,7.0,1.0,413.0,420.0,0.86
2022-2023,elementary,Gold Hill,Gold Hill,15,9.0,6.0,0.0,0.0,0.0,15.0,15.0,0.6
2022-2023,elementary,Jamestown,Jamestown,17,10.0,7.0,0.0,0.0,0.0,17.0,17.0,0.59
2022-2023,elementary,Nederland,Nederland Elem.,169,169.0,,1.0,0.0,0.0,169.0,170.0,0.99
2022-2023,elementary,BCSIS,BCSIS,272,,272.0,10.0,2.0,0.0,274.0,284.0,
2022-2023,elementary,Boulder Universal,Boulder Universal,18,,18.0,12.0,3.0,0.0,21.0,33.0,
2022-2023,elementary,Halcyon,Halcyon,1,,1.0,0.0,1.0,0.0,2.0,2.0,
2022-2023,elementary,High Peaks,High Peaks,246,,246.0,17.0,2.0,0.0,248.0,265.0,
2022-2023,elementary,Community Montessori,Comm. Montessori,193,,193.0,28.0,2.0,1.0,196.0,224.0,
2022-2023,elementary,University Hill International,Uni-Hill Int.,354,,354.0,18.0,4.0,1.0,359.0,377.0,
2022-2023,elementary,Pioneer,Pioneer,321,,321.0,62.0,18.0,0.0,339.0,401.0,
2022-2023,elementary,Horizons,Horizons,211,,211.0,9.0,10.0,0.0,221.0,230.0,
2022-2023,elementary,Peak to Peak,Peak to Peak,371,,371.0,77.0,1.0,0.0,372.0,449.0,
2022-2023,high,Boulder,Boulder,2022,1883.0,139.0,14.0,15.0,8.0,2045.0,2059.0,0.91
2022-2023,high,Fairview,Fairview,1806,1240.0,566.0,44.0,14.0,9.0,1829.0,1873.0,0.66
2022-2023,high,Broomfield,Broomfield,872,858.0,14.0,750.0,2.0,3.0,877.0,1627.0,0.53
2022-2023,high,Centaurus,Centaurus,1438,1145.0,293.0,44.0,14.0,12.0,1464.0,1508.0,0.76
2022-2023,high,Monarch,Monarch,1401,1245.0,156.0,97.0,4.0,13.0,1418.0,1515.0,0.82
2022-2023,high,Nederland,Nederland,124,122.0,2.0,4.0,,,124.0,128.0,0.95
2022-2023,high,Arapahoe Ridge,Arapahoe Ridge,139,,139.0,22.0,20.0,,159.0,181.0,
2022-2023,high,Boulder Universal,Boulder Universal,79,,79.0,37.0,8.0,,87.0,124.0,
2022-2023,high,Halcyon,Halcyon,9,,9.0,,6.0,,15.0,15.0,
2022-2023,high,New Vista,New Vista,267,,267.0,38.0,4.0,,271.0,309.0,
2022-2023,high,Boulder Prep,Boulder Prep,49,,49.0,48.0,10.0,1.0,60.0,108.0,
2022-2023,high,Peak to Peak,Peak-to-Peak,455,,455.0,138.0,2.0,1.0,458.0,596.0,
2022-2023,high,Justice High,Justice High,55,,55.0,34.0,5.0,,60.0,94.0,
2022-2023,middle,Manhattan,Manhattan,354,199.0,155.0,27.0,16.0,2.0,372.0,399.0,0.5
2022-2023,middle,Casey,Casey,430,358.0,72.0,11.0,6.0,3.0,439.0,450.0,0.8
2022-2023,middle,Centennial,Centennial,556,494.0,62.0,7.0,2.0,1.0,559.0,566.0,0.87
2022-2023,middle,Platt,Platt,438,257.0,181.0,10.0,15.0,1.0,454.0,464.0,0.55
2022-2023,middle,Southern Hills,Southern Hills,432,298.0,134.0,14.0,7.0,1.0,440.0,454.0,0.66
2022-2023,middle,Aspen Creek K-8,Aspen Creek K-8,253,229.0,24.0,73.0,8.0,,261.0,334.0,0.69
2022-2023,middle,Broomfield Heights,Broomfield Heights,335,271.0,64.0,140.0,10.0,,345.0,485.0,0.56
2022-2023,middle,Angevine,Angevine,635,614.0,21.0,11.0,5.0,3.0,643.0,654.0,0.94
2022-2023,middle,Meadowlark,Meadowlark,168,157.0,11.0,20.0,,,168.0,188.0,0.84
2022-2023,middle,Louisville Middle,Louisville Middle,573,453.0,120.0,7.0,15.0,,588.0,595.0,0.76
2022-2023,middle,Monarch K-8,Monarch K-8,336,227.0,109.0,35.0,12.0,,348.0,383.0,0.59
2022-2023,middle,Eldorado K-8,Eldorado K-8,287,275.0,12.0,12.0,4.0,,291.0,303.0,0.91
2022-2023,middle,Nederland,Nederland,104,102.0,2.0,4.0,,,104.0,108.0,0.94
2022-2023,middle,Boulder Universal,Boulder Universal,26,,26.0,11.0,2.0,,28.0,39.0,
2022-2023,middle,Halcyon,Halcyon,5,,5.0,,2.0,,7.0,7.0,
2022-2023,middle,Horizons,Horizons,109,,109.0,7.0,2.0,,111.0,118.0,
2022-2023,middle,Summit,Summit,344,,344.0,5.0,5.0,2.0,351.0,356.0,
2022-2023,middle,Justice High,Justice High,5,,5.0,1.0,1.0,,6.0,7.0,
2022-2023,middle,Peak to Peak,Peak to Peak,331,,331.0,71.0,3.0,,334.0,405.0,
2023-2024,elementary,Bear Creek,Bear Creek *,282,231.0,51.0,7.0,9.0,0.0,291.0,298.0,0.78
2023-2024,elementary,Columbine,Columbine,337,277.0,60.0,7.0,5.0,3.0,345.0,352.0,0.79
2023-2024,elementary,Creekside,Creekside *,320,281.0,39.0,3.0,9.0,1.0,330.0,333.0,0.84
2023-2024,elementary,Crest View,Crest View,398,360.0,38.0,11.0,1.0,0.0,399.0,410.0,0.88
2023-2024,elementary,Douglass,Douglass,274,187.0,87.0,3.0,9.0,0.0,283.0,286.0,0.65
2023-2024,elementary,Eisenhower,Eisenhower,296,244.0,52.0,3.0,12.0,0.0,308.0,311.0,0.78
2023-2024,elementary,Flatirons,Flatirons,156,125.0,31.0,3.0,5.0,0.0,161.0,164.0,0.76
2023-2024,elementary,Foothill,Foothill,423,360.0,63.0,3.0,11.0,0.0,434.0,437.0,0.82
2023-2024,elementary,Heatherwood,Heatherwood,206,193.0,13.0,14.0,6.0,0.0,212.0,226.0,0.85
2023-2024,elementary,Mesa,Mesa *,215,166.0,49.0,5.0,13.0,0.0,228.0,233.0,0.71
2023-2024,elementary,Whittier,Whittier,272,196.0,76.0,13.0,6.0,0.0,278.0,291.0,0.67
2023-2024,elementary,Aspen Creek K-8,Aspen Creek K-8,318,238.0,80.0,88.0,12.0,2.0,332.0,420.0,0.57
2023-2024,elementary,Birch,Birch,217,188.0,29.0,53.0,7.0,2.0,226.0,279.0,0.67
2023-2024,elementary,Emerald,Emerald,291,250.0,41.0,58.0,6.0,1.0,298.0,356.0,0.7
2023-2024,elementary,Kohl,Kohl,214,188.0,26.0,30.0,7.0,0.0,221.0,251.0,0.75
2023-2024,elementary,Lafayette,Lafayette Elem.,430,354.0,76.0,3.0,8.0,3.0,441.0,444.0,0.8
2023-2024,elementary,Ryan,Ryan,409,384.0,25.0,12.0,5.0,0.0,414.0,426.0,0.9
2023-2024,elementary,Sanchez,Sanchez,274,251.0,23.0,9.0,0.0,2.0,276.0,285.0,0.88
2023-2024,elementary,Meadowlark,Meadowlark,439,433.0,6.0,18.0,7.0,0.0,446.0,464.0,0.93
2023-2024,elementary,Coal Creek,Coal Creek,284,260.0,24.0,11.0,10.0,0.0,294.0,305.0,0.85
2023-2024,elementary,Fireside,Fireside,370,267.0,103.0,11.0,15.0,0.0,385.0,396.0,0.67
2023-2024,elementary,Louisville,Louisville Elem.,405,369.0,36.0,8.0,9.0,0.0,414.0,422.0,0.87
2023-2024,elementary,Monarch K-8,Monarch K-8,230,154.0,76.0,29.0,15.0,0.0,245.0,274.0,0.56
2023-2024,elementary,Eldorado K-8,Eldorado K-8,237,212.0,25.0,22.0,4.0,0.0,241.0,263.0,0.81
2023-2024,elementary,Superior,Superior,410,359.0,51.0,8.0,10.0,1.0,421.0,429.0,0.84
2023-2024,elementary,Gold Hill,Gold Hill,12,9.0,3.0,0.0,0.0,0.0,12.0,12.0,0.75
2023-2024,elementary,Jamestown,Jamestown,18,8.0,10.0,0.0,0.0,0.0,18.0,18.0,0.44
2023-2024,elementary,Nederland,Nederland Elem.,163,162.0,1.0,2.0,0.0,0.0,163.0,165.0,0.98
2023-2024,elementary,BCSIS,BCSIS,251,,251.0,12.0,1.0,1.0,253.0,265.0,
2023-2024,elementary,Boulder Universal,Boulder Universal,14,,14.0,22.0,5.0,0.0,19.0,41.0,
2023-2024,elementary,Halcyon,Halcyon,1,,1.0,0.0,2.0,0.0,3.0,3.0,
2023-2024,elementary,High Peaks,High Peaks,230,,230.0,14.0,1.0,0.0,231.0,245.0,
