GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G1700550","1990","IL",,,,,,,,,,,,"99","Franklin","055",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001067334","0000050056","Franklin County","A","+37992100","-088923398","06",408,994,1072,482,511,1615,1146,1093,559,606,589,608,570,574,490,473,1341,2608,2843,2782,2702,2306,2010,1776,792,1227,2401,2064,1683,1129,865
"G1700570","1990","IL",,,,,,,,,,,,"99","Fulton","057",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002242142","0000043955","Fulton County","A","+40479374","-090213361","06",404,897,909,457,518,1565,1181,1205,545,549,541,533,505,481,458,397,1358,2658,2817,2862,2452,1964,1820,1791,766,1222,2005,1820,1534,1018,848
"G1700590","1990","IL",,,,,,,,,,,,"99","Gallatin","059",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000838489","0000012118","Gallatin County","A","+37758035","-088229386","06",92,153,164,75,97,297,180,165,103,99,92,121,93,101,89,79,229,413,452,431,485,433,410,356,152,193,348,359,319,179,150
"G1700610","1990","IL",,,,,,,,,,,,"99","Greene","061",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001406695","0000008411","Greene County","A","+39352324","-090386150","06",177,438,448,250,214,700,464,478,229,228,204,229,178,199,166,159,547,992,1159,1046,864,788,735,717,341,467,804,732,601,419,344
"G1700630","1990","IL",,,,,,,,,,,,"14","Grundy","063",,,"3","1602",,,,"3690","2","Illinois","17",,,,"0001088154","0000026686","Grundy County","A","+41288933","-088427508","06",432,962,955,445,556,1589,1057,966,496,513,463,502,462,402,421,400,1171,2540,2779,2612,2361,1881,1556,1306,546,793,1330,1009,882,527,423
"G1700650","1990","IL",,,,,,,,,,,,"99","Hamilton","065",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001127144","0000001746","Hamilton County","A","+38081349","-088540845","06",97,194,211,124,124,354,242,232,127,114,118,106,94,113,87,66,237,539,604,572,515,464,439,410,177,293,508,472,363,276,227
"G1700670","1990","IL",,,,,,,,,,,,"99","Hancock","067",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002058183","0000051581","Hancock County","A","+40402089","-091168870","06",231,550,555,307,312,991,678,653,297,314,304,294,257,229,236,202,641,1342,1609,1508,1439,1158,1027,1078,456,707,1118,1012,831,551,486
"G1700690","1990","IL",,,,,,,,,,,,"99","Hardin","069",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000461909","0000008287","Hardin County","A","+37521574","-088265984","06",42,118,118,75,59,237,150,149,78,68,71,66,76,90,56,63,181,360,358,389,349,307,246,272,106,193,279,250,181,99,103
"G1700710","1990","IL",,,,,,,,,,,,"99","Henderson","071",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000981185","0000042252","Henderson County","A","+40810093","-090926393","06",103,204,205,121,125,356,258,221,105,127,131,114,113,94,77,68,207,523,617,571,564,533,470,426,205,236,422,359,242,150,149
"G1700730","1990","IL",,,,,,,,,,,,"99","Henry","073",,,"3","1960",,,,"9999","2","Illinois","17",,,,"0002132235","0000006175","Henry County","A","+41354648","-090135858","06",554,1423,1435,769,759,2401,1700,1654,814,801,718,727,668,684,589,530,1589,3235,3812,3763,3690,3126,2493,2410,972,1472,2368,2130,1705,1150,1018
