school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2017-2018,middle,Manhattan,Manhattan,8.0,561,292,0.47,553
2017-2018,middle,Casey,Casey,10.0,684,156,0.76,674
2017-2018,middle,Centennial,Centennial,14.0,852,263,0.67,838
2017-2018,middle,Platt,Platt,6.0,491,123,0.74,485
2017-2018,middle,Southern Hills,Southern Hills,8.0,508,111,0.77,500
2017-2018,middle,Aspen Creek K-8,Aspen Creek K-8,4.0,466,134,0.7,462
2017-2018,middle,Broomfield Heights,Broomfield Heights,2.0,348,54,0.84,346
2017-2018,middle,Angevine,Angevine,22.0,913,309,0.64,891
2017-2018,middle,Meadowlark,Meadowlark,5.0,209,138,0.32,204
2017-2018,middle,Louisville Middle,Louisville Middle,7.0,640,90,0.85,633
2017-2018,middle,Monarch K-8,Monarch K-8,2.0,354,88,0.75,352
2017-2018,middle,Eldorado K-8,Eldorado K-8,4.0,608,164,0.72,604
2017-2018,middle,Nederland,Nederland,3.0,153,27,0.8,150
2018-2019,elementary,Bear Creek,Bear Creek*,0.0,242,27,0.89,242
2018-2019,elementary,Columbine,Columbine,16.0,618,225,0.61,602
2018-2019,elementary,Creekside,Creekside*,10.0,499,269,0.44,489
2018-2019,elementary,Crest View,Crest View,26.0,882,352,0.57,856
2018-2019,elementary,Douglass,Douglass,15.0,402,82,0.76,387
2018-2019,elementary,Eisenhower,Eisenhower,4.0,489,170,0.64,485
2018-2019,elementary,Flatirons,Flatirons,1.0,233,78,0.66,232
2018-2019,elementary,Foothill,Foothill,12.0,574,146,0.72,562
2018-2019,elementary,Heatherwood,Heatherwood,5.0,343,74,0.77,338
2018-2019,elementary,Mesa,Mesa*,4.0,221,39,0.81,217
2018-2019,elementary,Whittier,Whittier,8.0,458,118,0.72,450
2018-2019,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,41,1,0.98,41
2018-2019,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,4.0,202,36,0.8,198
2018-2019,elementary,Aspen Creek K-8,Aspen Creek K-8,11.0,391,81,0.76,380
2018-2019,elementary,Birch,Birch,7.0,347,91,0.72,340
2018-2019,elementary,Emerald,Emerald,12.0,382,86,0.74,370
2018-2019,elementary,Kohl,Kohl,12.0,329,58,0.79,317
2018-2019,elementary,Lafayette,Lafayette,13.0,622,264,0.55,609
2018-2019,elementary,Ryan,Ryan,21.0,647,224,0.62,626
2018-2019,elementary,Sanchez,Sanchez,36.0,640,319,0.45,604
2018-2019,elementary,Meadowlark,Meadowlark,9.0,477,94,0.0,468
2018-2019,elementary,Coal Creek,Coal Creek,8.0,470,95,0.78,462
2018-2019,elementary,Fireside,Fireside,3.0,388,57,0.85,385
2018-2019,elementary,Louisville,Louisville,9.0,650,120,0.8,641
2018-2019,elementary,Monarch K-8,Monarch K-8,8.0,302,70,0.74,294
2018-2019,elementary,Eldorado K-8,Eldorado K-8,2.0,390,56,0.85,388
2018-2019,elementary,Superior,Superior,7.0,452,54,0.87,445
2018-2019,elementary,Gold Hill,Gold Hill,0.0,6,2,0.67,6
2018-2019,elementary,Jamestown,Jamestown,0.0,11,4,0.64,11
2018-2019,elementary,Nederland,Nederland,0.0,279,36,0.87,279
2018-2019,high,Boulder,Boulder*,27.0,2291,555,0.75,2264
2018-2019,high,Fairview,Fairview*,13.0,1379,220,0.83,1366
2018-2019,high,Boulder/Fairview Optional,Boulder/Fairview Optional,3.0,309,36,0.87,306
2018-2019,high,Broomfield,Broomfield,5.0,1118,204,0.81,1113
2018-2019,high,Centaurus,Centaurus,18.0,1708,668,0.6,1690
2018-2019,high,Monarch,Monarch,8.0,2025,665,0.67,2017
2018-2019,high,Nederland,Nederland,3.0,178,63,0.63,175
2018-2019,middle,Manhattan,Manhattan,4.0,529,259,0.5,525
2018-2019,middle,Casey,Casey,9.0,685,151,0.77,676
2018-2019,middle,Centennial,Centennial,21.0,830,235,0.69,809
