school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2023-2024,elementary,Fireside,Fireside,5.0,314,42,0.85,309
2023-2024,elementary,Louisville,Louisville,9.0,475,97,0.78,466
2023-2024,elementary,Monarch K-8,Monarch K-8,5.0,248,89,0.62,243
2023-2024,elementary,Eldorado K-8,Eldorado K-8,4.0,278,62,0.76,274
2023-2024,elementary,Superior,Superior,2.0,412,51,0.87,410
2023-2024,elementary,Gold Hill,Gold Hill,0.0,10,1,0.9,10
2023-2024,elementary,Jamestown,Jamestown,2.0,13,3,0.62,11
2023-2024,elementary,Nederland,Nederland,2.0,189,25,0.86,187
2023-2024,high,Boulder,Boulder*,20.0,2178,492,0.76,2158
2023-2024,high,Fairview,Fairview*,23.0,1298,225,0.81,1275
2023-2024,high,Boulder/Fairview Optional,Boulder/Fairview Optional,3.0,276,35,0.86,273
2023-2024,high,Broomfield,Broomfield,8.0,1049,198,0.8,1041
2023-2024,high,Centaurus,Centaurus,27.0,1866,669,0.63,1839
2023-2024,high,Monarch,Monarch,21.0,1834,643,0.64,1813
2023-2024,high,Nederland,Nederland,1.0,172,66,0.61,171
2023-2024,middle,Manhattan,Manhattan,7.0,462,272,0.4,455
2023-2024,middle,Casey,Casey,10.0,523,205,0.59,513
2023-2024,middle,Centennial,Centennial,20.0,750,208,0.7,730
2023-2024,middle,Platt,Platt,3.0,362,96,0.73,359
2023-2024,middle,Southern Hills,Southern Hills,10.0,452,135,0.68,442
2023-2024,middle,Aspen Creek K-8,Aspen Creek K-8,10.0,342,143,0.55,332
2023-2024,middle,Broomfield Heights,Broomfield Heights,5.0,311,51,0.82,306
2023-2024,middle,Angevine,Angevine,30.0,969,377,0.58,939
2023-2024,middle,Meadowlark,Meadowlark,5.0,294,103,0.63,289
2023-2024,middle,Louisville Middle,Louisville Middle,3.0,545,97,0.82,542
2023-2024,middle,Monarch K-8,Monarch K-8,5.0,320,104,0.66,315
2023-2024,middle,Eldorado K-8,Eldorado K-8,4.0,404,162,0.59,400
2023-2024,middle,Nederland,Nederland,3.0,123,15,0.85,120
2024-2025,elementary,Bear Creek,Bear Creek*,2.0,170,34,0.79,168
2024-2025,elementary,Columbine,Columbine,31.0,537,246,0.48,506
2024-2025,elementary,Creekside,Creekside*,10.0,495,214,0.55,485
2024-2025,elementary,Crest View,Crest View,18.0,684,325,0.5,666
2024-2025,elementary,Douglass,Douglass,8.0,270,81,0.67,262
2024-2025,elementary,Eisenhower,Eisenhower,15.0,373,137,0.59,358
2024-2025,elementary,Flatirons,Flatirons,6.0,193,67,0.62,187
2024-2025,elementary,Foothill,Foothill,6.0,403,81,0.78,397
2024-2025,elementary,Heatherwood,Heatherwood,12.0,305,91,0.66,293
2024-2025,elementary,Mesa,Mesa*,4.0,177,51,0.69,173
2024-2025,elementary,Whittier,Whittier,8.0,306,126,0.56,298
2024-2025,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,36,6,0.83,36
2024-2025,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,5.0,143,30,0.76,138
2024-2025,elementary,Aspen Creek K-8,Aspen Creek K-8,4.0,309,71,0.76,305
2024-2025,elementary,Birch,Birch,8.0,285,83,0.68,277
2024-2025,elementary,Emerald,Emerald,7.0,323,74,0.75,316
2024-2025,elementary,Kohl,Kohl,13.0,248,53,0.73,235
2024-2025,elementary,Lafayette,Lafayette,13.0,620,241,0.59,607
2024-2025,elementary,Ryan,Ryan,30.0,631,236,0.58,601
2024-2025,elementary,Sanchez,Sanchez,30.0,609,337,0.4,579
2024-2025,elementary,Meadowlark,Meadowlark,10.0,623,184,0.69,613
2024-2025,elementary,Coal Creek,Coal Creek,10.0,342,91,0.7,332
2024-2025,elementary,Fireside,Fireside,4.0,303,45,0.84,299
2024-2025,elementary,Louisville,Louisville,11.0,449,91,0.77,438
2024-2025,elementary,Monarch K-8,Monarch K-8,7.0,273,120,0.53,266
2024-2025,elementary,Eldorado K-8,Eldorado K-8,5.0,257,65,0.73,252
2024-2025,elementary,Superior,Superior,1.0,371,47,0.87,370
2024-2025,elementary,Gold Hill,Gold Hill,0.0,8,1,0.88,8
2024-2025,elementary,Jamestown,Jamestown,2.0,11,3,0.55,9
2024-2025,elementary,Nederland,Nederland,4.0,206,34,0.82,202
2024-2025,high,Boulder,Boulder*,23.0,2125,489,0.76,2102
2024-2025,high,Fairview,Fairview*,21.0,1321,249,0.8,1300
2024-2025,high,Boulder/Fairview Optional,Boulder/Fairview Optional,2.0,256,40,0.84,254
2024-2025,high,Broomfield,Broomfield,14.0,1023,180,0.81,1009
2024-2025,high,Centaurus,Centaurus,33.0,1897,676,0.63,1864
2024-2025,high,Monarch,Monarch,37.0,1814,618,0.64,1777
2024-2025,high,Nederland,Nederland,,165,58,0.65,165
2024-2025,middle,Manhattan,Manhattan,6.0,478,268,0.43,472
2024-2025,middle,Casey,Casey,14.0,542,247,0.52,528
2024-2025,middle,Centennial,Centennial,16.0,698,209,0.68,682
2024-2025,middle,Platt,Platt,7.0,352,105,0.68,345
2024-2025,middle,Southern Hills,Southern Hills,12.0,448,122,0.7,436
2024-2025,middle,Aspen Creek K-8,Aspen Creek K-8,8.0,350,117,0.64,342
2024-2025,middle,Broomfield Heights,Broomfield Heights,8.0,342,65,0.79,334
2024-2025,middle,Angevine,Angevine,27.0,1009,412,0.56,982
2024-2025,middle,Meadowlark,Meadowlark,6.0,303,110,0.62,297
2024-2025,middle,Louisville Middle,Louisville Middle,11.0,548,104,0.79,537
2024-2025,middle,Monarch K-8,Monarch K-8,4.0,299,118,0.59,295
2024-2025,middle,Eldorado K-8,Eldorado K-8,6.0,414,196,0.51,408
2024-2025,middle,Nederland,Nederland,4.0,116,18,0.81,112
2025-2026,elementary,Bear Creek,Bear Creek*,2.0,162,29,0.81,160
2025-2026,elementary,Columbine,Columbine,28.0,501,252,0.44,473
2025-2026,elementary,Creekside,Creekside*,7.0,439,192,0.55,432
2025-2026,elementary,Crest View,Crest View,17.0,657,337,0.46,640
2025-2026,elementary,Douglass,Douglass,4.0,260,92,0.63,256
2025-2026,elementary,Eisenhower,Eisenhower,16.0,361,139,0.57,345
2025-2026,elementary,Flatirons,Flatirons,7.0,195,72,0.59,188
2025-2026,elementary,Foothill,Foothill,3.0,387,80,0.79,384
2025-2026,elementary,Heatherwood,Heatherwood,10.0,281,81,0.68,271
2025-2026,elementary,Mesa,Mesa*,3.0,176,55,0.67,173
2025-2026,elementary,Whittier,Whittier,8.0,287,127,0.53,279
2025-2026,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,27,7,0.74,27
2025-2026,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,5.0,137,24,0.79,132
2025-2026,elementary,Aspen Creek K-8,Aspen Creek K-8,8.0,320,68,0.76,312
2025-2026,elementary,Birch,Birch,5.0,266,78,0.69,261
2025-2026,elementary,Emerald,Emerald,11.0,328,74,0.74,317
2025-2026,elementary,Kohl,Kohl,14.0,271,70,0.69,257
2025-2026,elementary,Lafayette,Lafayette,10.0,601,260,0.55,591
2025-2026,elementary,Ryan,Ryan,28.0,589,219,0.58,561
2025-2026,elementary,Sanchez,Sanchez,39.0,642,378,0.35,603
2025-2026,elementary,Meadowlark,Meadowlark,8.0,588,174,0.69,580
2025-2026,elementary,Coal Creek,Coal Creek,7.0,324,94,0.69,317
2025-2026,elementary,Fireside,Fireside,3.0,298,36,0.87,295
2025-2026,elementary,Louisville,Louisville,9.0,413,87,0.77,404
2025-2026,elementary,Monarch K-8,Monarch K-8,9.0,310,152,0.48,301
2025-2026,elementary,Eldorado K-8,Eldorado K-8,6.0,246,71,0.69,240
2025-2026,elementary,Superior,Superior,8.0,360,39,0.87,352
2025-2026,elementary,Gold Hill,Gold Hill,1.0,11,3,0.64,10
2025-2026,elementary,Jamestown,Jamestown,2.0,11,3,0.55,9
2025-2026,elementary,Nederland,Nederland,2.0,197,32,0.83,195
2025-2026,high,Boulder,Boulder*,25.0,2035,528,0.73,2010
2025-2026,high,Fairview,Fairview*,15.0,1267,230,0.81,1252
2025-2026,high,Boulder/Fairview Optional,Boulder/Fairview Optional,2.0,227,29,0.86,225
2025-2026,high,Broomfield,Broomfield,17.0,994,180,0.8,977
2025-2026,high,Centaurus,Centaurus,39.0,1907,670,0.63,1868
2025-2026,high,Monarch,Monarch,29.0,1821,604,0.65,1792
2025-2026,high,Nederland,Nederland,,158,65,0.59,158
2025-2026,middle,Manhattan,Manhattan,4.0,467,285,0.38,463
2025-2026,middle,Casey,Casey,16.0,521,251,0.49,505
2025-2026,middle,Centennial,Centennial,12.0,656,212,0.66,644
2025-2026,middle,Platt,Platt,5.0,383,112,0.69,378
2025-2026,middle,Southern Hills,Southern Hills,5.0,452,130,0.7,447
2025-2026,middle,Aspen Creek K-8,Aspen Creek K-8,9.0,350,106,0.67,341
2025-2026,middle,Broomfield Heights,Broomfield Heights,8.0,327,69,0.76,319
2025-2026,middle,Angevine,Angevine,20.0,1018,447,0.54,998
2025-2026,middle,Meadowlark,Meadowlark,6.0,329,115,0.63,323
2025-2026,middle,Louisville Middle,Louisville Middle,7.0,505,99,0.79,498
2025-2026,middle,Monarch K-8,Monarch K-8,3.0,302,130,0.56,299
2025-2026,middle,Eldorado K-8,Eldorado K-8,6.0,376,234,0.36,370
2025-2026,middle,Nederland,Nederland,2.0,106,18,0.81,104
