school_year,level,source,target,students,self_loop,edge_type,source_raw,target_raw
2016-2017,elementary,Bear Creek,Bear Creek,222,True,matrix,Bear Creek*,Bear Creek *
2016-2017,elementary,Creekside,Bear Creek,7,False,matrix,Creekside*,Bear Creek *
2016-2017,elementary,Crest View,Bear Creek,6,False,matrix,Crest View,Bear Creek *
2016-2017,elementary,Douglass,Bear Creek,1,False,matrix,Douglass,Bear Creek *
2016-2017,elementary,Eisenhower,Bear Creek,3,False,matrix,Eisenhower,Bear Creek *
2016-2017,elementary,Flatirons,Bear Creek,1,False,matrix,Flatirons,Bear Creek *
2016-2017,elementary,Foothill,Bear Creek,2,False,matrix,Foothill,Bear Creek *
2016-2017,elementary,Mesa,Bear Creek,11,False,matrix,Mesa*,Bear Creek *
2016-2017,elementary,Optional Bear Creek/Creekside,Bear Creek,42,False,matrix,Optional Bear Creek/ Creekside,Bear Creek *
2016-2017,elementary,Optional Bear Creek/Mesa,Bear Creek,128,False,matrix,Optional Bear Creek/Mesa,Bear Creek *
2016-2017,elementary,Kohl,Bear Creek,1,False,matrix,Kohl,Bear Creek *
2016-2017,elementary,Lafayette,Bear Creek,3,False,matrix,Lafayette,Bear Creek *
2016-2017,elementary,Sanchez,Bear Creek,1,False,matrix,Sanchez,Bear Creek *
2016-2017,elementary,Coal Creek,Bear Creek,1,False,matrix,Coal Creek,Bear Creek *
2016-2017,elementary,Fireside,Bear Creek,2,False,matrix,Fireside,Bear Creek *
2016-2017,elementary,Monarch K-8,Bear Creek,1,False,matrix,Monarch K-8,Bear Creek *
2016-2017,elementary,Eldorado K-8,Bear Creek,3,False,matrix,Eldorado K-8,Bear Creek *
2016-2017,elementary,Columbine,Columbine,399,True,matrix,Columbine,Columbine
2016-2017,elementary,Creekside,Columbine,3,False,matrix,Creekside*,Columbine
2016-2017,elementary,Crest View,Columbine,35,False,matrix,Crest View,Columbine
2016-2017,elementary,Eisenhower,Columbine,1,False,matrix,Eisenhower,Columbine
2016-2017,elementary,Flatirons,Columbine,3,False,matrix,Flatirons,Columbine
2016-2017,elementary,Foothill,Columbine,13,False,matrix,Foothill,Columbine
2016-2017,elementary,Heatherwood,Columbine,6,False,matrix,Heatherwood,Columbine
2016-2017,elementary,Whittier,Columbine,9,False,matrix,Whittier,Columbine
2016-2017,elementary,Lafayette,Columbine,1,False,matrix,Lafayette,Columbine
2016-2017,elementary,Ryan,Columbine,1,False,matrix,Ryan,Columbine
2016-2017,elementary,Sanchez,Columbine,3,False,matrix,Sanchez,Columbine
2016-2017,elementary,Nederland,Columbine,1,False,matrix,Nederland,Columbine
2016-2017,elementary,Bear Creek,Creekside,3,False,matrix,Bear Creek*,Creekside *
2016-2017,elementary,Columbine,Creekside,8,False,matrix,Columbine,Creekside *
2016-2017,elementary,Creekside,Creekside,219,True,matrix,Creekside*,Creekside *
2016-2017,elementary,Crest View,Creekside,1,False,matrix,Crest View,Creekside *
2016-2017,elementary,Douglass,Creekside,2,False,matrix,Douglass,Creekside *
2016-2017,elementary,Eisenhower,Creekside,7,False,matrix,Eisenhower,Creekside *
2016-2017,elementary,Flatirons,Creekside,1,False,matrix,Flatirons,Creekside *
2016-2017,elementary,Foothill,Creekside,1,False,matrix,Foothill,Creekside *
2016-2017,elementary,Heatherwood,Creekside,4,False,matrix,Heatherwood,Creekside *
2016-2017,elementary,Mesa,Creekside,1,False,matrix,Mesa*,Creekside *
2016-2017,elementary,Whittier,Creekside,2,False,matrix,Whittier,Creekside *
2016-2017,elementary,Optional Bear Creek/Creekside,Creekside,1,False,matrix,Optional Bear Creek/ Creekside,Creekside *
2016-2017,elementary,Optional Bear Creek/Mesa,Creekside,2,False,matrix,Optional Bear Creek/Mesa,Creekside *
2016-2017,elementary,Kohl,Creekside,1,False,matrix,Kohl,Creekside *
2016-2017,elementary,Sanchez,Creekside,3,False,matrix,Sanchez,Creekside *
2016-2017,elementary,Coal Creek,Creekside,1,False,matrix,Coal Creek,Creekside *
2016-2017,elementary,Monarch K-8,Creekside,3,False,matrix,Monarch K-8,Creekside *
2016-2017,elementary,Nederland,Creekside,1,False,matrix,Nederland,Creekside *
2016-2017,elementary,Columbine,Crest View,21,False,matrix,Columbine,Crest View
2016-2017,elementary,Creekside,Crest View,3,False,matrix,Creekside*,Crest View
2016-2017,elementary,Crest View,Crest View,538,True,matrix,Crest View,Crest View
2016-2017,elementary,Foothill,Crest View,7,False,matrix,Foothill,Crest View
2016-2017,elementary,Heatherwood,Crest View,7,False,matrix,Heatherwood,Crest View
2016-2017,elementary,Whittier,Crest View,4,False,matrix,Whittier,Crest View
2016-2017,elementary,Lafayette,Crest View,1,False,matrix,Lafayette,Crest View
2016-2017,elementary,Sanchez,Crest View,2,False,matrix,Sanchez,Crest View
2016-2017,elementary,Coal Creek,Crest View,3,False,matrix,Coal Creek,Crest View
2016-2017,elementary,Jamestown,Crest View,3,False,matrix,Jamestown,Crest View
2016-2017,elementary,Nederland,Crest View,2,False,matrix,Nederland,Crest View
2016-2017,elementary,Douglass,Douglass,352,True,matrix,Douglass,Douglass
2016-2017,elementary,Eisenhower,Douglass,1,False,matrix,Eisenhower,Douglass
2016-2017,elementary,Heatherwood,Douglass,7,False,matrix,Heatherwood,Douglass
2016-2017,elementary,Mesa,Douglass,1,False,matrix,Mesa*,Douglass
2016-2017,elementary,Whittier,Douglass,4,False,matrix,Whittier,Douglass
2016-2017,elementary,Lafayette,Douglass,40,False,matrix,Lafayette,Douglass
2016-2017,elementary,Ryan,Douglass,9,False,matrix,Ryan,Douglass
2016-2017,elementary,Sanchez,Douglass,7,False,matrix,Sanchez,Douglass
2016-2017,elementary,Coal Creek,Douglass,2,False,matrix,Coal Creek,Douglass
2016-2017,elementary,Louisville,Douglass,1,False,matrix,Louisville,Douglass
2016-2017,elementary,Bear Creek,Eisenhower,1,False,matrix,Bear Creek*,Eisenhower
2016-2017,elementary,Columbine,Eisenhower,17,False,matrix,Columbine,Eisenhower
2016-2017,elementary,Creekside,Eisenhower,17,False,matrix,Creekside*,Eisenhower
2016-2017,elementary,Crest View,Eisenhower,12,False,matrix,Crest View,Eisenhower
2016-2017,elementary,Douglass,Eisenhower,3,False,matrix,Douglass,Eisenhower
2016-2017,elementary,Eisenhower,Eisenhower,318,True,matrix,Eisenhower,Eisenhower
2016-2017,elementary,Flatirons,Eisenhower,3,False,matrix,Flatirons,Eisenhower
2016-2017,elementary,Foothill,Eisenhower,3,False,matrix,Foothill,Eisenhower
2016-2017,elementary,Heatherwood,Eisenhower,1,False,matrix,Heatherwood,Eisenhower
2016-2017,elementary,Whittier,Eisenhower,3,False,matrix,Whittier,Eisenhower
2016-2017,elementary,Optional Bear Creek/Mesa,Eisenhower,1,False,matrix,Optional Bear Creek/Mesa,Eisenhower
2016-2017,elementary,Birch,Eisenhower,1,False,matrix,Birch,Eisenhower
2016-2017,elementary,Lafayette,Eisenhower,2,False,matrix,Lafayette,Eisenhower
2016-2017,elementary,Ryan,Eisenhower,1,False,matrix,Ryan,Eisenhower
2016-2017,elementary,Sanchez,Eisenhower,2,False,matrix,Sanchez,Eisenhower
2016-2017,elementary,Coal Creek,Eisenhower,1,False,matrix,Coal Creek,Eisenhower
2016-2017,elementary,Louisville,Eisenhower,2,False,matrix,Louisville,Eisenhower
2016-2017,elementary,Monarch K-8,Eisenhower,1,False,matrix,Monarch K-8,Eisenhower
2016-2017,elementary,Superior,Eisenhower,2,False,matrix,Superior,Eisenhower
2016-2017,elementary,Nederland,Eisenhower,3,False,matrix,Nederland,Eisenhower
2016-2017,elementary,Columbine,Flatirons,9,False,matrix,Columbine,Flatirons
2016-2017,elementary,Creekside,Flatirons,20,False,matrix,Creekside*,Flatirons
2016-2017,elementary,Crest View,Flatirons,11,False,matrix,Crest View,Flatirons
2016-2017,elementary,Douglass,Flatirons,1,False,matrix,Douglass,Flatirons
2016-2017,elementary,Eisenhower,Flatirons,3,False,matrix,Eisenhower,Flatirons
2016-2017,elementary,Flatirons,Flatirons,177,True,matrix,Flatirons,Flatirons
2016-2017,elementary,Foothill,Flatirons,7,False,matrix,Foothill,Flatirons
2016-2017,elementary,Mesa,Flatirons,2,False,matrix,Mesa*,Flatirons
2016-2017,elementary,Whittier,Flatirons,8,False,matrix,Whittier,Flatirons
2016-2017,elementary,Optional Bear Creek/Creekside,Flatirons,1,False,matrix,Optional Bear Creek/ Creekside,Flatirons
2016-2017,elementary,Lafayette,Flatirons,1,False,matrix,Lafayette,Flatirons
2016-2017,elementary,Sanchez,Flatirons,1,False,matrix,Sanchez,Flatirons
2016-2017,elementary,Nederland,Flatirons,9,False,matrix,Nederland,Flatirons
2016-2017,elementary,Columbine,Foothill,12,False,matrix,Columbine,Foothill
2016-2017,elementary,Creekside,Foothill,2,False,matrix,Creekside*,Foothill
2016-2017,elementary,Crest View,Foothill,24,False,matrix,Crest View,Foothill
2016-2017,elementary,Flatirons,Foothill,3,False,matrix,Flatirons,Foothill
2016-2017,elementary,Foothill,Foothill,481,True,matrix,Foothill,Foothill
2016-2017,elementary,Heatherwood,Foothill,2,False,matrix,Heatherwood,Foothill
2016-2017,elementary,Whittier,Foothill,5,False,matrix,Whittier,Foothill
2016-2017,elementary,Jamestown,Foothill,1,False,matrix,Jamestown,Foothill
2016-2017,elementary,Columbine,Heatherwood,1,False,matrix,Columbine,Heatherwood
2016-2017,elementary,Creekside,Heatherwood,6,False,matrix,Creekside*,Heatherwood
2016-2017,elementary,Douglass,Heatherwood,1,False,matrix,Douglass,Heatherwood
2016-2017,elementary,Flatirons,Heatherwood,1,False,matrix,Flatirons,Heatherwood
2016-2017,elementary,Heatherwood,Heatherwood,320,True,matrix,Heatherwood,Heatherwood
2016-2017,elementary,Whittier,Heatherwood,1,False,matrix,Whittier,Heatherwood
2016-2017,elementary,Lafayette,Heatherwood,3,False,matrix,Lafayette,Heatherwood
2016-2017,elementary,Ryan,Heatherwood,1,False,matrix,Ryan,Heatherwood
2016-2017,elementary,Sanchez,Heatherwood,1,False,matrix,Sanchez,Heatherwood
2016-2017,elementary,Louisville,Heatherwood,1,False,matrix,Louisville,Heatherwood
2016-2017,elementary,Bear Creek,Mesa,9,False,matrix,Bear Creek*,Mesa *
2016-2017,elementary,Creekside,Mesa,21,False,matrix,Creekside*,Mesa *
2016-2017,elementary,Crest View,Mesa,2,False,matrix,Crest View,Mesa *
2016-2017,elementary,Douglass,Mesa,2,False,matrix,Douglass,Mesa *
2016-2017,elementary,Eisenhower,Mesa,7,False,matrix,Eisenhower,Mesa *
2016-2017,elementary,Heatherwood,Mesa,1,False,matrix,Heatherwood,Mesa *
2016-2017,elementary,Mesa,Mesa,187,True,matrix,Mesa*,Mesa *
2016-2017,elementary,Whittier,Mesa,2,False,matrix,Whittier,Mesa *
2016-2017,elementary,Optional Bear Creek/Creekside,Mesa,1,False,matrix,Optional Bear Creek/ Creekside,Mesa *
2016-2017,elementary,Optional Bear Creek/Mesa,Mesa,35,False,matrix,Optional Bear Creek/Mesa,Mesa *
2016-2017,elementary,Lafayette,Mesa,5,False,matrix,Lafayette,Mesa *
2016-2017,elementary,Ryan,Mesa,1,False,matrix,Ryan,Mesa *
2016-2017,elementary,Monarch K-8,Mesa,3,False,matrix,Monarch K-8,Mesa *
2016-2017,elementary,Nederland,Mesa,1,False,matrix,Nederland,Mesa *
2016-2017,elementary,Columbine,Whittier,9,False,matrix,Columbine,Whittier
2016-2017,elementary,Crest View,Whittier,12,False,matrix,Crest View,Whittier
2016-2017,elementary,Douglass,Whittier,1,False,matrix,Douglass,Whittier
2016-2017,elementary,Eisenhower,Whittier,3,False,matrix,Eisenhower,Whittier
2016-2017,elementary,Flatirons,Whittier,2,False,matrix,Flatirons,Whittier
2016-2017,elementary,Foothill,Whittier,5,False,matrix,Foothill,Whittier
2016-2017,elementary,Heatherwood,Whittier,1,False,matrix,Heatherwood,Whittier
2016-2017,elementary,Whittier,Whittier,376,True,matrix,Whittier,Whittier
2016-2017,elementary,Optional Bear Creek/Mesa,Whittier,2,False,matrix,Optional Bear Creek/Mesa,Whittier
2016-2017,elementary,Emerald,Whittier,1,False,matrix,Emerald,Whittier
2016-2017,elementary,Lafayette,Whittier,2,False,matrix,Lafayette,Whittier
2016-2017,elementary,Monarch K-8,Whittier,1,False,matrix,Monarch K-8,Whittier
2016-2017,elementary,Douglass,Aspen Creek K-8,1,False,matrix,Douglass,Aspen Creek K-8
2016-2017,elementary,Heatherwood,Aspen Creek K-8,1,False,matrix,Heatherwood,Aspen Creek K-8
2016-2017,elementary,Aspen Creek K-8,Aspen Creek K-8,317,True,matrix,Aspen Creek K-8,Aspen Creek K-8
2016-2017,elementary,Birch,Aspen Creek K-8,42,False,matrix,Birch,Aspen Creek K-8
2016-2017,elementary,Emerald,Aspen Creek K-8,22,False,matrix,Emerald,Aspen Creek K-8
2016-2017,elementary,Kohl,Aspen Creek K-8,18,False,matrix,Kohl,Aspen Creek K-8
2016-2017,elementary,Lafayette,Aspen Creek K-8,1,False,matrix,Lafayette,Aspen Creek K-8
2016-2017,elementary,Ryan,Aspen Creek K-8,3,False,matrix,Ryan,Aspen Creek K-8
2016-2017,elementary,Sanchez,Aspen Creek K-8,3,False,matrix,Sanchez,Aspen Creek K-8
2016-2017,elementary,Eldorado K-8,Aspen Creek K-8,1,False,matrix,Eldorado K-8,Aspen Creek K-8
2016-2017,elementary,Aspen Creek K-8,Birch,3,False,matrix,Aspen Creek K-8,Birch
2016-2017,elementary,Birch,Birch,251,True,matrix,Birch,Birch
2016-2017,elementary,Emerald,Birch,23,False,matrix,Emerald,Birch
2016-2017,elementary,Kohl,Birch,7,False,matrix,Kohl,Birch
2016-2017,elementary,Lafayette,Birch,1,False,matrix,Lafayette,Birch
2016-2017,elementary,Ryan,Birch,2,False,matrix,Ryan,Birch
2016-2017,elementary,Sanchez,Birch,2,False,matrix,Sanchez,Birch
2016-2017,elementary,Aspen Creek K-8,Emerald,3,False,matrix,Aspen Creek K-8,Emerald
2016-2017,elementary,Birch,Emerald,9,False,matrix,Birch,Emerald
2016-2017,elementary,Emerald,Emerald,253,True,matrix,Emerald,Emerald
2016-2017,elementary,Kohl,Emerald,11,False,matrix,Kohl,Emerald
2016-2017,elementary,Ryan,Emerald,1,False,matrix,Ryan,Emerald
2016-2017,elementary,Louisville,Emerald,3,False,matrix,Louisville,Emerald
2016-2017,elementary,Crest View,Kohl,1,False,matrix,Crest View,Kohl
2016-2017,elementary,Aspen Creek K-8,Kohl,22,False,matrix,Aspen Creek K-8,Kohl
2016-2017,elementary,Birch,Kohl,18,False,matrix,Birch,Kohl
2016-2017,elementary,Emerald,Kohl,45,False,matrix,Emerald,Kohl
2016-2017,elementary,Kohl,Kohl,276,True,matrix,Kohl,Kohl
2016-2017,elementary,Lafayette,Kohl,2,False,matrix,Lafayette,Kohl
2016-2017,elementary,Sanchez,Kohl,1,False,matrix,Sanchez,Kohl
2016-2017,elementary,Monarch K-8,Kohl,1,False,matrix,Monarch K-8,Kohl
2016-2017,elementary,Eldorado K-8,Kohl,1,False,matrix,Eldorado K-8,Kohl
2016-2017,elementary,Crest View,Lafayette,3,False,matrix,Crest View,Lafayette Elem.
2016-2017,elementary,Douglass,Lafayette,1,False,matrix,Douglass,Lafayette Elem.
2016-2017,elementary,Heatherwood,Lafayette,2,False,matrix,Heatherwood,Lafayette Elem.
2016-2017,elementary,Aspen Creek K-8,Lafayette,2,False,matrix,Aspen Creek K-8,Lafayette Elem.
2016-2017,elementary,Lafayette,Lafayette,549,True,matrix,Lafayette,Lafayette Elem.
2016-2017,elementary,Ryan,Lafayette,10,False,matrix,Ryan,Lafayette Elem.
2016-2017,elementary,Sanchez,Lafayette,43,False,matrix,Sanchez,Lafayette Elem.
2016-2017,elementary,Coal Creek,Lafayette,1,False,matrix,Coal Creek,Lafayette Elem.
2016-2017,elementary,Louisville,Lafayette,1,False,matrix,Louisville,Lafayette Elem.
2016-2017,elementary,Monarch K-8,Lafayette,1,False,matrix,Monarch K-8,Lafayette Elem.
2016-2017,elementary,Douglass,Ryan,4,False,matrix,Douglass,Ryan
2016-2017,elementary,Heatherwood,Ryan,2,False,matrix,Heatherwood,Ryan
2016-2017,elementary,Birch,Ryan,1,False,matrix,Birch,Ryan
2016-2017,elementary,Emerald,Ryan,1,False,matrix,Emerald,Ryan
2016-2017,elementary,Kohl,Ryan,2,False,matrix,Kohl,Ryan
2016-2017,elementary,Lafayette,Ryan,34,False,matrix,Lafayette,Ryan
2016-2017,elementary,Ryan,Ryan,325,True,matrix,Ryan,Ryan
2016-2017,elementary,Sanchez,Ryan,32,False,matrix,Sanchez,Ryan
2016-2017,elementary,Coal Creek,Ryan,1,False,matrix,Coal Creek,Ryan
2016-2017,elementary,Louisville,Ryan,5,False,matrix,Louisville,Ryan
2016-2017,elementary,Douglass,Sanchez,2,False,matrix,Douglass,Sanchez
2016-2017,elementary,Aspen Creek K-8,Sanchez,1,False,matrix,Aspen Creek K-8,Sanchez
2016-2017,elementary,Birch,Sanchez,1,False,matrix,Birch,Sanchez
2016-2017,elementary,Lafayette,Sanchez,11,False,matrix,Lafayette,Sanchez
2016-2017,elementary,Ryan,Sanchez,25,False,matrix,Ryan,Sanchez
2016-2017,elementary,Sanchez,Sanchez,286,True,matrix,Sanchez,Sanchez
2016-2017,elementary,Coal Creek,Sanchez,3,False,matrix,Coal Creek,Sanchez
2016-2017,elementary,Louisville,Sanchez,3,False,matrix,Louisville,Sanchez
2016-2017,elementary,Douglass,Coal Creek,2,False,matrix,Douglass,Coal Creek
2016-2017,elementary,Aspen Creek K-8,Coal Creek,1,False,matrix,Aspen Creek K-8,Coal Creek
2016-2017,elementary,Lafayette,Coal Creek,7,False,matrix,Lafayette,Coal Creek
2016-2017,elementary,Ryan,Coal Creek,5,False,matrix,Ryan,Coal Creek
2016-2017,elementary,Sanchez,Coal Creek,3,False,matrix,Sanchez,Coal Creek
2016-2017,elementary,Coal Creek,Coal Creek,365,True,matrix,Coal Creek,Coal Creek
2016-2017,elementary,Fireside,Coal Creek,4,False,matrix,Fireside,Coal Creek
2016-2017,elementary,Louisville,Coal Creek,10,False,matrix,Louisville,Coal Creek
2016-2017,elementary,Monarch K-8,Coal Creek,4,False,matrix,Monarch K-8,Coal Creek
2016-2017,elementary,Eldorado K-8,Coal Creek,3,False,matrix,Eldorado K-8,Coal Creek
2016-2017,elementary,Superior,Coal Creek,3,False,matrix,Superior,Coal Creek
2016-2017,elementary,Douglass,Fireside,1,False,matrix,Douglass,Fireside
2016-2017,elementary,Mesa,Fireside,1,False,matrix,Mesa*,Fireside
2016-2017,elementary,Lafayette,Fireside,11,False,matrix,Lafayette,Fireside
2016-2017,elementary,Ryan,Fireside,5,False,matrix,Ryan,Fireside
2016-2017,elementary,Sanchez,Fireside,11,False,matrix,Sanchez,Fireside
2016-2017,elementary,Coal Creek,Fireside,6,False,matrix,Coal Creek,Fireside
2016-2017,elementary,Fireside,Fireside,338,True,matrix,Fireside,Fireside
2016-2017,elementary,Louisville,Fireside,26,False,matrix,Louisville,Fireside
2016-2017,elementary,Monarch K-8,Fireside,14,False,matrix,Monarch K-8,Fireside
2016-2017,elementary,Eldorado K-8,Fireside,3,False,matrix,Eldorado K-8,Fireside
2016-2017,elementary,Superior,Fireside,1,False,matrix,Superior,Fireside
2016-2017,elementary,Douglass,Louisville,1,False,matrix,Douglass,Louisville Elem.
2016-2017,elementary,Flatirons,Louisville,1,False,matrix,Flatirons,Louisville Elem.
2016-2017,elementary,Aspen Creek K-8,Louisville,1,False,matrix,Aspen Creek K-8,Louisville Elem.
2016-2017,elementary,Lafayette,Louisville,9,False,matrix,Lafayette,Louisville Elem.
2016-2017,elementary,Ryan,Louisville,4,False,matrix,Ryan,Louisville Elem.
2016-2017,elementary,Sanchez,Louisville,4,False,matrix,Sanchez,Louisville Elem.
2016-2017,elementary,Coal Creek,Louisville,11,False,matrix,Coal Creek,Louisville Elem.
2016-2017,elementary,Fireside,Louisville,5,False,matrix,Fireside,Louisville Elem.
2016-2017,elementary,Louisville,Louisville,520,True,matrix,Louisville,Louisville Elem.
2016-2017,elementary,Monarch K-8,Louisville,2,False,matrix,Monarch K-8,Louisville Elem.
2016-2017,elementary,Columbine,Monarch K-8,1,False,matrix,Columbine,Monarch K-8
2016-2017,elementary,Crest View,Monarch K-8,1,False,matrix,Crest View,Monarch K-8
2016-2017,elementary,Douglass,Monarch K-8,1,False,matrix,Douglass,Monarch K-8
2016-2017,elementary,Foothill,Monarch K-8,1,False,matrix,Foothill,Monarch K-8
2016-2017,elementary,Optional Bear Creek/Mesa,Monarch K-8,1,False,matrix,Optional Bear Creek/Mesa,Monarch K-8
2016-2017,elementary,Aspen Creek K-8,Monarch K-8,3,False,matrix,Aspen Creek K-8,Monarch K-8
2016-2017,elementary,Birch,Monarch K-8,1,False,matrix,Birch,Monarch K-8
2016-2017,elementary,Emerald,Monarch K-8,7,False,matrix,Emerald,Monarch K-8
2016-2017,elementary,Kohl,Monarch K-8,1,False,matrix,Kohl,Monarch K-8
2016-2017,elementary,Lafayette,Monarch K-8,17,False,matrix,Lafayette,Monarch K-8
2016-2017,elementary,Ryan,Monarch K-8,16,False,matrix,Ryan,Monarch K-8
2016-2017,elementary,Sanchez,Monarch K-8,8,False,matrix,Sanchez,Monarch K-8
2016-2017,elementary,Coal Creek,Monarch K-8,5,False,matrix,Coal Creek,Monarch K-8
2016-2017,elementary,Fireside,Monarch K-8,6,False,matrix,Fireside,Monarch K-8
2016-2017,elementary,Louisville,Monarch K-8,6,False,matrix,Louisville,Monarch K-8
2016-2017,elementary,Monarch K-8,Monarch K-8,242,True,matrix,Monarch K-8,Monarch K-8
2016-2017,elementary,Eldorado K-8,Monarch K-8,3,False,matrix,Eldorado K-8,Monarch K-8
2016-2017,elementary,Superior,Monarch K-8,8,False,matrix,Superior,Monarch K-8
2016-2017,elementary,Aspen Creek K-8,Eldorado K-8,2,False,matrix,Aspen Creek K-8,Eldorado K-8
2016-2017,elementary,Birch,Eldorado K-8,4,False,matrix,Birch,Eldorado K-8
2016-2017,elementary,Emerald,Eldorado K-8,7,False,matrix,Emerald,Eldorado K-8
2016-2017,elementary,Kohl,Eldorado K-8,1,False,matrix,Kohl,Eldorado K-8
2016-2017,elementary,Lafayette,Eldorado K-8,1,False,matrix,Lafayette,Eldorado K-8
2016-2017,elementary,Ryan,Eldorado K-8,2,False,matrix,Ryan,Eldorado K-8
2016-2017,elementary,Sanchez,Eldorado K-8,1,False,matrix,Sanchez,Eldorado K-8
2016-2017,elementary,Monarch K-8,Eldorado K-8,11,False,matrix,Monarch K-8,Eldorado K-8
2016-2017,elementary,Eldorado K-8,Eldorado K-8,368,True,matrix,Eldorado K-8,Eldorado K-8
2016-2017,elementary,Superior,Eldorado K-8,20,False,matrix,Superior,Eldorado K-8
2016-2017,elementary,Douglass,Superior,2,False,matrix,Douglass,Superior
2016-2017,elementary,Heatherwood,Superior,1,False,matrix,Heatherwood,Superior
2016-2017,elementary,Aspen Creek K-8,Superior,1,False,matrix,Aspen Creek K-8,Superior
2016-2017,elementary,Emerald,Superior,1,False,matrix,Emerald,Superior
2016-2017,elementary,Lafayette,Superior,2,False,matrix,Lafayette,Superior
2016-2017,elementary,Fireside,Superior,1,False,matrix,Fireside,Superior
2016-2017,elementary,Monarch K-8,Superior,15,False,matrix,Monarch K-8,Superior
2016-2017,elementary,Eldorado K-8,Superior,21,False,matrix,Eldorado K-8,Superior
2016-2017,elementary,Superior,Superior,413,True,matrix,Superior,Superior
2016-2017,elementary,Columbine,Gold Hill,1,False,matrix,Columbine,Gold Hill
2016-2017,elementary,Crest View,Gold Hill,2,False,matrix,Crest View,Gold Hill
2016-2017,elementary,Flatirons,Gold Hill,6,False,matrix,Flatirons,Gold Hill
2016-2017,elementary,Foothill,Gold Hill,1,False,matrix,Foothill,Gold Hill
2016-2017,elementary,Heatherwood,Gold Hill,1,False,matrix,Heatherwood,Gold Hill
2016-2017,elementary,Gold Hill,Gold Hill,9,True,matrix,Gold Hill,Gold Hill
2016-2017,elementary,Nederland,Gold Hill,6,False,matrix,Nederland,Gold Hill
2016-2017,elementary,Jamestown,Jamestown,6,True,matrix,Jamestown,Jamestown
2016-2017,elementary,Nederland,Jamestown,13,False,matrix,Nederland,Jamestown
2016-2017,elementary,Flatirons,Nederland,1,False,matrix,Flatirons,Nederland Elem.
2016-2017,elementary,Lafayette,Nederland,1,False,matrix,Lafayette,Nederland Elem.
2016-2017,elementary,Nederland,Nederland,256,True,matrix,Nederland,Nederland Elem.
2016-2017,elementary,Bear Creek,BCSIS,6,False,matrix,Bear Creek*,BCSIS
2016-2017,elementary,Columbine,BCSIS,34,False,matrix,Columbine,BCSIS
2016-2017,elementary,Creekside,BCSIS,56,False,matrix,Creekside*,BCSIS
2016-2017,elementary,Crest View,BCSIS,51,False,matrix,Crest View,BCSIS
2016-2017,elementary,Douglass,BCSIS,10,False,matrix,Douglass,BCSIS
2016-2017,elementary,Eisenhower,BCSIS,19,False,matrix,Eisenhower,BCSIS
2016-2017,elementary,Flatirons,BCSIS,15,False,matrix,Flatirons,BCSIS
2016-2017,elementary,Foothill,BCSIS,25,False,matrix,Foothill,BCSIS
2016-2017,elementary,Heatherwood,BCSIS,9,False,matrix,Heatherwood,BCSIS
2016-2017,elementary,Mesa,BCSIS,5,False,matrix,Mesa*,BCSIS
2016-2017,elementary,Whittier,BCSIS,19,False,matrix,Whittier,BCSIS
2016-2017,elementary,Optional Bear Creek/Mesa,BCSIS,4,False,matrix,Optional Bear Creek/Mesa,BCSIS
2016-2017,elementary,Lafayette,BCSIS,14,False,matrix,Lafayette,BCSIS
2016-2017,elementary,Ryan,BCSIS,5,False,matrix,Ryan,BCSIS
2016-2017,elementary,Sanchez,BCSIS,3,False,matrix,Sanchez,BCSIS
2016-2017,elementary,Coal Creek,BCSIS,5,False,matrix,Coal Creek,BCSIS
2016-2017,elementary,Fireside,BCSIS,10,False,matrix,Fireside,BCSIS
2016-2017,elementary,Louisville,BCSIS,4,False,matrix,Louisville,BCSIS
2016-2017,elementary,Monarch K-8,BCSIS,1,False,matrix,Monarch K-8,BCSIS
2016-2017,elementary,Eldorado K-8,BCSIS,3,False,matrix,Eldorado K-8,BCSIS
2016-2017,elementary,Superior,BCSIS,2,False,matrix,Superior,BCSIS
2016-2017,elementary,Jamestown,BCSIS,1,False,matrix,Jamestown,BCSIS
2016-2017,elementary,Nederland,BCSIS,3,False,matrix,Nederland,BCSIS
2016-2017,elementary,Crest View,Boulder Explorer,2,False,matrix,Crest View,Boulder Explorer
2016-2017,elementary,Flatirons,Boulder Explorer,1,False,matrix,Flatirons,Boulder Explorer
2016-2017,elementary,Lafayette,Boulder Explorer,2,False,matrix,Lafayette,Boulder Explorer
2016-2017,elementary,Louisville,Boulder Explorer,2,False,matrix,Louisville,Boulder Explorer
2016-2017,elementary,Monarch K-8,Boulder Explorer,1,False,matrix,Monarch K-8,Boulder Explorer
2016-2017,elementary,Superior,Boulder Explorer,1,False,matrix,Superior,Boulder Explorer
2016-2017,elementary,Nederland,Boulder Explorer,1,False,matrix,Nederland,Boulder Explorer
2016-2017,elementary,Bear Creek,High Peaks,1,False,matrix,Bear Creek*,High Peaks
2016-2017,elementary,Columbine,High Peaks,28,False,matrix,Columbine,High Peaks
2016-2017,elementary,Creekside,High Peaks,48,False,matrix,Creekside*,High Peaks
2016-2017,elementary,Crest View,High Peaks,36,False,matrix,Crest View,High Peaks
2016-2017,elementary,Douglass,High Peaks,20,False,matrix,Douglass,High Peaks
2016-2017,elementary,Eisenhower,High Peaks,48,False,matrix,Eisenhower,High Peaks
2016-2017,elementary,Flatirons,High Peaks,8,False,matrix,Flatirons,High Peaks
