year,candidate_sov,node_id,endorser_type,org_type,office_status_at_endorsement,held_boulder_council,held_any_elected_office,served_board_commission,page_section
2015,Bob Yates,e00598,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00614,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00628,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00634,person,,,False,False,True,Bob's Backers
2015,Bob Yates,e00635,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00637,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00639,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00645,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00646,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00659,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00674,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00676,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00679,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00682,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00683,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00685,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e00688,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00693,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00703,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00720,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00721,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00737,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00739,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00741,person,,former,False,True,False,Bob's Backers
2015,Bob Yates,e00748,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00756,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00772,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00786,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e00787,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00789,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00791,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00793,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00799,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00802,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00814,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00820,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00833,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00835,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00839,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00844,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e00849,person,,,False,False,False,Bob's Backers
