campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2019|cand|Gala Orba,2019,Official Candidate Committee,The Committee to Elect Gala Orba,2019-OCC-008,Gala Orba,candidate,45.0,2937.18,Gala Wilhelmina Orba,council,1852,FALSE,,,
2019|cand|J. Tamar Stone,2019,Official Candidate Committee,Stone for Council,2019-OCC-011,J. Tamar Stone,candidate,5.0,500.0,J. Tamar Stone,council,,,,,
2019|cand|Junie Joseph,2019,Official Candidate Committee,Junie for Boulder City Council Team,2019-OCC-003,Junie Joseph,candidate,223.0,10469.19,Junie Joseph,council,17322,TRUE,B,B,better_boulder;boulder_area_labor_council;boulder_coalition;boulder_progressives;boulder_weekly;daily_camera;open_boulder;south_boulder_creek_action_group;yellow_scene
2019|cand|Mark McIntyre,2019,Official Candidate Committee,Mark McIntyre for Boulder City Council Committee,2019-OCC-007,Mark McIntyre,candidate,146.0,11027.51,Mark McIntyre,council,13493,FALSE,B,B,better_boulder;boulder_coalition;boulder_progressives;daily_camera;open_boulder;south_boulder_creek_action_group
2019|cand|Mark Wallach,2019,Official Candidate Committee,Wallach for Council,2019-OCC-012,Mark Wallach,candidate,133.0,10340.0,Mark Wallach,council,14173,TRUE,A,A,boulder_area_labor_council;boulder_weekly;plan_boulder_county;yellow_scene
2019|cand|Nikki McCord,2019,Official Candidate Committee,Nikki with Boulder,2019-OCC-006,Nikki McCord,candidate,142.0,8680.0,Nikki McCord,council,4207,FALSE,,,boulder_area_labor_council
2019|cand|Paul Cure,2019,Official Candidate Committee,Common Ground LLC,2019-OCC-019,Paul Cure,candidate,8.0,620.0,Paul Cure,council,4046,FALSE,,,daily_camera
2019|cand|Rachel Friend,2019,Official Candidate Committee,Friend for City Council,2019-OCC-005,Rachel Friend,candidate,157.0,10633.26,Rachel Friend,council,17230,TRUE,B,B,better_boulder;boulder_coalition;boulder_progressives;boulder_weekly;daily_camera;open_boulder;south_boulder_creek_action_group;yellow_scene
2019|cand|Robert Yates,2019,Official Candidate Committee,Bob Yates for Council,2019-OCC-009,Robert Yates,candidate,239.0,20738.75,Bob Yates,council,17508,TRUE,B,B,better_boulder;boulder_coalition;boulder_weekly;daily_camera;open_boulder;south_boulder_creek_action_group
2019|cand|Susan Peterson,2019,Official Candidate Committee,Susan for City Council,2019-OCC-001,Susan Peterson,candidate,153.0,9787.0,Susan Peterson,council,12961,FALSE,A,A,boulder_area_labor_council;plan_boulder_county;yellow_scene
