donor_id,first_year,last_year,n_years,n_campaigns,total_dollars,key_has_zip,zip
d02242,2021,2021,1,1,26.27,False,
d02243,2023,2026,2,2,105.0,True,80303
d02244,2020,2021,2,2,312.45000000000005,False,
d02245,2022,2022,1,1,100.0,True,80303
d02246,2017,2017,1,1,100.0,True,80302
d02247,2015,2015,1,1,100.0,True,80302
d02248,2023,2023,1,1,25.0,True,49616
d02249,2023,2023,1,1,100.0,True,91316
d02250,2019,2019,1,1,50.0,True,80304
d02251,2015,2015,1,1,100.0,True,80304
d02252,2015,2026,2,4,103.09,True,80304
d02253,2021,2021,1,1,500.0,True,80303
d02254,2023,2026,2,2,200.0,True,97471
d02255,2023,2023,1,1,100.0,True,80304
d02256,2026,2026,1,1,100.0,False,
d02257,2021,2021,1,1,25.0,False,
d02258,2021,2021,1,1,50.0,True,80631
d02259,2025,2025,1,1,50.0,False,
d02260,2026,2026,1,1,25.0,False,
d02261,2025,2025,1,1,25.0,False,
d02262,2023,2023,1,1,20.0,True,80304
d02263,2019,2019,1,1,100.0,True,80305
d02264,2022,2022,1,1,500.0,True,87106
d02265,2026,2026,1,1,25.0,False,
d02266,2020,2020,1,1,208.0,False,
d02267,2017,2017,1,1,50.0,True,80304
d02268,2019,2019,1,2,65.0,True,80304
d02269,2023,2026,2,2,200.0,True,80302
d02270,2024,2024,1,1,1545.14,False,
d02271,2019,2019,1,1,25.0,True,80302
d02272,2026,2026,1,1,100.0,False,
d02273,2017,2017,1,1,5.0,True,63111
d02274,2021,2021,1,1,26.27,False,
d02275,2020,2020,1,1,150.0,False,
d02276,2015,2015,1,2,50.0,False,
d02277,2021,2021,1,1,100.0,False,
d02278,2015,2015,1,1,5000.0,True,80305
d02279,2015,2015,1,1,100.0,True,80021
d02280,2021,2021,1,1,100.0,True,80302
d02281,2023,2023,1,1,100.0,False,
d02282,2017,2017,1,1,5.0,True,80303
d02283,2025,2025,1,1,50.0,False,
d02284,2019,2019,1,1,25.0,False,
d02285,2025,2025,1,1,100.0,False,
d02286,2025,2025,1,1,50.0,False,
d02287,2026,2026,1,1,100.0,False,
d02288,2015,2019,2,2,200.0,True,80212
d02289,2023,2023,1,1,100.0,True,80304
d02290,2015,2015,1,1,75.0,True,80302
d02291,2020,2020,1,1,100.0,True,02143
d02292,2017,2017,1,1,150.0,True,80304
d02293,2026,2026,1,1,100.0,False,
