node_id,endorser_type,org_type,held_boulder_council,held_any_elected_office,served_board_commission,first_year,n_years,n_candidates
e00158,person,,False,False,False,2015,1,1
e00159,person,,False,False,False,2019,1,1
e00160,person,,False,False,False,2025,1,1
e00161,person,,False,False,False,2015,4,4
e00162,person,,False,False,False,2021,1,1
e00163,person,,False,False,False,2015,1,1
e00164,person,,False,False,False,2021,2,2
e00165,person,,False,False,False,2021,1,1
e00166,person,,False,False,False,2015,2,1
e00167,person,,False,True,False,2019,4,4
e00168,person,,False,False,False,2025,1,1
e00169,person,,False,False,False,2019,1,1
e00170,person,,False,False,False,2019,1,1
e00171,person,,False,False,False,2017,1,1
e00172,person,,False,False,False,2023,1,1
e00173,person,,False,False,False,2025,1,1
e00174,person,,False,False,False,2019,1,1
e00175,person,,False,False,False,2023,1,1
e00176,person,,False,False,False,2023,2,2
e00177,person,,False,False,False,2019,1,1
e00178,person,,False,False,False,2025,1,1
e00179,person,,False,False,False,2019,1,1
e00180,person,,False,False,False,2019,1,1
e00181,person,,False,False,False,2019,1,1
e00182,person,,False,False,False,2021,1,1
e00183,person,,False,False,False,2019,1,1
e00184,person,,False,False,False,2019,1,1
e00185,person,,True,True,False,2015,7,16
e00186,person,,False,False,False,2019,1,1
e00187,person,,False,False,False,2015,2,1
e00188,person,,False,False,False,2015,2,1
e00189,person,,False,False,False,2015,2,1
e00190,person,,False,False,False,2019,1,1
e00191,person,,False,False,False,2019,1,1
e00192,person,,False,False,False,2019,1,1
e00193,person,,False,False,False,2023,1,1
e00194,person,,False,False,False,2021,1,1
e00195,person,,False,False,False,2021,1,1
e00196,person,,False,False,False,2023,2,3
e00197,person,,False,False,False,2019,1,1
e00198,person,,False,False,False,2023,1,1
e00199,person,,False,False,False,2021,1,2
e00200,person,,False,False,False,2015,1,1
e00201,person,,False,False,False,2026,1,1
e00202,person,,False,False,False,2025,1,1
e00203,person,,False,False,False,2021,1,1
e00204,person,,False,True,False,2026,1,1
e00205,person,,False,False,False,2026,1,1
e00206,person,,False,False,False,2015,3,2
e00207,person,,False,False,False,2017,1,1
e00208,person,,False,False,False,2019,1,1
e00209,person,,False,False,False,2019,1,1
e00210,person,,False,False,False,2019,1,1
e00211,person,,False,False,False,2015,1,1
e00212,person,,False,False,False,2023,1,1
e00213,person,,False,False,False,2026,1,1
e00214,person,,False,False,False,2023,1,1
e00215,person,,False,False,False,2019,1,1
e00216,person,,False,False,False,2025,1,1
e00217,person,,False,False,False,2019,1,1
e00218,person,,False,False,False,2019,4,4
e00219,person,,False,False,False,2015,2,1
e00220,person,,False,False,False,2019,1,1
e00221,person,,False,False,False,2025,1,1
e00222,person,,False,False,False,2026,1,1
e00223,person,,False,False,False,2023,1,1
e00224,person,,True,True,False,2015,4,4
e00225,person,,False,False,False,2021,1,1
e00226,person,,False,False,False,2023,1,1
e00227,person,,False,False,False,2025,1,1
e00228,person,,False,False,False,2019,1,1
e00229,person,,False,False,False,2015,2,1
e00230,person,,False,False,False,2019,1,1
e00231,person,,False,False,False,2019,1,1
e00232,person,,False,False,False,2026,1,1
e00233,person,,False,False,False,2019,1,1
e00234,person,,False,False,False,2023,1,1
e00235,person,,False,False,False,2021,1,1
e00236,person,,False,False,False,2019,1,1
e00237,person,,False,False,False,2015,1,1
e00238,person,,False,False,False,2025,1,1
e00239,person,,False,False,False,2015,1,1
e00240,person,,False,False,False,2019,1,1
e00241,person,,False,False,False,2021,2,1
e00242,person,,False,False,False,2019,1,1
e00243,person,,False,False,False,2019,1,1
e00244,person,,False,False,False,2026,1,1
e00245,person,,False,False,False,2021,1,1
e00246,person,,False,False,False,2025,1,1
e00247,person,,False,False,False,2021,1,1
e00248,person,,False,False,True,2019,4,8
e00249,person,,False,False,False,2015,2,1
e00250,person,,False,False,False,2015,2,1
e00251,person,,False,False,False,2019,1,1
e00252,person,,False,False,False,2021,1,1
e00253,person,,True,True,False,2019,1,1
e00254,person,,False,False,False,2025,1,2
e00255,person,,False,False,False,2026,1,1
e00256,person,,False,False,False,2021,1,1
e00257,person,,False,False,False,2015,2,1
e00258,person,,False,False,False,2021,1,1
e00259,person,,False,False,False,2025,1,1
e00260,person,,False,False,False,2019,1,1
e00261,person,,False,False,False,2021,1,1
e00262,person,,True,True,False,2015,2,1
e00263,person,,False,False,False,2021,1,1
e00264,person,,False,True,False,2026,1,1
e00265,person,,True,True,False,2015,3,3
e00266,person,,False,False,False,2015,1,1
e00267,person,,False,False,False,2023,1,1
e00268,person,,False,False,False,2021,1,1
e00269,person,,False,False,False,2019,1,1
e00270,person,,False,False,True,2023,1,1
e00271,person,,False,False,False,2019,1,1
e00272,person,,False,False,False,2019,1,1
e00273,person,,False,True,False,2021,1,1
e00274,person,,False,False,False,2023,2,2
e00275,person,,False,True,False,2023,1,1
e00276,person,,False,False,False,2017,1,1
e00277,person,,False,False,False,2019,1,1
e00278,person,,False,False,False,2023,2,2
e00279,person,,False,False,False,2026,1,1
e00280,person,,False,False,False,2015,2,1
e00281,person,,False,False,False,2019,1,1
e00282,person,,False,False,False,2019,1,1
e00283,person,,True,True,True,2019,2,4
e00284,person,,False,False,False,2019,1,1
e00285,person,,False,False,False,2026,1,1
e00286,person,,False,False,False,2023,1,1
e00287,person,,False,False,False,2025,1,1
e00288,person,,False,False,False,2026,1,4
e00289,person,,False,False,False,2019,1,1
e00290,person,,False,False,False,2023,1,2
e00291,person,,False,False,False,2015,2,1
e00292,person,,False,False,False,2023,1,1
e00293,person,,False,False,False,2023,1,1
e00294,person,,False,False,False,2019,2,2
e00295,person,,False,False,False,2019,2,1
e00296,person,,False,False,False,2023,1,1
e00297,person,,True,True,False,2019,5,9
e00298,person,,False,False,False,2021,1,1
e00299,person,,False,False,False,2015,1,1
e00300,person,,False,False,False,2026,1,1
e00301,person,,False,False,False,2019,1,1
e00302,person,,False,False,False,2015,1,1
e00303,person,,False,False,False,2019,2,2
e00304,person,,False,False,False,2021,1,1
e00305,person,,False,False,True,2021,2,2
e00306,person,,False,False,False,2023,1,1
e00307,person,,True,True,False,2019,5,4
e00308,person,,False,False,False,2023,1,1
e00309,person,,False,False,False,2019,1,1
e00310,person,,False,False,False,2019,1,1
e00311,person,,False,False,False,2026,1,1
e00312,person,,False,False,False,2015,3,2
e00313,person,,False,False,False,2017,1,1
e00314,person,,False,False,False,2019,2,2
e00315,person,,False,False,False,2025,1,1
e00316,person,,False,False,False,2021,1,1
e00317,person,,False,False,False,2015,1,1
e00318,person,,False,False,False,2019,1,1
e00319,person,,False,False,False,2023,1,1
e00320,person,,False,False,False,2019,1,1
e00321,person,,False,False,False,2019,1,1
e00322,person,,False,False,False,2019,1,1
e00323,person,,False,False,False,2015,1,1
e00324,person,,False,False,False,2021,2,1
e00325,person,,False,False,False,2021,1,1
e00326,person,,False,False,False,2015,1,1
e00327,person,,False,False,False,2019,1,1
e00328,person,,False,False,False,2015,4,3
e00329,person,,False,False,False,2019,3,3
e00330,person,,False,False,False,2026,1,1
e00331,person,,False,False,False,2021,1,1
e00332,person,,False,False,False,2019,1,1
e00333,person,,False,False,False,2023,1,1
e00334,person,,False,False,True,2025,1,1
e00335,person,,False,False,False,2019,3,5
e00336,person,,False,False,False,2021,1,1
e00337,person,,False,False,False,2015,1,1
e00338,person,,False,False,False,2019,1,1
e00339,person,,False,False,False,2015,1,1
e00340,person,,False,False,False,2021,2,1
e00341,person,,False,False,False,2015,1,1
e00342,person,,False,False,False,2019,1,1
e00343,person,,False,False,False,2021,2,5
e00344,person,,False,False,False,2015,2,1
e00345,person,,False,False,False,2021,1,1
e00346,person,,False,False,False,2019,1,1
e00347,person,,False,False,False,2021,2,1
e00348,person,,False,False,False,2025,1,1
e00349,person,,False,False,False,2021,1,1
e00350,person,,False,False,False,2025,1,1
e00351,person,,False,False,False,2019,1,1
e00352,person,,False,False,False,2025,1,1
e00353,person,,False,False,False,2019,1,1
e00354,person,,False,False,False,2023,1,1
e00355,person,,False,False,False,2019,3,4
e00356,person,,False,False,False,2021,2,2
e00357,person,,False,False,False,2015,2,2
e00358,person,,False,False,False,2019,1,1
e00359,person,,False,False,False,2019,1,1
e00360,person,,False,False,False,2025,1,1
e00361,person,,False,False,False,2017,1,1
e00362,person,,False,False,True,2019,1,1
e00363,person,,False,False,False,2026,1,1
e00364,person,,False,False,False,2021,1,1
e00365,person,,False,False,False,2026,1,1
e00366,person,,False,False,False,2021,2,1
e00367,person,,False,False,False,2019,1,1
e00368,person,,False,False,False,2023,1,2
e00369,person,,False,False,False,2015,1,1
