series,year,label,url,fmt,measure,grain,filename
membership,2001,Fall 2001 Pupil Membership by District Setting (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200107internet.pdf,pdf,other,unknown,ed59017200107internet.pdf
membership,2001,Membership Trends for District Totals (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200108internet.pdf,pdf,other,unknown,ed59017200108internet.pdf
membership,2001,Non-Public School Membership by Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200109internet.pdf,pdf,other,unknown,ed59017200109internet.pdf
membership,2001,Districts Serving Non-Resident Students (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200110internet.pdf,pdf,other,unknown,ed59017200110internet.pdf
membership,2001,Students Attending Public Schools Not in Parent's District or Residence (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200111internet.pdf,pdf,other,unknown,ed59017200111internet.pdf
membership,2001,Fall 2001 Pupil Membership by District and Grade Leve (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200112internet.pdf,pdf,other,unknown,ed59017200112internet.pdf
membership,2001,Fall 2001 Pupil Membership by School and Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200113internet.pdf,pdf,enrollment,school,ed59017200113internet.pdf
membership,2001,"Fall 2001 Pupil Membership by School, Ethnicity, Gender & Grade Level (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200114internet.pdf,pdf,other,unknown,ed59017200114internet.pdf
membership,2001,Fall 2001 Pupil Membership by Instructional Program (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200115internet.pdf,pdf,other,unknown,ed59017200115internet.pdf
membership,2001,Membership Trends for White Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200116internet.pdf,pdf,other,unknown,ed59017200116internet.pdf
membership,2001,Membership Trends for Elementary Schools (1991-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200117internet.pdf,pdf,other,unknown,ed59017200117internet.pdf
membership,2001,"K-12 Free and Reduced Lunch Eligibility by County, and District (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200118internet.pdf,pdf,other,unknown,ed59017200118internet.pdf
membership,2001,"Home Based Education, Fall 1997 through Fall 2001 (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200119internet.pdf,pdf,other,unknown,ed59017200119internet.pdf
membership,2001,Non-Public School Membership 5-Year Trend (1997 through 2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200120internet.pdf,pdf,other,unknown,ed59017200120internet.pdf
membership,2001,Pupil Counts by Year (1981 through 2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200121internet.pdf,pdf,other,unknown,ed59017200121internet.pdf
membership,2001,Pupil Counts by Grade Comparisons (1981-1991-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200122internet.pdf,pdf,other,unknown,ed59017200122internet.pdf
membership,2001,Public School Membership 2001 Release Memo (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200123internet.pdf,pdf,other,unknown,ed59017200123internet.pdf
membership,2001,Student Teacher Ratios (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200124internet.pdf,pdf,teacher_fte,district,ed59017200124internet.pdf
membership,2001,Pupil Counts by Race/Ethnicity Comparisons (1981-1991-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200125internet.pdf,pdf,other,unknown,ed59017200125internet.pdf
membership,2001,Membership Trends for Secondary Schools (1991-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200126internet.pdf,pdf,other,unknown,ed59017200126internet.pdf
membership,2002,Fall 2002 Pupil Membership by District and Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200201internet.pdf,pdf,other,unknown,ed59017200201internet.pdf
membership,2002,Fall 2002 Pupil Membership by School and Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200202internet.pdf,pdf,enrollment,school,ed59017200202internet.pdf
membership,2002,Membership Trends for American Indian Students (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200203internet.pdf,pdf,other,unknown,ed59017200203internet.pdf
membership,2002,Membership Trends for Asian Students (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200204internet.pdf,pdf,other,unknown,ed59017200204internet.pdf
membership,2002,Membership Trends for Black Students (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200205internet.pdf,pdf,other,unknown,ed59017200205internet.pdf
membership,2002,Denver Metro Area Student Enrollment Increase from 1992 to 2002 (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200206internet.pdf,pdf,other,unknown,ed59017200206internet.pdf
membership,2002,Membership Trends for Elementary Schools (1992-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200207internet.pdf,pdf,other,unknown,ed59017200207internet.pdf
membership,2002,Membership Trends for Hispanic Students (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200208internet.pdf,pdf,other,unknown,ed59017200208internet.pdf
membership,2002,Membership Trends for District Totals (1998-2002) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200209internet.pdf,pdf,other,unknown,ed59017200209internet.pdf
membership,2002,Districts Serving Non-Resident Students (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200210internet.pdf,pdf,other,unknown,ed59017200210internet.pdf
membership,2002,Students Attending Public Schools Not in Parent's District of Residence (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2002/ed59017200211internet.pdf,pdf,other,unknown,ed59017200211internet.pdf
