year,measure,basis,value,unit,source_id
2009,budget_operating,adopted,201.992,musd,booksocr
2009,budget_operating_dedicated,adopted,119.09,musd,booksocr
2009,budget_operating_general,adopted,82.902,musd,booksocr
2009,budget_total,adopted,242.706,musd,booksocr
2009,deptexp_administration,adopted,33.969,musd,booksocr
2009,deptexp_citywide_debt,adopted,2.261,musd,booksocr
2009,deptexp_community_services,adopted,23.025,musd,booksocr
2009,deptexp_infrastructure,adopted,82.647,musd,booksocr
2009,deptexp_parks_openspace,adopted,51.399,musd,booksocr
2009,deptexp_planning_climate,adopted,8.147,musd,booksocr
2009,deptexp_public_safety,adopted,41.258,musd,booksocr
2009,revenue_intergovernmental,adopted,12.901,musd,booksocr
2009,revenue_other_unmapped,adopted,60.234,musd,booksocr
2009,revenue_property_tax,adopted,23.153,musd,booksocr
2009,revenue_sales_use_tax,adopted,90.091,musd,booksocr
2009,revenue_total,adopted,230.643,musd,booksocr
2009,revenue_utility,adopted,44.264,musd,booksocr
2009,staffing_fte,adopted,1288.52,fte,books
2010,budget_capital,adopted,28.471,musd,booksocr
2010,budget_general_fund,adopted,96.713,musd,books
2010,budget_general_fund_revenue,adopted,96.746,musd,books
2010,budget_operating,adopted,201.678,musd,booksocr
2010,budget_operating_dedicated,adopted,118.144,musd,booksocr
2010,budget_operating_general,adopted,83.534,musd,booksocr
2010,budget_total,adopted,230.149,musd,booksocr
2010,deptexp_administration,adopted,19.484,musd,booksocr
2010,deptexp_citywide_debt,adopted,2.233,musd,booksocr
2010,deptexp_community_services,adopted,21.312,musd,booksocr
2010,deptexp_infrastructure,adopted,87.589,musd,booksocr
2010,deptexp_parks_openspace,adopted,50.034,musd,booksocr
2010,deptexp_planning_climate,adopted,6.694,musd,booksocr
2010,deptexp_public_safety,adopted,42.803,musd,booksocr
2010,revenue_intergovernmental,adopted,12.967,musd,booksocr
2010,revenue_other_unmapped,adopted,56.046,musd,booksocr
2010,revenue_property_tax,adopted,26.555,musd,booksocr
2010,revenue_sales_use_tax,adopted,84.563,musd,booksocr
2010,revenue_total,adopted,224.268,musd,booksocr
2010,revenue_utility,adopted,44.137,musd,booksocr
2010,staffing_fte,adopted,1248.24,fte,books
2011,budget_capital,adopted,24.713,musd,booksocr
