file,page,holds,already_extracted_from
2018 Annual Budget - Volume 1.pdf,24,multiyear_table,no
2018 Annual Budget - Volume 1.pdf,50,pie,no
2018 Annual Budget - Volume 1.pdf,51,pie,no
2018 Annual Budget - Volume 1.pdf,57,pie,no
2018 Annual Budget - Volume 1.pdf,66,pie,no
2018 Annual Budget - Volume 1.pdf,67,pie,no
2018 Annual Budget - Volume 1.pdf,68,multiyear_table,yes
2018 Annual Budget - Volume 1.pdf,69,multiyear_table,yes
2018 Annual Budget - Volume 1.pdf,70,pie,no
2018 Annual Budget - Volume 2.pdf,45,summary_block,no
2019 Approved Operating Budget.pdf,41,multiyear_table,no
2019 Approved Operating Budget.pdf,45,multiyear_table,yes
2019 Approved Operating Budget.pdf,46,multiyear_table,yes
2019 Approved Operating Budget.pdf,47,pie,no
2019 Approved Operating Budget.pdf,57,pie,no
2019 Approved Operating Budget.pdf,58,pie,no
2020 Approved Budget.pdf,39,multiyear_table,no
2020 Approved Budget.pdf,43,multiyear_table,yes
2020 Approved Budget.pdf,44,multiyear_table,yes
2020 Approved Budget.pdf,45,pie,no
2020 Approved Budget.pdf,47,pie,no
2020 Approved Budget.pdf,55,pie,yes
2020 Approved Budget.pdf,56,pie,no
2020 Approved Budget.pdf,57,pie,no
2021 Approved Budget.pdf,44,multiyear_table,no
2021 Approved Budget.pdf,48,multiyear_table,yes
2021 Approved Budget.pdf,49,multiyear_table,yes
2021 Approved Budget.pdf,50,pie,no
2021 Approved Budget.pdf,52,pie,no
2021 Approved Budget.pdf,60,pie,yes
2021 Approved Budget.pdf,61,pie,no
2021 Approved Budget.pdf,62,pie,no
2022 Approved Budget.pdf,42,multiyear_table,no
2022 Approved Budget.pdf,46,multiyear_table,yes
2022 Approved Budget.pdf,47,multiyear_table,yes
2022 Approved Budget.pdf,48,pie,no
2022 Approved Budget.pdf,50,pie,no
2022 Approved Budget.pdf,58,pie,yes
2022 Approved Budget.pdf,59,pie,no
2022 Approved Budget.pdf,60,pie,no
2022 Approved Budget.pdf,109,multiyear_table,no
2023 Annual Budget.pdf,15,multiyear_table,yes
2023 Annual Budget.pdf,16,multiyear_table,yes
2024 Approved Budget.pdf,250,multiyear_table,no
2025 Approved Budget.pdf,18,multiyear_table,yes
2026 Annual Budget.pdf,26,multiyear_table,yes
2026 Annual Budget.pdf,27,multiyear_table,no
