year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,17-1022,Surveyors,detailed,60,28.4,30,62410,10,27.99,58220,15.98,21.91,34.07,48.36,33250,45580,70860,100580,0.355,1.14,,
2013,14500,"Boulder, CO",CO,17-2011,Aerospace Engineers,detailed,460,17.6,64.37,133880,3.6,65.74,136730,40.37,53.13,78.37,86.23,83970,110510,163010,179370,2.843,5.27,,
2013,14500,"Boulder, CO",CO,17-2031,Biomedical Engineers,detailed,70,24,46.76,97260,5,45.29,94200,29.89,34.02,58.62,68.18,62170,70770,121930,141810,0.403,2.69,,
2013,14500,"Boulder, CO",CO,17-2041,Chemical Engineers,detailed,150,20.5,44.55,92660,9.1,44.13,91800,20.18,26.47,56.8,74.75,41980,55060,118140,155490,0.927,3.69,,
2013,14500,"Boulder, CO",CO,17-2051,Civil Engineers,detailed,500,25,37.85,78740,2.3,35.92,74720,23.08,29.22,44.86,56.59,48010,60770,93300,117700,3.056,1.55,,
2013,14500,"Boulder, CO",CO,17-2061,Computer Hardware Engineers,detailed,570,18.7,57.01,118570,3.4,56.67,117870,33.68,42.05,69.6,83.9,70060,87470,144760,174510,3.504,5.98,,
2013,14500,"Boulder, CO",CO,17-2071,Electrical Engineers,detailed,370,18.4,42.59,88580,3.9,40.98,85240,27.23,32.45,52.35,59.26,56640,67490,108890,123250,2.283,1.8,,
2013,14500,"Boulder, CO",CO,17-2072,"Electronics Engineers, Except Computer",detailed,680,16.8,53,110250,4.3,53.59,111470,30.94,40.3,65.73,75.52,64360,83810,136720,157090,4.183,4.1,,
2013,14500,"Boulder, CO",CO,17-2081,Environmental Engineers,detailed,60,22.8,39.48,82130,8,37.42,77840,23.85,28.53,50.97,60.35,49610,59340,106020,125530,0.39,0.97,,
2013,14500,"Boulder, CO",CO,17-2112,Industrial Engineers,detailed,570,8.2,44.21,91960,2.4,43.41,90280,30.22,35.29,53.06,60.64,62850,73400,110370,126130,3.483,2,,
2013,14500,"Boulder, CO",CO,17-2131,Materials Engineers,detailed,140,20.7,61.3,127510,3.6,62.21,129390,39.54,49.06,74.21,84.25,82240,102050,154360,175240,0.854,4.68,,
