county_fips,year,age_group,age_lo,age_hi,pop
06083,2000,80-84,80,84,7406
06083,2000,85+,85,999,6896
06083,2010,0-4,0,4,27350
06083,2010,5-9,5,9,26303
06083,2010,10-14,10,14,26626
06083,2010,15-17,15,17,17768
06083,2010,18-19,18,19,20241
06083,2010,20-24,20,24,43026
06083,2010,25-29,25,29,31100
06083,2010,30-34,30,34,26592
06083,2010,35-39,35,39,25092
06083,2010,40-44,40,44,25386
06083,2010,45-49,45,49,27577
06083,2010,50-54,50,54,27421
06083,2010,55-59,55,59,24418
06083,2010,60-64,60,64,20597
06083,2010,65-69,65,69,15014
06083,2010,70-74,70,74,11762
06083,2010,75-79,75,79,10052
06083,2010,80-84,80,84,8480
06083,2010,85+,85,999,9090
06083,2020,0-4,0,4,24738
06083,2020,5-9,5,9,26749
06083,2020,10-14,10,14,28878
06083,2020,15-17,15,17,17059
06083,2020,18-19,18,19,17921
06083,2020,20-24,20,24,42246
06083,2020,25-29,25,29,32287
06083,2020,30-34,30,34,29988
06083,2020,35-39,35,39,28278
06083,2020,40-44,40,44,24956
06083,2020,45-49,45,49,23843
06083,2020,50-54,50,54,24319
06083,2020,55-59,55,59,26378
06083,2020,60-64,60,64,25888
06083,2020,65-69,65,69,23079
06083,2020,70-74,70,74,18732
06083,2020,75-79,75,79,12869
06083,2020,80-84,80,84,9122
06083,2020,85+,85,999,10899
06085,1990,0-4,0,4,111821
06085,1990,5-9,5,9,102044
06085,1990,10-14,10,14,90327
06085,1990,15-17,15,17,55015
06085,1990,18-19,18,19,45371
06085,1990,20-24,20,24,125178
06085,1990,25-29,25,29,159611
06085,1990,30-34,30,34,157272
06085,1990,35-39,35,39,131502
06085,1990,40-44,40,44,113192
06085,1990,45-49,45,49,91155
06085,1990,50-54,50,54,72059
06085,1990,55-59,55,59,60367
06085,1990,60-64,60,64,52345
06085,1990,65-69,65,69,46377
06085,1990,70-74,70,74,32766
06085,1990,75-79,75,79,23737
06085,1990,80-84,80,84,15274
06085,1990,85+,85,999,12164
06085,2000,0-4,0,4,119418
06085,2000,5-9,5,9,120725
06085,2000,10-14,10,14,111443
06085,2000,15-17,15,17,64816
06085,2000,18-19,18,19,43210
06085,2000,20-24,20,24,112690
06085,2000,25-29,25,29,144906
06085,2000,30-34,30,34,154234
06085,2000,35-39,35,39,156175
06085,2000,40-44,40,44,140708
06085,2000,45-49,45,49,117690
06085,2000,50-54,50,54,101025
06085,2000,55-59,55,59,76614
06085,2000,60-64,60,64,58404
06085,2000,65-69,65,69,46614
06085,2000,70-74,70,74,40579
06085,2000,75-79,75,79,34127
06085,2000,80-84,80,84,21220
06085,2000,85+,85,999,17987
06085,2010,0-4,0,4,124464
06085,2010,5-9,5,9,121928
06085,2010,10-14,10,14,113570
06085,2010,15-17,15,17,69583
06085,2010,18-19,18,19,44961
06085,2010,20-24,20,24,113117
06085,2010,25-29,25,29,133544
06085,2010,30-34,30,34,136022
06085,2010,35-39,35,39,140750
06085,2010,40-44,40,44,137619
06085,2010,45-49,45,49,138118
06085,2010,50-54,50,54,125476
06085,2010,55-59,55,59,102413
06085,2010,60-64,60,64,83133
06085,2010,65-69,65,69,60577
06085,2010,70-74,70,74,45944
06085,2010,75-79,75,79,35666
06085,2010,80-84,80,84,27282
06085,2010,85+,85,999,27475
06085,2020,0-4,0,4,101857
06085,2020,5-9,5,9,111171
06085,2020,10-14,10,14,120444
06085,2020,15-17,15,17,73070
06085,2020,18-19,18,19,47600
06085,2020,20-24,20,24,121862
06085,2020,25-29,25,29,156753
06085,2020,30-34,30,34,157785
06085,2020,35-39,35,39,149190
06085,2020,40-44,40,44,133887
06085,2020,45-49,45,49,133139
06085,2020,50-54,50,54,129909
06085,2020,55-59,55,59,124109
06085,2020,60-64,60,64,107948
06085,2020,65-69,65,69,83583
06085,2020,70-74,70,74,66089
06085,2020,75-79,75,79,47762
06085,2020,80-84,80,84,33923
06085,2020,85+,85,999,36178
08013,1990,0-4,0,4,15777
08013,1990,5-9,5,9,15318
08013,1990,10-14,10,14,13268
08013,1990,15-17,15,17,7516
08013,1990,18-19,18,19,9284
08013,1990,20-24,20,24,23497
08013,1990,25-29,25,29,20671
08013,1990,30-34,30,34,23467
08013,1990,35-39,35,39,22869
08013,1990,40-44,40,44,19359
08013,1990,45-49,45,49,13414
08013,1990,50-54,50,54,9621
08013,1990,55-59,55,59,7673
08013,1990,60-64,60,64,6396
08013,1990,65-69,65,69,5495
08013,1990,70-74,70,74,4215
08013,1990,75-79,75,79,3303
08013,1990,80-84,80,84,2226
08013,1990,85+,85,999,1970
08013,2000,0-4,0,4,17547
08013,2000,5-9,5,9,18755
08013,2000,10-14,10,14,19474
08013,2000,15-17,15,17,11061
08013,2000,18-19,18,19,11361
08013,2000,20-24,20,24,27659
08013,2000,25-29,25,29,23909
08013,2000,30-34,30,34,22815
08013,2000,35-39,35,39,24801
08013,2000,40-44,40,44,26404
08013,2000,45-49,45,49,24153
08013,2000,50-54,50,54,19646
08013,2000,55-59,55,59,12494
08013,2000,60-64,60,64,8539
08013,2000,65-69,65,69,6656
08013,2000,70-74,70,74,5495
08013,2000,75-79,75,79,4471
08013,2000,80-84,80,84,3159
08013,2000,85+,85,999,2889
08013,2010,0-4,0,4,16499
08013,2010,5-9,5,9,18100
08013,2010,10-14,10,14,17682
08013,2010,15-17,15,17,10473
08013,2010,18-19,18,19,12476
08013,2010,20-24,20,24,29354
08013,2010,25-29,25,29,20208
08013,2010,30-34,30,34,19171
08013,2010,35-39,35,39,20177
08013,2010,40-44,40,44,20812
08013,2010,45-49,45,49,22085
08013,2010,50-54,50,54,22522
08013,2010,55-59,55,59,19866
08013,2010,60-64,60,64,15621
08013,2010,65-69,65,69,10006
08013,2010,70-74,70,74,6725
08013,2010,75-79,75,79,4943
08013,2010,80-84,80,84,3794
08013,2010,85+,85,999,4053
08013,2020,0-4,0,4,13858
08013,2020,5-9,5,9,16789
08013,2020,10-14,10,14,19435
08013,2020,15-17,15,17,12036
08013,2020,18-19,18,19,14389
08013,2020,20-24,20,24,30397
08013,2020,25-29,25,29,24443
08013,2020,30-34,30,34,22883
08013,2020,35-39,35,39,21153
08013,2020,40-44,40,44,20867
08013,2020,45-49,45,49,21106
08013,2020,50-54,50,54,20890
08013,2020,55-59,55,59,20802
08013,2020,60-64,60,64,20447
08013,2020,65-69,65,69,17978
08013,2020,70-74,70,74,14138
08013,2020,75-79,75,79,8651
08013,2020,80-84,80,84,5357
08013,2020,85+,85,999,5139
08014,2010,0-4,0,4,3944
08014,2010,5-9,5,9,4382
08014,2010,10-14,10,14,4016
08014,2010,15-17,15,17,2310
08014,2010,18-19,18,19,1184
08014,2010,20-24,20,24,3129
08014,2010,25-29,25,29,3660
08014,2010,30-34,30,34,4136
08014,2010,35-39,35,39,4480
08014,2010,40-44,40,44,4485
08014,2010,45-49,45,49,4485
08014,2010,50-54,50,54,4154
08014,2010,55-59,55,59,3338
08014,2010,60-64,60,64,2678
08014,2010,65-69,65,69,1826
08014,2010,70-74,70,74,1282
08014,2010,75-79,75,79,1009
08014,2010,80-84,80,84,757
08014,2010,85+,85,999,634
08014,2020,0-4,0,4,3531
08014,2020,5-9,5,9,4367
08014,2020,10-14,10,14,5166
08014,2020,15-17,15,17,3132
08014,2020,18-19,18,19,1556
08014,2020,20-24,20,24,4609
08014,2020,25-29,25,29,6113
08014,2020,30-34,30,34,5786
08014,2020,35-39,35,39,5143
08014,2020,40-44,40,44,5303
08014,2020,45-49,45,49,5327
08014,2020,50-54,50,54,4684
08014,2020,55-59,55,59,4400
08014,2020,60-64,60,64,4131
08014,2020,65-69,65,69,3488
08014,2020,70-74,70,74,3121
08014,2020,75-79,75,79,1955
08014,2020,80-84,80,84,1157
08014,2020,85+,85,999,1143
08069,1990,0-4,0,4,13552
08069,1990,5-9,5,9,14065
08069,1990,10-14,10,14,12511
08069,1990,15-17,15,17,6933
08069,1990,18-19,18,19,7880
08069,1990,20-24,20,24,18659
08069,1990,25-29,25,29,15565
08069,1990,30-34,30,34,17819
08069,1990,35-39,35,39,17375
08069,1990,40-44,40,44,14160
08069,1990,45-49,45,49,10272
08069,1990,50-54,50,54,7311
08069,1990,55-59,55,59,6285
08069,1990,60-64,60,64,5892
08069,1990,65-69,65,69,5793
08069,1990,70-74,70,74,4463
08069,1990,75-79,75,79,3421
08069,1990,80-84,80,84,2281
08069,1990,85+,85,999,1899
08069,2000,0-4,0,4,15261
08069,2000,5-9,5,9,16480
08069,2000,10-14,10,14,17742
08069,2000,15-17,15,17,10272
08069,2000,18-19,18,19,10256
08069,2000,20-24,20,24,25404
08069,2000,25-29,25,29,19203
08069,2000,30-34,30,34,16982
08069,2000,35-39,35,39,19604
08069,2000,40-44,40,44,21495
08069,2000,45-49,45,49,19882
08069,2000,50-54,50,54,15776
08069,2000,55-59,55,59,11145
08069,2000,60-64,60,64,7955
08069,2000,65-69,65,69,6813
08069,2000,70-74,70,74,5997
08069,2000,75-79,75,79,4954
08069,2000,80-84,80,84,3335
08069,2000,85+,85,999,2938
08069,2010,0-4,0,4,17554
08069,2010,5-9,5,9,18018
08069,2010,10-14,10,14,17550
08069,2010,15-17,15,17,10935
08069,2010,18-19,18,19,11819
08069,2010,20-24,20,24,29975
08069,2010,25-29,25,29,22334
08069,2010,30-34,30,34,19797
08069,2010,35-39,35,39,18842
08069,2010,40-44,40,44,17723
08069,2010,45-49,45,49,20509
08069,2010,50-54,50,54,22058
08069,2010,55-59,55,59,20301
08069,2010,60-64,60,64,16674
08069,2010,65-69,65,69,11785
08069,2010,70-74,70,74,8029
08069,2010,75-79,75,79,6117
08069,2010,80-84,80,84,4781
08069,2010,85+,85,999,4829
08069,2020,0-4,0,4,16645
08069,2020,5-9,5,9,19659
08069,2020,10-14,10,14,20970
08069,2020,15-17,15,17,12459
08069,2020,18-19,18,19,13260
08069,2020,20-24,20,24,31527
08069,2020,25-29,25,29,27672
08069,2020,30-34,30,34,25599
08069,2020,35-39,35,39,23944
08069,2020,40-44,40,44,22090
08069,2020,45-49,45,49,20456
08069,2020,50-54,50,54,19142
08069,2020,55-59,55,59,21417
08069,2020,60-64,60,64,23045
08069,2020,65-69,65,69,21227
08069,2020,70-74,70,74,16545
08069,2020,75-79,75,79,10696
08069,2020,80-84,80,84,6331
08069,2020,85+,85,999,6382
08123,1990,0-4,0,4,10389
08123,1990,5-9,5,9,11009
08123,1990,10-14,10,14,10119
08123,1990,15-17,15,17,5496
08123,1990,18-19,18,19,5449
08123,1990,20-24,20,24,11943
08123,1990,25-29,25,29,10357
08123,1990,30-34,30,34,11292
08123,1990,35-39,35,39,11151
08123,1990,40-44,40,44,9029
08123,1990,45-49,45,49,7055
08123,1990,50-54,50,54,5559
08123,1990,55-59,55,59,4957
08123,1990,60-64,60,64,4562
08123,1990,65-69,65,69,4160
08123,1990,70-74,70,74,3358
08123,1990,75-79,75,79,2663
08123,1990,80-84,80,84,1833
08123,1990,85+,85,999,1440
08123,2000,0-4,0,4,14047
08123,2000,5-9,5,9,14400
08123,2000,10-14,10,14,14176
08123,2000,15-17,15,17,8410
08123,2000,18-19,18,19,7676
08123,2000,20-24,20,24,16123
08123,2000,25-29,25,29,13060
08123,2000,30-34,30,34,12825
08123,2000,35-39,35,39,14018
08123,2000,40-44,40,44,13856
08123,2000,45-49,45,49,12600
08123,2000,50-54,50,54,10144
08123,2000,55-59,55,59,7491
08123,2000,60-64,60,64,5870
08123,2000,65-69,65,69,4730
08123,2000,70-74,70,74,4037
08123,2000,75-79,75,79,3291
08123,2000,80-84,80,84,2198
08123,2000,85+,85,999,1984
08123,2010,0-4,0,4,20001
08123,2010,5-9,5,9,20587
08123,2010,10-14,10,14,18795
08123,2010,15-17,15,17,11018
08123,2010,18-19,18,19,8865
08123,2010,20-24,20,24,18854
08123,2010,25-29,25,29,17201
08123,2010,30-34,30,34,17714
08123,2010,35-39,35,39,17733
08123,2010,40-44,40,44,16977
08123,2010,45-49,45,49,17216
08123,2010,50-54,50,54,16848
08123,2010,55-59,55,59,14851
08123,2010,60-64,60,64,11930
08123,2010,65-69,65,69,8209
08123,2010,70-74,70,74,5905
08123,2010,75-79,75,79,4192
08123,2010,80-84,80,84,3075
08123,2010,85+,85,999,2854
08123,2020,0-4,0,4,22744
08123,2020,5-9,5,9,24431
08123,2020,10-14,10,14,25257
08123,2020,15-17,15,17,14716
08123,2020,18-19,18,19,9955
08123,2020,20-24,20,24,22274
08123,2020,25-29,25,29,22817
08123,2020,30-34,30,34,24911
08123,2020,35-39,35,39,24283
08123,2020,40-44,40,44,21411
08123,2020,45-49,45,49,19713
08123,2020,50-54,50,54,18563
08123,2020,55-59,55,59,18863
08123,2020,60-64,60,64,17736
08123,2020,65-69,65,69,15010
08123,2020,70-74,70,74,11089
08123,2020,75-79,75,79,7061
08123,2020,80-84,80,84,4328
08123,2020,85+,85,999,3819
09009,1990,0-4,0,4,56626
09009,1990,5-9,5,9,50921
09009,1990,10-14,10,14,47072
09009,1990,15-17,15,17,27999
09009,1990,18-19,18,19,23513
09009,1990,20-24,20,24,62711
09009,1990,25-29,25,29,71999
09009,1990,30-34,30,34,72796
09009,1990,35-39,35,39,63634
09009,1990,40-44,40,44,58025
09009,1990,45-49,45,49,45931
09009,1990,50-54,50,54,35104
09009,1990,55-59,55,59,34025
09009,1990,60-64,60,64,35886
09009,1990,65-69,65,69,36074
09009,1990,70-74,70,74,31098
09009,1990,75-79,75,79,23627
09009,1990,80-84,80,84,14747
09009,1990,85+,85,999,12431
09009,2000,0-4,0,4,53094
09009,2000,5-9,5,9,57953
09009,2000,10-14,10,14,58270
09009,2000,15-17,15,17,32362
09009,2000,18-19,18,19,21922
09009,2000,20-24,20,24,49587
09009,2000,25-29,25,29,51554
09009,2000,30-34,30,34,60758
09009,2000,35-39,35,39,67177
09009,2000,40-44,40,44,67359
09009,2000,45-49,45,49,59074
09009,2000,50-54,50,54,53789
09009,2000,55-59,55,59,41113
09009,2000,60-64,60,64,30704
09009,2000,65-69,65,69,27993
09009,2000,70-74,70,74,28322
09009,2000,75-79,75,79,26391
09009,2000,80-84,80,84,19658
09009,2000,85+,85,999,16928
09009,2010,0-4,0,4,48663
09009,2010,5-9,5,9,51759
09009,2010,10-14,10,14,56357
09009,2010,15-17,15,17,36195
09009,2010,18-19,18,19,26053
09009,2010,20-24,20,24,59639
09009,2010,25-29,25,29,55980
09009,2010,30-34,30,34,51911
09009,2010,35-39,35,39,52865
09009,2010,40-44,40,44,61142
09009,2010,45-49,45,49,66525
09009,2010,50-54,50,54,66098
09009,2010,55-59,55,59,56439
09009,2010,60-64,60,64,48879
09009,2010,65-69,65,69,35620
09009,2010,70-74,70,74,25114
09009,2010,75-79,75,79,21730
09009,2010,80-84,80,84,19395
09009,2010,85+,85,999,22113
09009,2020,0-4,0,4,42286
09009,2020,5-9,5,9,46675
09009,2020,10-14,10,14,51814
09009,2020,15-17,15,17,33066
09009,2020,18-19,18,19,25287
09009,2020,20-24,20,24,60528
09009,2020,25-29,25,29,57253
09009,2020,30-34,30,34,57792
09009,2020,35-39,35,39,52992
09009,2020,40-44,40,44,50085
09009,2020,45-49,45,49,50821
09009,2020,50-54,50,54,57932
09009,2020,55-59,55,59,62250
09009,2020,60-64,60,64,59757
09009,2020,65-69,65,69,48896
09009,2020,70-74,70,74,40409
09009,2020,75-79,75,79,27879
09009,2020,80-84,80,84,17874
09009,2020,85+,85,999,21239
12001,1990,0-4,0,4,11772
12001,1990,5-9,5,9,11814
12001,1990,10-14,10,14,10088
12001,1990,15-17,15,17,5841
12001,1990,18-19,18,19,11523
12001,1990,20-24,20,24,28369
12001,1990,25-29,25,29,17207
12001,1990,30-34,30,34,15582
12001,1990,35-39,35,39,14143
12001,1990,40-44,40,44,11983
12001,1990,45-49,45,49,8445
12001,1990,50-54,50,54,6413
12001,1990,55-59,55,59,5707
12001,1990,60-64,60,64,5799
12001,1990,65-69,65,69,5732
12001,1990,70-74,70,74,4259
12001,1990,75-79,75,79,3183
12001,1990,80-84,80,84,2094
12001,1990,85+,85,999,1642
12001,2000,0-4,0,4,11161
12001,2000,5-9,5,9,12089
12001,2000,10-14,10,14,12937
12001,2000,15-17,15,17,7751
12001,2000,18-19,18,19,14603
12001,2000,20-24,20,24,36011
12001,2000,25-29,25,29,17651
12001,2000,30-34,30,34,13756
12001,2000,35-39,35,39,14299
12001,2000,40-44,40,44,14704
12001,2000,45-49,45,49,14297
12001,2000,50-54,50,54,12384
12001,2000,55-59,55,59,8749
12001,2000,60-64,60,64,6645
12001,2000,65-69,65,69,5646
12001,2000,70-74,70,74,5223
12001,2000,75-79,75,79,4490
12001,2000,80-84,80,84,3059
12001,2000,85+,85,999,2500
12001,2010,0-4,0,4,13068
12001,2010,5-9,5,9,11739
12001,2010,10-14,10,14,11669
12001,2010,15-17,15,17,7809
12001,2010,18-19,18,19,15780
12001,2010,20-24,20,24,41515
12001,2010,25-29,25,29,21724
