version,year,family,term,count,word_count
1990,1990,Preservation,\bopen\s+space,80,54196
1990,1990,Preservation,\bneighborhood character,0,54196
1990,1990,Preservation,\bcommunity character,1,54196
1990,1990,Preservation,\bhistoric character,3,54196
1990,1990,Preservation,\brural character,0,54196
1990,1990,Preservation,\bgrowth management,6,54196
1990,1990,Preservation,\bcompatib[a-z]*,19,54196
1990,1990,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,18,54196
1990,1990,Children & schools,\bchild[a-z]*,32,54196
1990,1990,Children & schools,\bschool[a-z]*,31,54196
1990,1990,Children & schools,\bstudent[a-z]*,3,54196
1990,1990,Children & schools,\byouth[a-z]*,14,54196
1990,1990,Children & schools,\bplayground[a-z]*,3,54196
1990,1990,Housing affordability,\bafford[a-z]*,15,54196
1996,1996,Preservation,\bpreserv[a-z]*,119,61498
1996,1996,Preservation,\bopen\s+space,81,61498
1996,1996,Preservation,\bneighborhood character,4,61498
1996,1996,Preservation,\bcommunity character,3,61498
1996,1996,Preservation,\bhistoric character,1,61498
1996,1996,Preservation,\brural character,2,61498
1996,1996,Preservation,\bgrowth management,9,61498
1996,1996,Preservation,\bcompatib[a-z]*,26,61498
1996,1996,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,16,61498
1996,1996,Children & schools,\bchild[a-z]*,23,61498
1996,1996,Children & schools,\bschool[a-z]*,45,61498
1996,1996,Children & schools,\bstudent[a-z]*,5,61498
1996,1996,Children & schools,\byouth[a-z]*,9,61498
1996,1996,Children & schools,\bplayground[a-z]*,4,61498
1996,1996,Housing affordability,\bafford[a-z]*,43,61498
2001,2001,Preservation,\bpreserv[a-z]*,178,70921
2001,2001,Preservation,\bopen\s+space,115,70921
2001,2001,Preservation,\bneighborhood character,7,70921
2001,2001,Preservation,\bcommunity character,7,70921
2001,2001,Preservation,\bhistoric character,3,70921
2001,2001,Preservation,\brural character,2,70921
2001,2001,Preservation,\bgrowth management,12,70921
2001,2001,Preservation,\bcompatib[a-z]*,25,70921
2001,2001,Children & schools,(?<!single-)(?<!single )(?<!multi-)(?<!multi )(?<!multiple-)(?<!multiple )(?<!two-)(?<!two )\bfamil[a-z]*,22,70921
2001,2001,Children & schools,\bchild[a-z]*,28,70921
2001,2001,Children & schools,\bschool[a-z]*,56,70921
2001,2001,Children & schools,\bstudent[a-z]*,8,70921
2001,2001,Children & schools,\byouth[a-z]*,13,70921
2001,2001,Children & schools,\bplayground[a-z]*,13,70921
2001,2001,Housing affordability,\bafford[a-z]*,65,70921
2005,2005,Preservation,\bpreserv[a-z]*,169,53761
2005,2005,Preservation,\bopen\s+space,94,53761
2005,2005,Preservation,\bneighborhood character,7,53761
2005,2005,Preservation,\bcommunity character,8,53761
2005,2005,Preservation,\bhistoric character,2,53761
2005,2005,Preservation,\brural character,3,53761
