place_fips,year,age_group,age_lo,age_hi,pop
0137000,2020,85+,85,999,4751
0473000,1990,0-4,0,4,9256
0473000,1990,5-9,5,9,8510
0473000,1990,10-14,10,14,7985
0473000,1990,15-17,15,17,4876
0473000,1990,18-19,18,19,8072
0473000,1990,20-24,20,24,21061
0473000,1990,25-29,25,29,16520
0473000,1990,30-34,30,34,13551
0473000,1990,35-39,35,39,11384
0473000,1990,40-44,40,44,9887
0473000,1990,45-49,45,49,7710
0473000,1990,50-54,50,54,5588
0473000,1990,55-59,55,59,4522
0473000,1990,60-64,60,64,3638
0473000,1990,65-69,65,69,3179
0473000,1990,70-74,70,74,2382
0473000,1990,75-79,75,79,1722
0473000,1990,80-84,80,84,1172
0473000,1990,85+,85,999,850
0473000,2000,0-4,0,4,9074
0473000,2000,5-9,5,9,8466
0473000,2000,10-14,10,14,8625
0473000,2000,15-17,15,17,5316
0473000,2000,18-19,18,19,9279
0473000,2000,20-24,20,24,24530
0473000,2000,25-29,25,29,17920
0473000,2000,30-34,30,34,12790
0473000,2000,35-39,35,39,11224
0473000,2000,40-44,40,44,10694
0473000,2000,45-49,45,49,10035
0473000,2000,50-54,50,54,8659
0473000,2000,55-59,55,59,6283
0473000,2000,60-64,60,64,4324
0473000,2000,65-69,65,69,3427
0473000,2000,70-74,70,74,2777
0473000,2000,75-79,75,79,2289
0473000,2000,80-84,80,84,1543
0473000,2000,85+,85,999,1370
0473000,2010,0-4,0,4,8049
0473000,2010,5-9,5,9,7218
0473000,2010,10-14,10,14,7203
0473000,2010,15-17,15,17,4738
0473000,2010,18-19,18,19,11703
0473000,2010,20-24,20,24,30009
0473000,2010,25-29,25,29,18046
0473000,2010,30-34,30,34,11281
0473000,2010,35-39,35,39,9111
0473000,2010,40-44,40,44,8105
0473000,2010,45-49,45,49,8873
0473000,2010,50-54,50,54,9037
0473000,2010,55-59,55,59,8067
0473000,2010,60-64,60,64,6619
0473000,2010,65-69,65,69,4549
0473000,2010,70-74,70,74,3075
0473000,2010,75-79,75,79,2395
0473000,2010,80-84,80,84,1760
0473000,2010,85+,85,999,1881
0473000,2020,0-4,0,4,8390
0473000,2020,5-9,5,9,7443
0473000,2020,10-14,10,14,7266
0473000,2020,15-17,15,17,4433
0473000,2020,18-19,18,19,10223
0473000,2020,20-24,20,24,32001
0473000,2020,25-29,25,29,22925
0473000,2020,30-34,30,34,15422
0473000,2020,35-39,35,39,11002
0473000,2020,40-44,40,44,8712
0473000,2020,45-49,45,49,7987
0473000,2020,50-54,50,54,7928
0473000,2020,55-59,55,59,8327
0473000,2020,60-64,60,64,8077
0473000,2020,65-69,65,69,6742
0473000,2020,70-74,70,74,5388
0473000,2020,75-79,75,79,3653
0473000,2020,80-84,80,84,2337
0473000,2020,85+,85,999,2331
0606000,1990,0-4,0,4,4720
0606000,1990,5-9,5,9,4135
0606000,1990,10-14,10,14,3550
0606000,1990,15-17,15,17,2275
0606000,1990,18-19,18,19,6208
0606000,1990,20-24,20,24,16834
0606000,1990,25-29,25,29,10177
0606000,1990,30-34,30,34,9256
0606000,1990,35-39,35,39,8980
0606000,1990,40-44,40,44,8600
0606000,1990,45-49,45,49,6283
0606000,1990,50-54,50,54,4156
0606000,1990,55-59,55,59,3230
0606000,1990,60-64,60,64,3068
0606000,1990,65-69,65,69,3379
0606000,1990,70-74,70,74,2706
0606000,1990,75-79,75,79,2260
0606000,1990,80-84,80,84,1448
0606000,1990,85+,85,999,1459
0606000,2000,0-4,0,4,4109
0606000,2000,5-9,5,9,4032
0606000,2000,10-14,10,14,3974
0606000,2000,15-17,15,17,2398
0606000,2000,18-19,18,19,5580
0606000,2000,20-24,20,24,16579
0606000,2000,25-29,25,29,10127
0606000,2000,30-34,30,34,8233
0606000,2000,35-39,35,39,7359
0606000,2000,40-44,40,44,6951
0606000,2000,45-49,45,49,7032
0606000,2000,50-54,50,54,7293
0606000,2000,55-59,55,59,5197
0606000,2000,60-64,60,64,3395
0606000,2000,65-69,65,69,2566
0606000,2000,70-74,70,74,2427
0606000,2000,75-79,75,79,2372
0606000,2000,80-84,80,84,1597
0606000,2000,85+,85,999,1522
0606000,2010,0-4,0,4,4136
0606000,2010,5-9,5,9,3793
0606000,2010,10-14,10,14,3610
0606000,2010,15-17,15,17,2333
0606000,2010,18-19,18,19,9469
0606000,2010,20-24,20,24,20826
0606000,2010,25-29,25,29,10302
0606000,2010,30-34,30,34,7395
0606000,2010,35-39,35,39,6421
0606000,2010,40-44,40,44,6113
0606000,2010,45-49,45,49,6117
0606000,2010,50-54,50,54,6136
0606000,2010,55-59,55,59,6413
0606000,2010,60-64,60,64,6340
0606000,2010,65-69,65,69,4586
0606000,2010,70-74,70,74,2891
0606000,2010,75-79,75,79,2044
0606000,2010,80-84,80,84,1683
0606000,2010,85+,85,999,1972
0606000,2020,0-4,0,4,4097
0606000,2020,5-9,5,9,4082
0606000,2020,10-14,10,14,4352
0606000,2020,15-17,15,17,2863
0606000,2020,18-19,18,19,10058
0606000,2020,20-24,20,24,21960
0606000,2020,25-29,25,29,11848
0606000,2020,30-34,30,34,9351
0606000,2020,35-39,35,39,7271
0606000,2020,40-44,40,44,6252
0606000,2020,45-49,45,49,6085
0606000,2020,50-54,50,54,5790
0606000,2020,55-59,55,59,5827
0606000,2020,60-64,60,64,5559
0606000,2020,65-69,65,69,5539
0606000,2020,70-74,70,74,5612
0606000,2020,75-79,75,79,3780
0606000,2020,80-84,80,84,2088
0606000,2020,85+,85,999,1907
0636770,1990,0-4,0,4,7542
0636770,1990,5-9,5,9,7672
0636770,1990,10-14,10,14,7221
0636770,1990,15-17,15,17,4466
0636770,1990,18-19,18,19,4751
0636770,1990,20-24,20,24,10537
0636770,1990,25-29,25,29,10113
0636770,1990,30-34,30,34,10953
0636770,1990,35-39,35,39,10962
0636770,1990,40-44,40,44,10759
0636770,1990,45-49,45,49,7875
0636770,1990,50-54,50,54,4985
0636770,1990,55-59,55,59,3485
0636770,1990,60-64,60,64,2652
0636770,1990,65-69,65,69,2326
0636770,1990,70-74,70,74,1620
0636770,1990,75-79,75,79,1199
0636770,1990,80-84,80,84,685
0636770,1990,85+,85,999,527
0636770,2000,0-4,0,4,7997
0636770,2000,5-9,5,9,9680
0636770,2000,10-14,10,14,9871
0636770,2000,15-17,15,17,6007
0636770,2000,18-19,18,19,7451
0636770,2000,20-24,20,24,13151
0636770,2000,25-29,25,29,10361
0636770,2000,30-34,30,34,11166
0636770,2000,35-39,35,39,12178
0636770,2000,40-44,40,44,12570
0636770,2000,45-49,45,49,11503
0636770,2000,50-54,50,54,9870
0636770,2000,55-59,55,59,6635
0636770,2000,60-64,60,64,4330
0636770,2000,65-69,65,69,3039
0636770,2000,70-74,70,74,2541
0636770,2000,75-79,75,79,2262
0636770,2000,80-84,80,84,1356
0636770,2000,85+,85,999,1104
0636770,2010,0-4,0,4,12005
0636770,2010,5-9,5,9,12737
0636770,2010,10-14,10,14,12852
0636770,2010,15-17,15,17,8081
0636770,2010,18-19,18,19,10018
0636770,2010,20-24,20,24,20366
0636770,2010,25-29,25,29,17414
0636770,2010,30-34,30,34,16147
0636770,2010,35-39,35,39,16707
0636770,2010,40-44,40,44,16402
0636770,2010,45-49,45,49,15639
0636770,2010,50-54,50,54,14198
0636770,2010,55-59,55,59,11762
0636770,2010,60-64,60,64,9586
0636770,2010,65-69,65,69,6524
0636770,2010,70-74,70,74,4338
0636770,2010,75-79,75,79,3042
0636770,2010,80-84,80,84,2243
0636770,2010,85+,85,999,2314
0636770,2020,0-4,0,4,15611
0636770,2020,5-9,5,9,18328
0636770,2020,10-14,10,14,19248
0636770,2020,15-17,15,17,11346
0636770,2020,18-19,18,19,13489
0636770,2020,20-24,20,24,30494
0636770,2020,25-29,25,29,25223
0636770,2020,30-34,30,34,23243
0636770,2020,35-39,35,39,23334
0636770,2020,40-44,40,44,22801
0636770,2020,45-49,45,49,22059
0636770,2020,50-54,50,54,19303
0636770,2020,55-59,55,59,15825
0636770,2020,60-64,60,64,13480
0636770,2020,65-69,65,69,11035
0636770,2020,70-74,70,74,9344
0636770,2020,75-79,75,79,6276
0636770,2020,80-84,80,84,3818
0636770,2020,85+,85,999,3413
0649670,1990,0-4,0,4,4441
0649670,1990,5-9,5,9,3388
0649670,1990,10-14,10,14,2589
0649670,1990,15-17,15,17,1554
0649670,1990,18-19,18,19,1290
0649670,1990,20-24,20,24,5617
0649670,1990,25-29,25,29,9777
0649670,1990,30-34,30,34,9102
0649670,1990,35-39,35,39,6873
0649670,1990,40-44,40,44,5021
0649670,1990,45-49,45,49,3637
0649670,1990,50-54,50,54,2777
0649670,1990,55-59,55,59,2418
0649670,1990,60-64,60,64,2367
0649670,1990,65-69,65,69,2149
0649670,1990,70-74,70,74,1740
0649670,1990,75-79,75,79,1213
0649670,1990,80-84,80,84,790
0649670,1990,85+,85,999,717
0649670,2000,0-4,0,4,4270
0649670,2000,5-9,5,9,3580
0649670,2000,10-14,10,14,3130
0649670,2000,15-17,15,17,1716
0649670,2000,18-19,18,19,1144
0649670,2000,20-24,20,24,4740
0649670,2000,25-29,25,29,8625
0649670,2000,30-34,30,34,8796
0649670,2000,35-39,35,39,7262
0649670,2000,40-44,40,44,6014
0649670,2000,45-49,45,49,4857
0649670,2000,50-54,50,54,4032
0649670,2000,55-59,55,59,2957
0649670,2000,60-64,60,64,2169
0649670,2000,65-69,65,69,1855
0649670,2000,70-74,70,74,1868
0649670,2000,75-79,75,79,1714
0649670,2000,80-84,80,84,1080
0649670,2000,85+,85,999,899
0649670,2010,0-4,0,4,5254
0649670,2010,5-9,5,9,4079
0649670,2010,10-14,10,14,3235
0649670,2010,15-17,15,17,2027
0649670,2010,18-19,18,19,1232
0649670,2010,20-24,20,24,4169
0649670,2010,25-29,25,29,7727
0649670,2010,30-34,30,34,7910
0649670,2010,35-39,35,39,6909
0649670,2010,40-44,40,44,6031
0649670,2010,45-49,45,49,5395
0649670,2010,50-54,50,54,4899
0649670,2010,55-59,55,59,4051
0649670,2010,60-64,60,64,3302
0649670,2010,65-69,65,69,2316
0649670,2010,70-74,70,74,1797
0649670,2010,75-79,75,79,1352
0649670,2010,80-84,80,84,1184
0649670,2010,85+,85,999,1197
0649670,2020,0-4,0,4,4818
0649670,2020,5-9,5,9,4541
0649670,2020,10-14,10,14,4119
0649670,2020,15-17,15,17,2381
0649670,2020,18-19,18,19,1197
0649670,2020,20-24,20,24,4333
0649670,2020,25-29,25,29,9190
0649670,2020,30-34,30,34,10011
0649670,2020,35-39,35,39,8017
0649670,2020,40-44,40,44,6033
0649670,2020,45-49,45,49,5215
0649670,2020,50-54,50,54,4758
0649670,2020,55-59,55,59,4246
0649670,2020,60-64,60,64,3778
0649670,2020,65-69,65,69,2983
0649670,2020,70-74,70,74,2346
0649670,2020,75-79,75,79,1670
0649670,2020,80-84,80,84,1241
0649670,2020,85+,85,999,1499
0656000,1990,0-4,0,4,9707
0656000,1990,5-9,5,9,7878
0656000,1990,10-14,10,14,7134
0656000,1990,15-17,15,17,4264
0656000,1990,18-19,18,19,3562
0656000,1990,20-24,20,24,11476
0656000,1990,25-29,25,29,14469
0656000,1990,30-34,30,34,13485
0656000,1990,35-39,35,39,11104
0656000,1990,40-44,40,44,9066
0656000,1990,45-49,45,49,6936
0656000,1990,50-54,50,54,5403
0656000,1990,55-59,55,59,4859
0656000,1990,60-64,60,64,4910
0656000,1990,65-69,65,69,4769
0656000,1990,70-74,70,74,3936
0656000,1990,75-79,75,79,3515
0656000,1990,80-84,80,84,2618
0656000,1990,85+,85,999,2500
0656000,2000,0-4,0,4,9202
0656000,2000,5-9,5,9,9321
0656000,2000,10-14,10,14,8102
0656000,2000,15-17,15,17,4331
0656000,2000,18-19,18,19,3136
0656000,2000,20-24,20,24,9334
0656000,2000,25-29,25,29,12290
0656000,2000,30-34,30,34,12454
0656000,2000,35-39,35,39,11824
0656000,2000,40-44,40,44,10180
0656000,2000,45-49,45,49,8931
0656000,2000,50-54,50,54,7848
0656000,2000,55-59,55,59,6158
0656000,2000,60-64,60,64,4603
0656000,2000,65-69,65,69,3896
0656000,2000,70-74,70,74,3880
0656000,2000,75-79,75,79,3404
0656000,2000,80-84,80,84,2481
0656000,2000,85+,85,999,2561
0656000,2010,0-4,0,4,8274
0656000,2010,5-9,5,9,7060
0656000,2010,10-14,10,14,6835
0656000,2010,15-17,15,17,4338
0656000,2010,18-19,18,19,3341
0656000,2010,20-24,20,24,9268
0656000,2010,25-29,25,29,12680
0656000,2010,30-34,30,34,12118
0656000,2010,35-39,35,39,10718
0656000,2010,40-44,40,44,9855
0656000,2010,45-49,45,49,9545
0656000,2010,50-54,50,54,9264
0656000,2010,55-59,55,59,8097
0656000,2010,60-64,60,64,7167
0656000,2010,65-69,65,69,5492
0656000,2010,70-74,70,74,3906
0656000,2010,75-79,75,79,3210
0656000,2010,80-84,80,84,2752
0656000,2010,85+,85,999,3202
0656000,2020,0-4,0,4,6444
0656000,2020,5-9,5,9,6014
0656000,2020,10-14,10,14,6407
0656000,2020,15-17,15,17,3815
0656000,2020,18-19,18,19,2618
0656000,2020,20-24,20,24,8235
0656000,2020,25-29,25,29,11827
0656000,2020,30-34,30,34,12777
0656000,2020,35-39,35,39,11238
0656000,2020,40-44,40,44,9467
0656000,2020,45-49,45,49,9129
0656000,2020,50-54,50,54,9044
0656000,2020,55-59,55,59,9126
0656000,2020,60-64,60,64,8296
0656000,2020,65-69,65,69,7173
0656000,2020,70-74,70,74,6124
0656000,2020,75-79,75,79,4535
0656000,2020,80-84,80,84,2960
0656000,2020,85+,85,999,3470
0669070,1990,0-4,0,4,5340
0669070,1990,5-9,5,9,4419
0669070,1990,10-14,10,14,3650
0669070,1990,15-17,15,17,2241
0669070,1990,18-19,18,19,2407
0669070,1990,20-24,20,24,8853
0669070,1990,25-29,25,29,9206
0669070,1990,30-34,30,34,8440
0669070,1990,35-39,35,39,7604
0669070,1990,40-44,40,44,6064
0669070,1990,45-49,45,49,4016
0669070,1990,50-54,50,54,3276
0669070,1990,55-59,55,59,2938
0669070,1990,60-64,60,64,3246
0669070,1990,65-69,65,69,3400
0669070,1990,70-74,70,74,3025
0669070,1990,75-79,75,79,2808
0669070,1990,80-84,80,84,2317
0669070,1990,85+,85,999,2321
0669070,2000,0-4,0,4,5194
0669070,2000,5-9,5,9,5499
0669070,2000,10-14,10,14,4789
0669070,2000,15-17,15,17,2773
0669070,2000,18-19,18,19,3911
0669070,2000,20-24,20,24,8790
0669070,2000,25-29,25,29,8120
0669070,2000,30-34,30,34,7689
0669070,2000,35-39,35,39,7186
0669070,2000,40-44,40,44,6807
0669070,2000,45-49,45,49,6380
0669070,2000,50-54,50,54,5744
0669070,2000,55-59,55,59,3832
0669070,2000,60-64,60,64,2884
0669070,2000,65-69,65,69,2606
0669070,2000,70-74,70,74,2785
0669070,2000,75-79,75,79,2757
0669070,2000,80-84,80,84,2105
0669070,2000,85+,85,999,2474
0669070,2010,0-4,0,4,4824
0669070,2010,5-9,5,9,4507
0669070,2010,10-14,10,14,4324
0669070,2010,15-17,15,17,2813
0669070,2010,18-19,18,19,2807
0669070,2010,20-24,20,24,8016
0669070,2010,25-29,25,29,8044
0669070,2010,30-34,30,34,6636
0669070,2010,35-39,35,39,5950
0669070,2010,40-44,40,44,5611
0669070,2010,45-49,45,49,5653
0669070,2010,50-54,50,54,5874
0669070,2010,55-59,55,59,5705
0669070,2010,60-64,60,64,5073
0669070,2010,65-69,65,69,3400
0669070,2010,70-74,70,74,2422
0669070,2010,75-79,75,79,2128
0669070,2010,80-84,80,84,2021
0669070,2010,85+,85,999,2602
0669070,2020,0-4,0,4,3812
0669070,2020,5-9,5,9,3921
0669070,2020,10-14,10,14,4341
0669070,2020,15-17,15,17,2675
0669070,2020,18-19,18,19,2142
0669070,2020,20-24,20,24,6512
0669070,2020,25-29,25,29,7621
0669070,2020,30-34,30,34,6991
0669070,2020,35-39,35,39,6118
0669070,2020,40-44,40,44,5297
0669070,2020,45-49,45,49,5025
0669070,2020,50-54,50,54,5269
0669070,2020,55-59,55,59,5495
0669070,2020,60-64,60,64,5599
0669070,2020,65-69,65,69,5379
0669070,2020,70-74,70,74,4617
0669070,2020,75-79,75,79,3015
0669070,2020,80-84,80,84,2002
0669070,2020,85+,85,999,2834
0807850,1990,0-4,0,4,3997
0807850,1990,5-9,5,9,3582
0807850,1990,10-14,10,14,3139
0807850,1990,15-17,15,17,1901
0807850,1990,18-19,18,19,6057
0807850,1990,20-24,20,24,15887
0807850,1990,25-29,25,29,8930
0807850,1990,30-34,30,34,8053
0807850,1990,35-39,35,39,7548
0807850,1990,40-44,40,44,6247
0807850,1990,45-49,45,49,4104
0807850,1990,50-54,50,54,2913
0807850,1990,55-59,55,59,2338
0807850,1990,60-64,60,64,2084
0807850,1990,65-69,65,69,1845
0807850,1990,70-74,70,74,1488
0807850,1990,75-79,75,79,1284
0807850,1990,80-84,80,84,939
0807850,1990,85+,85,999,976
0807850,2000,0-4,0,4,3888
0807850,2000,5-9,5,9,3831
0807850,2000,10-14,10,14,3947
0807850,2000,15-17,15,17,2376
0807850,2000,18-19,18,19,7111
0807850,2000,20-24,20,24,17413
0807850,2000,25-29,25,29,10753
0807850,2000,30-34,30,34,7684
0807850,2000,35-39,35,39,6484
0807850,2000,40-44,40,44,6356
0807850,2000,45-49,45,49,6379
0807850,2000,50-54,50,54,5395
0807850,2000,55-59,55,59,3331
0807850,2000,60-64,60,64,2334
0807850,2000,65-69,65,69,1823
0807850,2000,70-74,70,74,1651
0807850,2000,75-79,75,79,1496
0807850,2000,80-84,80,84,1145
0807850,2000,85+,85,999,1276
0807850,2010,0-4,0,4,3955
0807850,2010,5-9,5,9,3867
0807850,2010,10-14,10,14,3552
0807850,2010,15-17,15,17,2153
0807850,2010,18-19,18,19,8528
0807850,2010,20-24,20,24,19814
0807850,2010,25-29,25,29,8902
0807850,2010,30-34,30,34,6667
0807850,2010,35-39,35,39,5876
0807850,2010,40-44,40,44,5544
0807850,2010,45-49,45,49,5212
0807850,2010,50-54,50,54,5293
0807850,2010,55-59,55,59,5099
0807850,2010,60-64,60,64,4219
0807850,2010,65-69,65,69,2636
0807850,2010,70-74,70,74,1839
0807850,2010,75-79,75,79,1412
0807850,2010,80-84,80,84,1247
0807850,2010,85+,85,999,1570
0807850,2020,0-4,0,4,3247
0807850,2020,5-9,5,9,3848
0807850,2020,10-14,10,14,4514
0807850,2020,15-17,15,17,2880
0807850,2020,18-19,18,19,9714
0807850,2020,20-24,20,24,19291
0807850,2020,25-29,25,29,10662
0807850,2020,30-34,30,34,7923
0807850,2020,35-39,35,39,5844
0807850,2020,40-44,40,44,5461
0807850,2020,45-49,45,49,5587
0807850,2020,50-54,50,54,5479
0807850,2020,55-59,55,59,4947
0807850,2020,60-64,60,64,4859
0807850,2020,65-69,65,69,4480
0807850,2020,70-74,70,74,3843
0807850,2020,75-79,75,79,2430
0807850,2020,80-84,80,84,1540
0807850,2020,85+,85,999,1701
0824950,1990,0-4,0,4,99
0824950,1990,5-9,5,9,123
0824950,1990,10-14,10,14,103
0824950,1990,15-17,15,17,54
0824950,1990,18-19,18,19,38
0824950,1990,20-24,20,24,58
0824950,1990,25-29,25,29,104
0824950,1990,30-34,30,34,139
0824950,1990,35-39,35,39,135
0824950,1990,40-44,40,44,91
0824950,1990,45-49,45,49,73
0824950,1990,50-54,50,54,55
0824950,1990,55-59,55,59,43
0824950,1990,60-64,60,64,40
0824950,1990,65-69,65,69,23
0824950,1990,70-74,70,74,19
0824950,1990,75-79,75,79,32
0824950,1990,80-84,80,84,22
0824950,1990,85+,85,999,7
0824950,2000,0-4,0,4,717
0824950,2000,5-9,5,9,548
0824950,2000,10-14,10,14,417
0824950,2000,15-17,15,17,227
0824950,2000,18-19,18,19,118
0824950,2000,20-24,20,24,201
0824950,2000,25-29,25,29,535
0824950,2000,30-34,30,34,777
0824950,2000,35-39,35,39,784
0824950,2000,40-44,40,44,659
0824950,2000,45-49,45,49,479
0824950,2000,50-54,50,54,314
0824950,2000,55-59,55,59,179
0824950,2000,60-64,60,64,117
0824950,2000,65-69,65,69,83
0824950,2000,70-74,70,74,55
0824950,2000,75-79,75,79,33
0824950,2000,80-84,80,84,22
0824950,2000,85+,85,999,26
0824950,2010,0-4,0,4,1734
0824950,2010,5-9,5,9,1870
0824950,2010,10-14,10,14,1339
0824950,2010,15-17,15,17,688
0824950,2010,18-19,18,19,287
0824950,2010,20-24,20,24,486
0824950,2010,25-29,25,29,880
0824950,2010,30-34,30,34,1478
0824950,2010,35-39,35,39,1895
0824950,2010,40-44,40,44,1776
0824950,2010,45-49,45,49,1543
0824950,2010,50-54,50,54,1308
0824950,2010,55-59,55,59,1006
0824950,2010,60-64,60,64,815
0824950,2010,65-69,65,69,461
0824950,2010,70-74,70,74,251
0824950,2010,75-79,75,79,171
0824950,2010,80-84,80,84,89
0824950,2010,85+,85,999,58
0824950,2020,0-4,0,4,2131
0824950,2020,5-9,5,9,2585
0824950,2020,10-14,10,14,2743
0824950,2020,15-17,15,17,1479
0824950,2020,18-19,18,19,670
0824950,2020,20-24,20,24,1037
0824950,2020,25-29,25,29,1172
0824950,2020,30-34,30,34,1973
0824950,2020,35-39,35,39,2643
0824950,2020,40-44,40,44,2659
0824950,2020,45-49,45,49,2498
0824950,2020,50-54,50,54,2014
0824950,2020,55-59,55,59,1774
0824950,2020,60-64,60,64,1503
0824950,2020,65-69,65,69,1273
0824950,2020,70-74,70,74,932
0824950,2020,75-79,75,79,505
0824950,2020,80-84,80,84,269
0824950,2020,85+,85,999,178
0827425,1990,0-4,0,4,6176
0827425,1990,5-9,5,9,5874
0827425,1990,10-14,10,14,4975
0827425,1990,15-17,15,17,2666
0827425,1990,18-19,18,19,5617
0827425,1990,20-24,20,24,13880
0827425,1990,25-29,25,29,8497
0827425,1990,30-34,30,34,8611
0827425,1990,35-39,35,39,7840
0827425,1990,40-44,40,44,6012
0827425,1990,45-49,45,49,3839
0827425,1990,50-54,50,54,2624
0827425,1990,55-59,55,59,2304
0827425,1990,60-64,60,64,2062
0827425,1990,65-69,65,69,2081
0827425,1990,70-74,70,74,1620
0827425,1990,75-79,75,79,1324
0827425,1990,80-84,80,84,925
0827425,1990,85+,85,999,831
0827425,2000,0-4,0,4,7001
0827425,2000,5-9,5,9,7047
0827425,2000,10-14,10,14,7317
0827425,2000,15-17,15,17,4173
0827425,2000,18-19,18,19,7132
0827425,2000,20-24,20,24,19036
0827425,2000,25-29,25,29,11532
0827425,2000,30-34,30,34,8575
0827425,2000,35-39,35,39,8386
0827425,2000,40-44,40,44,8899
0827425,2000,45-49,45,49,7934
0827425,2000,50-54,50,54,5921
0827425,2000,55-59,55,59,3783
0827425,2000,60-64,60,64,2586
0827425,2000,65-69,65,69,2352
0827425,2000,70-74,70,74,2192
0827425,2000,75-79,75,79,1985
0827425,2000,80-84,80,84,1427
0827425,2000,85+,85,999,1374
0827425,2010,0-4,0,4,8251
0827425,2010,5-9,5,9,8097
0827425,2010,10-14,10,14,7645
0827425,2010,15-17,15,17,4637
0827425,2010,18-19,18,19,8436
0827425,2010,20-24,20,24,22429
0827425,2010,25-29,25,29,13613
0827425,2010,30-34,30,34,10682
0827425,2010,35-39,35,39,9416
0827425,2010,40-44,40,44,7974
0827425,2010,45-49,45,49,8308
0827425,2010,50-54,50,54,8534
0827425,2010,55-59,55,59,7486
0827425,2010,60-64,60,64,5838
0827425,2010,65-69,65,69,3820
0827425,2010,70-74,70,74,2624
0827425,2010,75-79,75,79,2169
0827425,2010,80-84,80,84,1844
0827425,2010,85+,85,999,2183
0827425,2020,0-4,0,4,7409
0827425,2020,5-9,5,9,8823
0827425,2020,10-14,10,14,9200
0827425,2020,15-17,15,17,5427
0827425,2020,18-19,18,19,9474
0827425,2020,20-24,20,24,22782
0827425,2020,25-29,25,29,16842
0827425,2020,30-34,30,34,13204
0827425,2020,35-39,35,39,11235
0827425,2020,40-44,40,44,10381
0827425,2020,45-49,45,49,9333
0827425,2020,50-54,50,54,7961
0827425,2020,55-59,55,59,7991
0827425,2020,60-64,60,64,8138
0827425,2020,65-69,65,69,7399
0827425,2020,70-74,70,74,5670
0827425,2020,75-79,75,79,3644
0827425,2020,80-84,80,84,2223
0827425,2020,85+,85,999,2674
0841835,1990,0-4,0,4,1563
0841835,1990,5-9,5,9,1477
0841835,1990,10-14,10,14,1053
0841835,1990,15-17,15,17,503
0841835,1990,18-19,18,19,276
0841835,1990,20-24,20,24,734
0841835,1990,25-29,25,29,1540
0841835,1990,30-34,30,34,2063
0841835,1990,35-39,35,39,1798
0841835,1990,40-44,40,44,1035
0841835,1990,45-49,45,49,629
0841835,1990,50-54,50,54,386
0841835,1990,55-59,55,59,369
0841835,1990,60-64,60,64,297
0841835,1990,65-69,65,69,273
0841835,1990,70-74,70,74,206
0841835,1990,75-79,75,79,180
0841835,1990,80-84,80,84,110
0841835,1990,85+,85,999,56
0841835,2000,0-4,0,4,1845
0841835,2000,5-9,5,9,1819
0841835,2000,10-14,10,14,1722
0841835,2000,15-17,15,17,988
0841835,2000,18-19,18,19,523
0841835,2000,20-24,20,24,1224
0841835,2000,25-29,25,29,1768
0841835,2000,30-34,30,34,2267
0841835,2000,35-39,35,39,2402
0841835,2000,40-44,40,44,2452
0841835,2000,45-49,45,49,2028
0841835,2000,50-54,50,54,1474
0841835,2000,55-59,55,59,826
0841835,2000,60-64,60,64,519
0841835,2000,65-69,65,69,455
0841835,2000,70-74,70,74,340
0841835,2000,75-79,75,79,270
0841835,2000,80-84,80,84,155
0841835,2000,85+,85,999,120
0841835,2010,0-4,0,4,1703
0841835,2010,5-9,5,9,1821
0841835,2010,10-14,10,14,1721
0841835,2010,15-17,15,17,978
0841835,2010,18-19,18,19,510
0841835,2010,20-24,20,24,1175
0841835,2010,25-29,25,29,1559
0841835,2010,30-34,30,34,1773
0841835,2010,35-39,35,39,1980
0841835,2010,40-44,40,44,1939
0841835,2010,45-49,45,49,2130
0841835,2010,50-54,50,54,2081
0841835,2010,55-59,55,59,1784
0841835,2010,60-64,60,64,1330
0841835,2010,65-69,65,69,782
0841835,2010,70-74,70,74,421
0841835,2010,75-79,75,79,347
0841835,2010,80-84,80,84,209
0841835,2010,85+,85,999,210
0841835,2020,0-4,0,4,1717
0841835,2020,5-9,5,9,1981
0841835,2020,10-14,10,14,2040
0841835,2020,15-17,15,17,1223
0841835,2020,18-19,18,19,587
0841835,2020,20-24,20,24,1492
0841835,2020,25-29,25,29,2042
0841835,2020,30-34,30,34,2274
0841835,2020,35-39,35,39,2408
0841835,2020,40-44,40,44,2235
0841835,2020,45-49,45,49,2065
0841835,2020,50-54,50,54,2098
0841835,2020,55-59,55,59,2010
0841835,2020,60-64,60,64,1902
0841835,2020,65-69,65,69,1673
0841835,2020,70-74,70,74,1199
0841835,2020,75-79,75,79,705
0841835,2020,80-84,80,84,355
0841835,2020,85+,85,999,405
0845970,1990,0-4,0,4,4420
0845970,1990,5-9,5,9,4374
0845970,1990,10-14,10,14,3785
0845970,1990,15-17,15,17,2129
0845970,1990,18-19,18,19,1274
0845970,1990,20-24,20,24,3206
0845970,1990,25-29,25,29,4574
0845970,1990,30-34,30,34,5168
0845970,1990,35-39,35,39,4738
0845970,1990,40-44,40,44,4142
0845970,1990,45-49,45,49,3021
0845970,1990,50-54,50,54,2258
0845970,1990,55-59,55,59,1785
0845970,1990,60-64,60,64,1574
0845970,1990,65-69,65,69,1411
0845970,1990,70-74,70,74,1266
0845970,1990,75-79,75,79,1073
0845970,1990,80-84,80,84,717
0845970,1990,85+,85,999,640
0845970,2000,0-4,0,4,5537
0845970,2000,5-9,5,9,5561
0845970,2000,10-14,10,14,5561
0845970,2000,15-17,15,17,3164
