county_fips,year,age,pop
08013,2010,84,690
08013,2010,85,4065
08013,2020,0,2538
08013,2020,1,2520
08013,2020,2,2588
08013,2020,3,2651
08013,2020,4,2887
08013,2020,5,3101
08013,2020,6,3304
08013,2020,7,3334
08013,2020,8,3403
08013,2020,9,3504
08013,2020,10,3708
08013,2020,11,3665
08013,2020,12,3950
08013,2020,13,3992
08013,2020,14,3932
08013,2020,15,4066
08013,2020,16,3997
08013,2020,17,4144
08013,2020,18,6498
08013,2020,19,7915
08013,2020,20,7991
08013,2020,21,7533
08013,2020,22,6856
08013,2020,23,5431
08013,2020,24,5001
08013,2020,25,4462
08013,2020,26,5000
08013,2020,27,4469
08013,2020,28,4620
08013,2020,29,5248
08013,2020,30,4586
08013,2020,31,4526
08013,2020,32,4398
08013,2020,33,4379
08013,2020,34,4485
08013,2020,35,4851
08013,2020,36,3800
08013,2020,37,4179
08013,2020,38,4178
08013,2020,39,4113
08013,2020,40,4442
08013,2020,41,3812
08013,2020,42,4190
08013,2020,43,4266
08013,2020,44,4135
08013,2020,45,4530
08013,2020,46,3656
08013,2020,47,4153
08013,2020,48,4278
08013,2020,49,4348
08013,2020,50,4981
08013,2020,51,4099
08013,2020,52,4001
08013,2020,53,4119
08013,2020,54,3880
08013,2020,55,4395
08013,2020,56,3869
08013,2020,57,4255
08013,2020,58,4225
08013,2020,59,4189
08013,2020,60,4474
08013,2020,61,3870
08013,2020,62,4015
08013,2020,63,4000
08013,2020,64,3896
08013,2020,65,3996
08013,2020,66,3529
08013,2020,67,3663
08013,2020,68,3437
08013,2020,69,3231
08013,2020,70,3304
08013,2020,71,2693
08013,2020,72,2917
08013,2020,73,2960
08013,2020,74,2106
08013,2020,75,2090
08013,2020,76,1762
08013,2020,77,1906
08013,2020,78,1468
08013,2020,79,1407
08013,2020,80,1237
08013,2020,81,1126
08013,2020,82,1103
08013,2020,83,922
08013,2020,84,908
08013,2020,85,5306
08123,1990,0,2147
08123,1990,1,2076
08123,1990,2,2080
08123,1990,3,2125
08123,1990,4,2156
08123,1990,5,2179
08123,1990,6,2156
08123,1990,7,2270
08123,1990,8,2150
08123,1990,9,2253
08123,1990,10,2198
08123,1990,11,2017
08123,1990,12,1973
08123,1990,13,1995
08123,1990,14,1903
08123,1990,15,1859
08123,1990,16,1821
08123,1990,17,1870
08123,1990,18,2417
08123,1990,19,3034
08123,1990,20,2998
08123,1990,21,2746
08123,1990,22,2347
08123,1990,23,2031
08123,1990,24,1888
08123,1990,25,1953
08123,1990,26,1962
08123,1990,27,2101
08123,1990,28,2058
08123,1990,29,2314
08123,1990,30,2241
08123,1990,31,2233
08123,1990,32,2289
08123,1990,33,2244
08123,1990,34,2284
08123,1990,35,2281
08123,1990,36,2242
08123,1990,37,2276
08123,1990,38,2170
08123,1990,39,2124
08123,1990,40,1976
08123,1990,41,1901
08123,1990,42,1859
08123,1990,43,1851
08123,1990,44,1469
08123,1990,45,1474
08123,1990,46,1467
08123,1990,47,1447
08123,1990,48,1294
08123,1990,49,1292
08123,1990,50,1209
08123,1990,51,1127
08123,1990,52,1106
08123,1990,53,1082
08123,1990,54,1063
08123,1990,55,982
08123,1990,56,981
08123,1990,57,946
08123,1990,58,964
08123,1990,59,1030
08123,1990,60,978
08123,1990,61,938
08123,1990,62,899
08123,1990,63,874
08123,1990,64,844
08123,1990,65,906
08123,1990,66,820
08123,1990,67,814
08123,1990,68,824
08123,1990,69,796
08123,1990,70,714
08123,1990,71,721
08123,1990,72,725
08123,1990,73,623
08123,1990,74,630
08123,1990,75,612
08123,1990,76,552
08123,1990,77,530
08123,1990,78,480
08123,1990,79,457
08123,1990,80,453
08123,1990,81,370
08123,1990,82,383
08123,1990,83,336
08123,1990,84,296
08123,1990,85,1408
08123,2000,0,2919
08123,2000,1,2939
08123,2000,2,2881
08123,2000,3,2817
08123,2000,4,2646
08123,2000,5,2762
08123,2000,6,2941
08123,2000,7,2908
08123,2000,8,2962
08123,2000,9,2981
08123,2000,10,2918
08123,2000,11,2864
08123,2000,12,2851
08123,2000,13,2793
08123,2000,14,2926
08123,2000,15,2777
08123,2000,16,2833
08123,2000,17,2920
08123,2000,18,3493
08123,2000,19,4279
08123,2000,20,3930
08123,2000,21,3603
08123,2000,22,3198
08123,2000,23,2905
08123,2000,24,2668
08123,2000,25,2618
08123,2000,26,2612
08123,2000,27,2585
08123,2000,28,2576
08123,2000,29,2789
08123,2000,30,2810
08123,2000,31,2599
08123,2000,32,2565
08123,2000,33,2435
08123,2000,34,2502
08123,2000,35,2688
08123,2000,36,2848
08123,2000,37,2846
08123,2000,38,2878
08123,2000,39,2895
08123,2000,40,3014
08123,2000,41,2743
08123,2000,42,2868
08123,2000,43,2784
08123,2000,44,2648
08123,2000,45,2639
08123,2000,46,2629
08123,2000,47,2675
08123,2000,48,2563
08123,2000,49,2320
08123,2000,50,2271
08123,2000,51,2085
08123,2000,52,2168
08123,2000,53,2129
08123,2000,54,1674
08123,2000,55,1659
08123,2000,56,1667
08123,2000,57,1580
08123,2000,58,1397
08123,2000,59,1296
08123,2000,60,1304
08123,2000,61,1242
08123,2000,62,1207
08123,2000,63,1092
08123,2000,64,1086
08123,2000,65,1069
08123,2000,66,947
08123,2000,67,894
08123,2000,68,910
08123,2000,69,941
08123,2000,70,917
08123,2000,71,816
08123,2000,72,799
08123,2000,73,756
08123,2000,74,780
08123,2000,75,714
08123,2000,76,718
08123,2000,77,646
08123,2000,78,625
08123,2000,79,618
08123,2000,80,503
08123,2000,81,508
08123,2000,82,428
08123,2000,83,389
08123,2000,84,389
08123,2000,85,2007
08123,2010,0,3832
08123,2010,1,3849
08123,2010,2,3986
08123,2010,3,4099
08123,2010,4,4169
08123,2010,5,4295
08123,2010,6,4237
08123,2010,7,4092
08123,2010,8,3971
08123,2010,9,4063
08123,2010,10,4046
08123,2010,11,3929
08123,2010,12,3773
08123,2010,13,3734
08123,2010,14,3526
08123,2010,15,3626
08123,2010,16,3711
08123,2010,17,3674
08123,2010,18,4130
08123,2010,19,4538
08123,2010,20,4399
08123,2010,21,4172
08123,2010,22,3835
08123,2010,23,3483
08123,2010,24,3392
08123,2010,25,3417
08123,2010,26,3401
08123,2010,27,3468
08123,2010,28,3458
08123,2010,29,3512
08123,2010,30,3619
08123,2010,31,3541
08123,2010,32,3489
08123,2010,33,3533
08123,2010,34,3577
08123,2010,35,3530
08123,2010,36,3410
08123,2010,37,3477
08123,2010,38,3612
08123,2010,39,3716
08123,2010,40,3713
08123,2010,41,3593
08123,2010,42,3414
08123,2010,43,3271
08123,2010,44,3166
08123,2010,45,3296
08123,2010,46,3490
08123,2010,47,3457
08123,2010,48,3461
08123,2010,49,3464
08123,2010,50,3520
08123,2010,51,3450
08123,2010,52,3375
08123,2010,53,3376
08123,2010,54,3221
08123,2010,55,3146
08123,2010,56,3122
08123,2010,57,3042
08123,2010,58,2934
08123,2010,59,2739
08123,2010,60,2637
08123,2010,61,2460
08123,2010,62,2522
08123,2010,63,2493
08123,2010,64,2024
08123,2010,65,1862
08123,2010,66,1862
08123,2010,67,1704
08123,2010,68,1526
08123,2010,69,1372
08123,2010,70,1331
08123,2010,71,1259
08123,2010,72,1203
08123,2010,73,1110
08123,2010,74,1060
08123,2010,75,986
08123,2010,76,885
08123,2010,77,801
08123,2010,78,779
08123,2010,79,789
