age_group,age_lo,age_hi,ssp,year,pop
75-79,75,79,2,2020,9605307.464751516
80-84,80,84,2,2020,6102424.11537032
85+,85,999,2,2020,6808388.728497604
0-4,0,4,2,2025,21678360.66641261
5-9,5,9,2,2025,21590532.054411165
10-14,10,14,2,2025,20979497.72373234
15-19,15,19,2,2025,22435413.363254327
20-24,20,24,2,2025,21345395.525045324
25-29,25,29,2,2025,21236166.981725838
30-34,30,34,2,2025,24036814.24274704
35-39,35,39,2,2025,24656165.455061235
40-44,40,44,2,2025,24002459.035173055
45-49,45,49,2,2025,20879828.357400604
50-54,50,54,2,2025,20619226.96335568
55-59,55,59,2,2025,20084398.761945933
60-64,60,64,2,2025,21491153.442717604
65-69,65,69,2,2025,19909550.51624708
70-74,70,74,2,2025,16294005.276175087
75-79,75,79,2,2025,12490905.073792761
80-84,80,84,2,2025,7634176.901359443
85+,85,999,2,2025,7299561.9111292465
0-4,0,4,2,2030,21824265.36372244
5-9,5,9,2,2030,22066166.941087626
10-14,10,14,2,2030,21841750.12961011
15-19,15,19,2,2030,21110704.84152862
20-24,20,24,2,2030,22559992.247831203
25-29,25,29,2,2030,22558817.661102634
30-34,30,34,2,2030,22334502.164480396
35-39,35,39,2,2030,24680145.357615534
40-44,40,44,2,2030,25030337.945836943
45-49,45,49,2,2030,24107440.231188234
50-54,50,54,2,2030,20799600.742486913
55-59,55,59,2,2030,20326465.769467004
60-64,60,64,2,2030,19550660.102204915
65-69,65,69,2,2030,20510081.052684914
70-74,70,74,2,2030,18461041.411574032
75-79,75,79,2,2030,14343342.639068482
80-84,80,84,2,2030,10084379.89921502
85+,85,999,2,2030,8813353.402705746
0-4,0,4,2,2035,22004931.031407807
5-9,5,9,2,2035,22186049.981488734
10-14,10,14,2,2035,22302624.554624587
15-19,15,19,2,2035,21968566.410870023
20-24,20,24,2,2035,21251312.033976864
25-29,25,29,2,2035,23818268.331443142
30-34,30,34,2,2035,23622191.310220946
35-39,35,39,2,2035,23025166.5912605
40-44,40,44,2,2035,25063100.361752428
45-49,45,49,2,2035,25176830.601560656
50-54,50,54,2,2035,24028596.429954775
55-59,55,59,2,2035,20560368.846106183
60-64,60,64,2,2035,19857313.03821769
65-69,65,69,2,2035,18761558.202843543
70-74,70,74,2,2035,19142823.114183072
75-79,75,79,2,2035,16401085.517971862
80-84,80,84,2,2035,11749538.03057893
85+,85,999,2,2035,11605938.794921877
0-4,0,4,2,2040,22265363.945703633
5-9,5,9,2,2040,22350970.2708606
10-14,10,14,2,2040,22410765.63892281
15-19,15,19,2,2040,22424280.65148552
20-24,20,24,2,2040,22109410.22885713
25-29,25,29,2,2040,22536420.9816977
30-34,30,34,2,2040,24908908.389027994
35-39,35,39,2,2040,24287872.73402676
40-44,40,44,2,2040,23449572.22208908
45-49,45,49,2,2040,25230141.210361235
50-54,50,54,2,2040,25135607.222015604
55-59,55,59,2,2040,23781649.78363207
60-64,60,64,2,2040,20149465.13151841
65-69,65,69,2,2040,19136806.787853852
70-74,70,74,2,2040,17621379.621080518
75-79,75,79,2,2040,17157185.57876372
80-84,80,84,2,2040,13613392.101197084
85+,85,999,2,2040,14635237.46047364
0-4,0,4,2,2045,22343385.80198938
5-9,5,9,2,2045,22598675.726056755
10-14,10,14,2,2045,22567906.411105156
15-19,15,19,2,2045,22528133.796916377
20-24,20,24,2,2045,22563568.32700811
25-29,25,29,2,2045,23390758.625610463
30-34,30,34,2,2045,23699063.560024373
35-39,35,39,2,2045,25592223.15004628
40-44,40,44,2,2045,24704886.469518848
45-49,45,49,2,2045,23660695.518813558
50-54,50,54,2,2045,25220601.098521385
55-59,55,59,2,2045,24929123.35879942
60-64,60,64,2,2045,23358570.171978913
65-69,65,69,2,2045,19501271.613063283
70-74,70,74,2,2045,18074308.99200695
75-79,75,79,2,2045,15928568.182076877
80-84,80,84,2,2045,14426795.29635657
85+,85,999,2,2045,17907764.89609468
0-4,0,4,2,2050,22385418.336494457
5-9,5,9,2,2050,22664879.550093208
10-14,10,14,2,2050,22810415.113367014
15-19,15,19,2,2050,22683587.525528256
20-24,20,24,2,2050,22667641.165230904
25-29,25,29,2,2050,23824598.629218906
30-34,30,34,2,2050,24527200.19558352
35-39,35,39,2,2050,24447239.764585637
40-44,40,44,2,2050,26029339.724962376
45-49,45,49,2,2050,24923394.619463675
50-54,50,54,2,2050,23706387.936730925
55-59,55,59,2,2050,25061242.000141367
60-64,60,64,2,2050,24559748.074968275
65-69,65,69,2,2050,22694655.837087467
70-74,70,74,2,2050,18534340.47332466
75-79,75,79,2,2050,16486191.002265053
80-84,80,84,2,2050,13584556.938918343
85+,85,999,2,2050,20682941.76649293
0-4,0,4,2,2055,22556149.271459803
5-9,5,9,2,2055,22689832.438656107
10-14,10,14,2,2055,22870888.386025935
15-19,15,19,2,2055,22925253.1279302
20-24,20,24,2,2055,22825224.589754503
25-29,25,29,2,2055,23905328.565502826
30-34,30,34,2,2055,24921837.866341718
35-39,35,39,2,2055,25257521.075133663
40-44,40,44,2,2055,24933533.64512411
45-49,45,49,2,2055,26270204.836522564
50-54,50,54,2,2055,24985913.755587157
55-59,55,59,2,2055,23615069.4109543
60-64,60,64,2,2055,24755208.823139384
65-69,65,69,2,2055,23960390.30846956
70-74,70,74,2,2055,21693460.69313592
75-79,75,79,2,2055,17069549.976019885
80-84,80,84,2,2055,14265147.252268814
85+,85,999,2,2055,22030316.11968074
0-4,0,4,2,2060,22717263.463511948
5-9,5,9,2,2060,22837803.04269978
10-14,10,14,2,2060,22886299.78730272
15-19,15,19,2,2060,22984487.770599037
20-24,20,24,2,2060,23068820.708635584
25-29,25,29,2,2060,24048977.03396081
30-34,30,34,2,2060,24966012.828020733
35-39,35,39,2,2060,25626639.06559251
40-44,40,44,2,2060,25740493.125268396
45-49,45,49,2,2060,25216838.41420618
50-54,50,54,2,2060,26358753.793416824
55-59,55,59,2,2060,24919809.597470183
60-64,60,64,2,2060,23395465.237853646
65-69,65,69,2,2060,24240024.177359015
70-74,70,74,2,2060,23035292.86886897
75-79,75,79,2,2060,20161272.415482577
80-84,80,84,2,2060,14986698.686821727
85+,85,999,2,2060,23705428.069333803
0-4,0,4,2,2065,22750252.642203853
5-9,5,9,2,2065,22956777.714908645
10-14,10,14,2,2065,23006059.019677572
15-19,15,19,2,2065,22983536.508000866
20-24,20,24,2,2065,23107022.477118634
25-29,25,29,2,2065,24124058.498878688
30-34,30,34,2,2065,24970045.41931185
35-39,35,39,2,2065,25587702.12919045
40-44,40,44,2,2065,26062281.38127867
45-49,45,49,2,2065,26001446.486680795
50-54,50,54,2,2065,25300744.479584616
55-59,55,59,2,2065,26297047.286579408
60-64,60,64,2,2065,24720911.684997633
65-69,65,69,2,2065,22979600.360453427
70-74,70,74,2,2065,23413880.02337734
75-79,75,79,2,2065,21591457.690550946
80-84,80,84,2,2065,17943727.27157485
85+,85,999,2,2065,25925370.15638429
0-4,0,4,2,2070,22665558.60139012
5-9,5,9,2,2070,22949346.653862193
10-14,10,14,2,2070,23098600.22794022
15-19,15,19,2,2070,23087905.88313508
20-24,20,24,2,2070,23085500.458523877
25-29,25,29,2,2070,23992250.407523766
30-34,30,34,2,2070,24900820.655725647
35-39,35,39,2,2070,25502138.052123126
40-44,40,44,2,2070,25963890.728881504
45-49,45,49,2,2070,26291198.189802945
50-54,50,54,2,2070,26075039.885384794
55-59,55,59,2,2070,25250127.43450825
60-64,60,64,2,2070,26109675.56169926
65-69,65,69,2,2070,24335983.776640195
70-74,70,74,2,2070,22291215.285036746
75-79,75,79,2,2070,22110149.993768558
80-84,80,84,2,2070,19455261.73677997
85+,85,999,2,2070,30436648.461613666
0-4,0,4,2,2075,22479831.974513505
5-9,5,9,2,2075,22826152.330710147
10-14,10,14,2,2075,23064719.89948693
15-19,15,19,2,2075,23165538.323204655
20-24,20,24,2,2075,23170426.467578832
25-29,25,29,2,2075,23808355.675809868
30-34,30,34,2,2075,24625130.778374687
35-39,35,39,2,2075,25338965.56771301
40-44,40,44,2,2075,25815095.481626768
45-49,45,49,2,2075,26154330.61886044
50-54,50,54,2,2075,26351571.479773965
55-59,55,59,2,2075,26027045.65918578
60-64,60,64,2,2075,25093854.55455598
65-69,65,69,2,2075,25755189.916006718
70-74,70,74,2,2075,23698665.350578506
75-79,75,79,2,2075,21197068.599880695
80-84,80,84,2,2075,20154595.818329275
85+,85,999,2,2075,35527369.31796905
0-4,0,4,2,2080,22235937.522473972
5-9,5,9,2,2080,22603203.820357617
10-14,10,14,2,2080,22915952.023829237
15-19,15,19,2,2080,23116485.3549602
20-24,20,24,2,2080,23228894.85482367
25-29,25,29,2,2080,23739824.306690462
30-34,30,34,2,2080,24303653.505782068
35-39,35,39,2,2080,24967839.49580581
40-44,40,44,2,2080,25585120.461436056
45-49,45,49,2,2080,25963728.202255126
50-54,50,54,2,2080,26197379.21626434
55-59,55,59,2,2080,26304361.564937234
60-64,60,64,2,2080,25884602.800692394
65-69,65,69,2,2080,24798504.8394117
70-74,70,74,2,2080,25167378.345042467
75-79,75,79,2,2080,22677221.76338769
80-84,80,84,2,2080,19528006.508493878
85+,85,999,2,2080,40288294.88478332
0-4,0,4,2,2085,21986697.182762016
5-9,5,9,2,2085,22324026.380328663
10-14,10,14,2,2085,22668093.79047626
15-19,15,19,2,2085,22952863.468119334
20-24,20,24,2,2085,23160316.811676186
25-29,25,29,2,2085,23648512.64567318
30-34,30,34,2,2085,24103919.900004394
35-39,35,39,2,2085,24553491.49684917
40-44,40,44,2,2085,25145290.100714955
45-49,45,49,2,2085,25689279.998103645
50-54,50,54,2,2085,25986409.07073487
55-59,55,59,2,2085,26148303.987533793
60-64,60,64,2,2085,26175013.738017924
65-69,65,69,2,2085,25619706.91270515
70-74,70,74,2,2085,24307028.81163858
75-79,75,79,2,2085,24218257.912231658
80-84,80,84,2,2085,21092788.217178904
85+,85,999,2,2085,43633244.531103924
0-4,0,4,2,2090,21725346.251396727
5-9,5,9,2,2090,22041580.676917393
10-14,10,14,2,2090,22365131.661404416
15-19,15,19,2,2090,22690503.910690997
20-24,20,24,2,2090,22977554.730895046
25-29,25,29,2,2090,23430745.03800437
30-34,30,34,2,2090,23883777.004212115
35-39,35,39,2,2090,24263690.1718024
40-44,40,44,2,2090,24663263.506838832
45-49,45,49,2,2090,25203908.523428638
50-54,50,54,2,2090,25689659.98427784
55-59,55,59,2,2090,25932759.76733925
60-64,60,64,2,2090,26030784.743471414
65-69,65,69,2,2090,25942179.44535529
70-74,70,74,2,2090,25181016.646129094
75-79,75,79,2,2090,23509523.95691668
80-84,80,84,2,2090,22725364.756555185
85+,85,999,2,2090,47914089.40881487
0-4,0,4,2,2095,21405244.84412964
5-9,5,9,2,2095,21748638.974431645
10-14,10,14,2,2095,22060127.846344672
15-19,15,19,2,2095,22373623.9580531
20-24,20,24,2,2095,22696593.85864772
25-29,25,29,2,2095,23103151.103241462
30-34,30,34,2,2095,23538542.489267934
35-39,35,39,2,2095,23954576.14468285
40-44,40,44,2,2095,24307320.847774554
45-49,45,49,2,2095,24676983.76533666
50-54,50,54,2,2095,25181391.700390585
55-59,55,59,2,2095,25629706.106652673
60-64,60,64,2,2095,25824117.083554957
65-69,65,69,2,2095,25829585.375029556
70-74,70,74,2,2095,25560662.16342018
75-79,75,79,2,2095,24467194.825108174
80-84,80,84,2,2095,22238567.412247732
85+,85,999,2,2095,53303284.04180298
0-4,0,4,2,2100,21000791.25405597
5-9,5,9,2,2100,21398436.943528615
10-14,10,14,2,2100,21745625.72899048
15-19,15,19,2,2100,22055256.311152045
20-24,20,24,2,2100,22361738.985829614
25-29,25,29,2,2100,22683116.792850483
30-34,30,34,2,2100,23088830.249326054
35-39,35,39,2,2100,23522277.076073132
40-44,40,44,2,2100,23933342.760964695
45-49,45,49,2,2100,24277051.710172907
50-54,50,54,2,2100,24631558.40180814
55-59,55,59,2,2100,25114246.940438207
60-64,60,64,2,2100,25527263.72861573
65-69,65,69,2,2100,25649305.896379765
70-74,70,74,2,2100,25503354.587289132
75-79,75,79,2,2100,24935152.38669845
80-84,80,84,2,2100,23308537.400461517
85+,85,999,2,2100,57780089.149089366
0-4,0,4,3,2020,19117736.02176343
5-9,5,9,3,2020,19635713.500965144
10-14,10,14,3,2020,22154581.970074933
15-19,15,19,3,2020,21132064.35884374
20-24,20,24,3,2020,19921052.275752332
25-29,25,29,3,2020,22495771.61298503
30-34,30,34,3,2020,23371743.256991424
35-39,35,39,3,2020,23232764.4688388
40-44,40,44,3,2020,20480288.42593018
45-49,45,49,3,2020,20532738.234989554
50-54,50,54,3,2020,20262583.69980121
55-59,55,59,3,2020,22027031.395572092
60-64,60,64,3,2020,20806174.812608965
65-69,65,69,3,2020,17512797.882023152
70-74,70,74,3,2020,14157694.817057716
75-79,75,79,3,2020,9445300.44753378
80-84,80,84,3,2020,5953427.809969376
85+,85,999,3,2020,6511061.085358028
0-4,0,4,3,2025,18264561.84280504
5-9,5,9,3,2025,19319856.601502173
10-14,10,14,3,2025,19763508.543521307
15-19,15,19,3,2025,22189730.137427412
20-24,20,24,3,2025,21138075.478383254
25-29,25,29,3,2025,20471113.004095607
30-34,30,34,3,2025,22961238.26336983
35-39,35,39,3,2025,23619522.851771306
40-44,40,44,3,2025,23285219.064162295
45-49,45,49,3,2025,20378998.071265887
50-54,50,54,3,2025,20240568.926331576
55-59,55,59,3,2025,19764089.52460412
60-64,60,64,3,2025,21166224.82701697
65-69,65,69,3,2025,19560170.21018091
70-74,70,74,3,2025,15932074.351974089
75-79,75,79,3,2025,12112966.960946374
80-84,80,84,3,2025,7301570.171800316
85+,85,999,3,2025,6755058.001330063
0-4,0,4,3,2030,17029088.484026805
5-9,5,9,3,2030,18446757.763795175
10-14,10,14,3,2030,19440412.50629089
15-19,15,19,3,2030,19811066.606545083
20-24,20,24,3,2030,22196680.721805032
25-29,25,29,3,2030,21684999.066080704
30-34,30,34,3,2030,20962514.944449097
35-39,35,39,3,2030,23207354.852342404
40-44,40,44,3,2030,23694321.018114418
45-49,45,49,3,2030,23166045.494292777
50-54,50,54,3,2030,20114930.61201932
55-59,55,59,3,2030,19770758.694889277
60-64,60,64,3,2030,19036258.208170958
65-69,65,69,3,2030,19946009.243422426
70-74,70,74,3,2030,17843418.29476067
75-79,75,79,3,2030,13694660.497791631
80-84,80,84,3,2030,9437109.485446969
85+,85,999,3,2030,7840608.548442701
0-4,0,4,3,2035,16834503.177178305
5-9,5,9,3,2035,17192335.84071702
