Year,District,Pre-K,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
1995,St. Vrain,0,1306,1337,1344,1367,1385,1368,1309,1358,1327,1379,1178,1023,945,16790
1994,Boulder,105,1869,1961,1979,2007,2006,1951,1956,1908,1980,2032,1812,1639,1453,24658
1994,St. Vrain,0,1259,1316,1355,1373,1352,1307,1314,1376,1328,1225,1184,1016,909,16482
1993,Boulder,79,1824,1916,2003,2006,1932,1918,1865,2013,1852,1874,1802,1613,1379,24085
1993,St. Vrain,159,1227,1341,1341,1335,1318,1295,1331,1310,1204,1197,1070,954,866,16192
1992,Boulder,78,1816,1981,2010,1895,1892,1821,1935,1840,1758,1875,1627,1632,1416,23587
1992,St. Vrain,236,1267,1359,1329,1305,1301,1342,1283,1245,1181,1095,1055,946,957,16099
1991,Boulder,72,1828,1956,1874,1822,1802,1880,1730,1749,1716,1630,1565,1608,1290,22534
1991,St. Vrain,233,1288,1319,1263,1264,1324,1244,1192,1217,1064,1105,963,1054,865,15651
1990,Boulder,0,1814,1803,1800,1737,1848,1666,1652,1696,1553,1508,1650,1439,1316,21502
1990,St. Vrain,161,1225,1267,1248,1330,1209,1174,1145,1100,1068,996,1046,916,926,15070
1989,Boulder,42,1690,1834,1709,1838,1681,1647,1580,1502,1494,1586,1383,1541,1448,21013
1989,St. Vrain,173,1209,1283,1322,1220,1155,1157,1059,1092,981,1084,969,994,965,14929
1988,Boulder,0,1650,1771,1824,1635,1640,1555,1441,1494,1508,1411,1478,1723,1616,20825
1988,St. Vrain,175,1261,1373,1240,1142,1158,1058,1076,1005,1086,986,1048,1005,1025,14959
1987,Boulder,0,1631,1809,1645,1617,1526,1447,1435,1359,1253,1486,1692,1971,1839,20835
1987,St. Vrain,322,1312,1304,1173,1155,1066,1060,975,1103,1002,1085,1052,1071,1083,15081
1986,Boulder,6,1631,1641,1589,1497,1423,1425,1414,1404,1469,1693,1801,1869,1694,20751
1986,St. Vrain,307,1215,1260,1175,1074,1052,990,1074,1020,1082,1105,1154,1155,1044,14896
