year,district_code,district_name,county_name,unit_type,teacher_fte_published,teacher_fte_school_sum,teacher_fte_difference,staff_certificated_fte,staff_noncertificated_fte,pupil_teacher_ratio,schools_published,schools_elementary,schools_middle,schools_senior,schools_other,schools_in_sum,enrollment_published,enrollment_school_sum,graduation_rate,dropout_rate,source
1987,1140,CANON CITY RE-1,FREMONT,district,190.0,,,222.0,120.5,18.8,6,4,1,1,0,,3581,,,10.3,yearbook-1987-summary
1987,1160,COTOPAXI RE-3,FREMONT,district,20.4,,,22.4,12.4,11.8,2,1,0,1,0,,241,,,0.0,yearbook-1987-summary
1987,1330,GILPIN COUNTY RE-1,GILPIN,district,27.7,,,34.0,20.9,12.4,2,1,0,1,0,,344,,,3.2,yearbook-1987-summary
1987,1340,WEST GRAND 1(JT),GRAND,district,39.6,,,46.6,27.9,14.8,3,1,1,1,0,,586,,,2.6,yearbook-1987-summary
1987,1350,EAST GRAND 2,GRAND,district,72.5,,,84.2,60.9,14.4,5,3,1,1,0,,1045,,,3.6,yearbook-1987-summary
1987,1360,GUNNISON WATERSHED RE1J,GUNNISON,district,83.3,,,99.3,52.5,17.1,6,4,1,1,0,,1427,,,3.9,yearbook-1987-summary
1987,1380,HINSDALE COUNTY RE. 1,HINSDALE,district,3.0,,,4.0,6.0,12.7,1,1,0,0,0,,38,,,0.0,yearbook-1987-summary
1987,1390,HUERFANO RE-1,HUERFANO,district,56.6,,,65.6,51.6,15.3,4,2,1,1,0,,864,,,2.9,yearbook-1987-summary
1987,1400,LA VETA RE-2,HUERFANO,district,19.0,,,23.0,11.8,12.3,2,1,0,1,0,,234,,,1.5,yearbook-1987-summary
1987,1410,NORTH PARK R-1,JACKSON,district,24.3,,,29.3,14.9,12.8,2,1,0,1,0,,310,,,7.0,yearbook-1987-summary
1987,1420,JEFFERSON COUNTY R-1,JEFFERSON,district,3555.5,,,4347.8,2988.1,21.2,119,79,21,13,6,,75337,,,5.7,yearbook-1987-summary
1987,1430,EADS RE-1,KIOWA,district,25.0,,,29.0,16.3,11.1,4,2,1,1,0,,277,,,0.0,yearbook-1987-summary
