ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude,longitude
080435006374,1619,CHIPETA ELEMENTARY SCHOOL;Chipeta Elementary School,2000,2008,2024,still_open,high,reported in 2024,39.0727,-108.5567
080435006384,5828,MESA VALLEY VISION HOME AND COMMUNITY PROGRAM;MESA VALLEY COMMUNITY SCHOOL;Mesa Valley Community School,2000,2008,2024,still_open,high,reported in 2024,39.093415,-108.591688
080435006414,3469,GLADE PARK COMMUNITY SCHOOL,2000,2008,2013,closed,high,CCD school_status=2,38.9957,-108.7439
080435006471,4084,LINCOLN PARK PRESCHOOL;Lincoln Park Preschool,2000,2010,2023,closed,high,CCD school_status=2,39.0718,-108.5445
080435006487,6055,CAREER CENTER PRESCHOOL;Career Center Preschool,2000,2010,2024,still_open,high,reported in 2024,39.0758,-108.5089
080435006498,3604,GRANDE RIVER VIRTUAL ACADEMY;GRANDE RIVER VIRTUAL ACADEMY SECONDARY;GRAND RIVER ACADEMY;Grand River Academy,2000,2011,2024,still_open,high,reported in 2024,39.072691,-108.548628
080435006581,4439,JUNIPER RIDGE COMMUNITY SCHOOL;Juniper Ridge Community School,2000,2013,2024,still_open,high,reported in 2024,39.094296,-108.564991
080435006623,3361,GRANDE RIVER VIRTUAL ACADEMY ELEMENTARY,2000,2014,2015,closed,high,CCD school_status=2,39.08115,-108.636981
080435006801,1297,Monument Ridge Elementary School,2000,2020,2024,still_open,high,reported in 2024,39.170542,-108.709114
080435006880,5833,Mesa Valley Enrichment Program,2000,2023,2024,still_open,high,reported in 2024,39.093415,-108.591688
080438000630,3578,BEA UNDERWOOD ELEM SCHOOL;BEA UNDERWOOD ELEMENTARY;BEA UNDERWOOD ELEMENTARY SCHOOL;Bea Underwood Elementary School,1220,1986,2024,still_open,high,reported in 2024,39.428927,-108.04808
080438000631,3586,GRAND VALLEY HIGH SCHOOL;Grand Valley High School,1220,1986,2024,still_open,high,reported in 2024,39.4417,-108.058
080438001368,8274,L.W. ST JOHN MIDDLE SCHOOL;L W SAINT JOHN MIDDLE SCHOOL;L W ST JOHN MIDDLE SCHOOL;GRAND VALLEY MIDDLE SCHOOL;Grand Valley Middle School,1220,1986,2024,still_open,high,reported in 2024,39.444718,-108.018061
080438001909,3585,GRAND VALLEY EARLY CHILDHOOD LITERACY CENTER;GRAND VALLEY CENTER FOR FAMILY LEARNING;Grand Valley Center for Family Learning,1220,2002,2024,still_open,high,reported in 2024,39.4534,-108.0535
080438006415,3603,L.W. ST. JOHN ELEMENTARY SCHOOL,1220,2008,2012,closed,high,CCD school_status=2,39.397694,-108.105248
080438006826,3583,Bea Underwood Pre-School,1220,2021,2023,closed,high,CCD school_status=2,39.428927,-108.04808
080441000633,6774,BILLIE MARTINEZ ELEM SCHOOL;BILLIE MARTINEZ ELEMENTARY;BILLIE MARTINEZ ELEMENTARY SCHOOL;MARTINEZ ELEMENTARY SCHOOL;Martinez Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.4297,-104.7024
080441000634,0988,BRENTWOOD MIDDLE SCHOOL;Brentwood Middle School,3120,1986,2024,still_open,high,reported in 2024,40.395568,-104.720898
080441000635,1228,CAMERON ELEM SCHOOL;CAMERON ELEMENTARY SCHOOL,3120,1986,2010,closed,high,CCD school_status=2,40.416731,-104.699841
080441000636,1384,CENTENNIAL ELEM SCHOOL;CENTENNIAL ELEMENTARY SCHOOL;Centennial Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.3782,-104.7028
080441000637,1500,CHAPPELOW MIDDLE SCHOOL;CHAPPELOW ARTS & LITERACY MAGN;CHAPPELOW ARTS & LITERACY MAGNET SCHOOL;CHAPPELOW K-8 MAGNET SCHOOL;Chappelow K-8 Magnet School,3120,1986,2024,still_open,high,reported in 2024,40.3819,-104.7093
080441000638,2414,EAST MEMORIAL ELEM;EAST MEMORIAL ELEMENTARY;EAST MEMORIAL ELEMENTARY SCH;EAST MEMORIAL ELEMENTARY SCHOOL,3120,1986,2014,closed,high,CCD school_status=2,40.405609,-104.669617
080441000639,3162,FRANKLIN MIDDLE SCHOOL;Franklin Middle School,3120,1986,2024,still_open,high,reported in 2024,40.42484,-104.733952
080441000640,3614,GREELEY WEST HIGH SCHOOL;Greeley West High School,3120,1986,2024,still_open,high,reported in 2024,40.400598,-104.736379
080441000641,3610,GREELEY CENTRAL HIGH SCHOOL;Greeley Central High School,3120,1986,2024,still_open,high,reported in 2024,40.414998,-104.703312
080441000642,3880,HEATH JR. HIGH SCHOOL;HEATH JUNIOR HIGH SCHOOL;HEATH MIDDLE SCHOOL;Heath Middle School,3120,1986,2024,still_open,high,reported in 2024,40.415126,-104.714521
080441000644,5199,JEFFERSON ELEM SCHOOL;JEFFERSON ELEMENTARY SCHOOL,3120,1986,2010,closed,high,CCD school_status=2,40.430031,-104.700732
080441000645,4438,JOHN EVANS JR. HIGH SCHOOL;JOHN EVANS JUNIOR HIGH SCHOOL;JOHN EVANS MIDDLE SCHOOL;PRAIRIE HEIGHTS MIDDLE SCHOOL;Prairie Heights Middle School,3120,1986,2024,still_open,high,reported in 2024,40.374441,-104.785632
080441000646,5412,MADISON ELEM SCHOOL;MADISON ELEMENTARY SCHOOL;Madison Elementary School;James Madison STEAM Academy,3120,1986,2024,still_open,high,reported in 2024,40.428047,-104.718316
080441000647,5552,MAPLEWOOD MIDDLE SCHOOL,3120,1986,2010,closed,high,CCD school_status=2,40.419896,-104.711392
080441000648,5752,MEEKER ELEM. SCHOOL;MEEKER ELEMENTARY SCHOOL;Meeker Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.401281,-104.728722
080441000649,7700,SCOTT ELEM SCHOOL;SCOTT ELEMENTARY SCHOOL;Scott Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.417676,-104.729102
080441000650,7814,SHAWSHEEN ELEM SCHOOL;SHAWSHEEN ELEMENTARY SCHOOL;Shawsheen Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.42603,-104.746621
080441000651,8150,SPECIAL EDUCATION;HEARING IMPAIRED LAB SCHOOL;DEAF OR HARD OF HEARING PROG;DEAF OR HARD OF HEARING PROGRAM,3120,1986,2007,closed,high,CCD school_status=2,40.41024,-104.7854
080441000678,8890,TRADEMARK LEARNING CENTER,3120,1993,2010,closed,high,CCD school_status=2,40.417605,-104.71314
080441001112,8891,TRADEMARK NIGHT SCHOOL,,1994,2003,closed,high,CCD school_status=2,40.417579,-104.713197
080441001133,8892,MIDDLE LEVEL ALT SCHOOL;ADELANTE ALT MIDDLE SCHOOL;ADELANTE ALTERNATIVE MIDDLE SCHOOL,,1994,2003,closed,high,CCD school_status=2,40.399031,-104.685853
080441001291,4356,JACKSON ELEM SCHOOL;JACKSON ELEMENTARY SCHOOL;Jackson Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.395701,-104.711266
080441001312,5985,MONFORT ELEM SCHOOL;MONFORT ELEMENTARY SCHOOL;Monfort Elementary School,3120,1986,2024,still_open,high,reported in 2024,40.405547,-104.757426
080441001313,8155,SPECIAL HELP C/O MADISON SCH,,1987,1987,closed,medium,stopped reporting; no status field,,
080441001482,2222,DOS RIOS ELEM SCHOOL;DOS RIOS ELEMENTARY SCHOOL;Dos Rios Elementary School,3120,1988,2024,still_open,high,reported in 2024,40.382,-104.7127
080441001483,5660,CHRISTA MCAULIFFE ELEM SCHOOL;CHRISTA MCAULIFFE ELEMENTARY;CHRISTA MC AULIFFE ELEM SCHOOL;CHRISTA MC AULIFFE ELEMENTARY SCHOOL;MCAULIFFE ELEMENTARY SCHOOL;S. CHRISTA MCAULIFFE STEM ACADEMY;S. Christa McAuliffe STEM Academy,3120,1988,2024,still_open,high,reported in 2024,40.4282,-104.7653
080441001614,1875,CORE KNOWLEDGE CHARTER ACADEMY;FRONTIER CHARTER ACADEMY;Frontier Charter Academy,3120,1997,2024,still_open,high,reported in 2024,40.390145,-104.723312
080441001615,8965,UNION COLONY CHARTER SCHOOL;UNION COLONY PREPATORY SCHOOL;UNION COLONY PREPARATORY SCHOOL;Union Colony Schools;Union Colony Preparatory School,3120,1997,2024,still_open,high,reported in 2024,40.406658,-104.767602
080441001665,1337,CARSON TREATMENT CENTER;LITTLER CENTER,,1998,2003,closed,high,CCD school_status=2,40.432374,-104.716503
080441001666,1780,COLORADO CHARTER HS OF GREELEY;COLORADO HIGH SCHOOL OF GREELEY,3120,1998,2010,closed,high,CCD school_status=2,40.420709,-104.7241
