year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P004,COMMUNITY CHRISTIAN SCHOOL,K,22,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P004,COMMUNITY CHRISTIAN SCHOOL,PK,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,K,14,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P015,CHILDREN'S WORLD,PK,82,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,1,16,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,2,16,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,3,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,5,10,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,6,2,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,7,11,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,8,17,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,K,22,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P021,GETHSEMANE LUTHERAN SCHOOL,PK,107,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P036,NOAH'S ARK PRESCHOOL,11,0,nonpublic-2003-ed59017200346internet.xls
