year,school_year,district_code,district_name,county_name,unit_type,fall_membership,membership_definition,fall_membership_k12,closing_day_membership,average_daily_membership,adae,source
1977,1977-78,0190,BYERS 32J,Arapahoe,district,356.0,printed_total,,352.0,337.3,339.4,yearbook-1986-table4
1977,1977-78,0970,CALHAN RJ-1,El Paso,district,301.0,printed_total,,301.0,300.0,284.3,yearbook-1986-table4
1977,1977-78,0270,CAMPO RE-6,Baca,district,135.0,printed_total,,139.0,136.0,134.0,yearbook-1986-table4
1977,1977-78,1140,CANON CITY RE-1,Fremont,district,3508.0,printed_total,,3498.0,3398.3,3256.6,yearbook-1986-table4
1977,1977-78,0640,CENTENNIAL R-1,Costilla,district,624.0,printed_total,,610.0,624.0,611.9,yearbook-1986-table4
1977,1977-78,2810,CENTER 26 JT.,Saguache,district,700.0,printed_total,,642.0,688.0,654.9,yearbook-1986-table4
1977,1977-78,2560,CHERAW 31,Otero,district,235.0,printed_total,,218.0,230.7,224.1,yearbook-1986-table4
1977,1977-78,0130,CHERRY CREEK 5,Arapahoe,district,17798.0,printed_total,,18136.0,17399.8,16703.8,yearbook-1986-table4
1977,1977-78,0520,CHEYENNE COUNTY RE-5*,Cheyenne,district,300.0,printed_total,,296.0,270.1,263.3,yearbook-1986-table4
1977,1977-78,1020,CHEYENNE MOUNTAIN 12,El Paso,district,1880.0,printed_total,,1933.0,1874.0,1799.8,yearbook-1986-table4
1977,1977-78,0540,CLEAR CREEK RE-1,Clear Creek,district,1125.0,printed_total,,1228.0,1202.7,1153.0,yearbook-1986-table4
1977,1977-78,1010,COLORADO SPRINGS 11,El Paso,district,33158.0,printed_total,,32681.0,32890.8,31250.5,yearbook-1986-table4
1977,1977-78,0860,CONSOLIDATED C-1,Custer,district,241.0,printed_total,,234.0,240.5,230.2,yearbook-1986-table4
1977,1977-78,1160,COTOPAXI RE-3,Fremont,district,171.0,printed_total,,187.0,173.5,163.0,yearbook-1986-table4
1977,1977-78,2010,CREEDE CONSOLIDATED 1,Mineral,district,207.0,printed_total,,202.0,194.5,187.1,yearbook-1986-table4
1977,1977-78,3010,CRIPPLE CREEK-VICTORRE-1,Teller,district,272.0,printed_total,,271.0,275.6,262.8,yearbook-1986-table4
1977,1977-78,0770,CROWLEY COUNTY RE-1-J,Crowley,district,553.0,printed_total,,551.0,564.4,543.1,yearbook-1986-table4
1977,1977-78,1980,DEBEQUE 49JT,Mesa,district,122.0,printed_total,,131.0,120.5,116.9,yearbook-1986-table4
1977,1977-78,0170,DEER TRAIL 26J,Arapahoe,district,138.0,printed_total,,133.0,135.0,129.6,yearbook-1986-table4
1977,1977-78,2730,DEL NORTE C-7,Rio Grande,district,847.0,printed_total,,820.0,817.1,784.4,yearbook-1986-table4
1977,1977-78,0870,DELTA COUNTY 50(J),Delta,district,4190.0,printed_total,,4084.0,4081.5,3924.2,yearbook-1986-table4
1977,1977-78,0880,DENVER COUNTY 1,Denver,district,71364.0,printed_total,,69081.0,68187.9,65460.4,yearbook-1986-table4
1977,1977-78,2055,DOLORRES RE-4A,Montezuma,district,522.0,printed_total,,517.0,522.6,501.0,yearbook-1986-table4
1977,1977-78,0890,DOLores COUNTY RE NO.1,Dolores,district,397.0,printed_total,,384.0,417.8,401.1,yearbook-1986-table4
1977,1977-78,0900,DOUGLAS COUNTY RE 1(J),Douglas,district,5561.0,printed_total,,5707.0,5424.1,5211.3,yearbook-1986-table4
1977,1977-78,1520,DURANGO 9-R,La Plata,district,3777.0,printed_total,,3415.0,3658.3,3509.2,yearbook-1986-table4
1977,1977-78,1430,EADS RE-1,Kiowa,district,322.0,printed_total,,308.0,316.9,305.2,yearbook-1986-table4
1977,1977-78,0910,EAGLE COUNTY RE 50(J),Eagle,district,1796.0,printed_total,,1779.0,1733.4,1664.1,yearbook-1986-table4
1977,1977-78,1350,EAST GRAND 2,Grand,district,914.0,printed_total,,892.0,869.0,836.5,yearbook-1986-table4
1977,1977-78,2520,EAST OTERO R-1,Otero,district,2789.0,printed_total,,2789.0,2688.7,2582.5,yearbook-1986-table4
1977,1977-78,3085,EATON RE-2,Weld,district,1161.0,printed_total,,1149.0,1150.0,1090.8,yearbook-1986-table4
