year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
2002,0010,MAPLETON 1,Adams,001,district,278.7112,school_sum,,278.7112,11.0,school_panel,,11.0,3887.0,3887.0,5621.0,73795.0,31849.0,Estimate
2003,0010,MAPLETON 1,Adams,001,district,286.4824,school_sum,,286.4824,11.0,school_panel,,11.0,5716.0,5716.0,5716.0,74777.0,33081.0,Estimate
2004,0010,MAPLETON 1,Adams,001,district,284.4838,school_sum,,284.4838,9.0,school_panel,,9.0,5703.0,5703.0,5703.0,76363.0,34151.0,Estimate
2005,0010,MAPLETON 1,Adams,001,district,286.4784,school_sum,,286.4784,15.0,school_panel,,15.0,5554.0,5554.0,5554.0,78386.0,35267.0,Estimate
2006,0010,MAPLETON 1,Adams,001,district,262.5,school_sum,,262.5,18.0,school_panel,,18.0,5595.0,5595.0,5595.0,81080.0,36440.0,Estimate
2007,0010,MAPLETON 1,Adams,001,district,257.8319,school_sum,,257.8319,17.0,school_panel,,17.0,5493.0,5493.0,5493.0,82938.0,36881.0,Estimate
2008,0010,MAPLETON 1,Adams,001,district,251.8561,school_sum,,251.8561,16.0,school_panel,,16.0,5794.0,5794.0,5794.0,85046.0,37364.0,Estimate
2009,0010,MAPLETON 1,Adams,001,district,274.5048,school_sum,,274.5048,17.0,school_panel,,17.0,5775.0,5775.0,5775.0,87403.0,37751.0,Estimate
2010,0010,MAPLETON 1,Adams,001,district,362.847,published,362.847,338.6,17.0,school_panel,,17.0,7634.0,7634.0,7634.0,88959.0,37607.0,Estimate
2011,0010,MAPLETON 1,Adams,001,district,356.03,school_sum,,356.03,17.0,school_panel,,17.0,7760.0,7760.0,7760.0,91259.0,37349.0,Estimate
