school_name,capacity,resident_students,enrolled_students,utilization,source,school_code
Bear Creek Elementary School,492,275,312,0.63,"BOE work session, 2026-09-15, slide 20",0652
Mesa Elementary School,418,228,224,0.54,"BOE work session, 2026-09-15, slide 20",5838
