level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year,from_areas,rebuilt,gap
elementary,2017-2018,Gold Hill,4.0,15.0,0.0,0.0,0.0,19.0,19.0,,2018,19.0,19.0,0.0
elementary,2017-2018,Superior,405.0,44.0,7.0,0.0,1.0,450.0,457.0,,2018,449.0,457.0,0.0
elementary,2017-2018,Eldorado K-8,340.0,38.0,23.0,5.0,0.0,383.0,406.0,,2018,378.0,406.0,0.0
elementary,2017-2018,Monarch K-8,253.0,78.0,36.0,11.0,0.0,342.0,378.0,,2018,331.0,378.0,0.0
elementary,2017-2018,Louisville Elem.,506.0,30.0,8.0,6.0,1.0,543.0,551.0,,2018,536.0,551.0,0.0
elementary,2017-2018,Fireside,321.0,79.0,8.0,11.0,0.0,411.0,419.0,,2018,400.0,419.0,0.0
elementary,2017-2018,Coal Creek,367.0,41.0,7.0,1.0,0.0,409.0,416.0,,2018,408.0,416.0,0.0
elementary,2017-2018,Meadowlark,261.0,26.0,34.0,4.0,0.0,291.0,325.0,,2018,287.0,325.0,0.0
elementary,2017-2018,Sanchez,300.0,39.0,7.0,8.0,1.0,348.0,355.0,,2018,339.0,355.0,0.0
elementary,2017-2018,Ryan,362.0,58.0,16.0,7.0,2.0,429.0,445.0,,2018,420.0,445.0,0.0
elementary,2017-2018,Lafayette Elem.,363.0,86.0,7.0,9.0,1.0,459.0,466.0,,2018,449.0,466.0,0.0
elementary,2017-2018,Kohl,255.0,85.0,73.0,9.0,0.0,349.0,422.0,,2018,340.0,422.0,0.0
elementary,2017-2018,Emerald,261.0,25.0,62.0,12.0,0.0,298.0,360.0,,2018,286.0,360.0,0.0
elementary,2017-2018,Birch,257.0,40.0,61.0,13.0,0.0,310.0,371.0,,2018,297.0,371.0,0.0
elementary,2017-2018,Aspen Creek K-8,321.0,77.0,56.0,12.0,0.0,410.0,466.0,,2018,398.0,466.0,0.0
elementary,2017-2018,Whittier,325.0,48.0,2.0,5.0,1.0,379.0,381.0,,2018,373.0,381.0,0.0
elementary,2017-2018,Mesa *,215.0,47.0,3.0,6.0,0.0,268.0,271.0,,2018,262.0,271.0,0.0
elementary,2017-2018,Heatherwood,305.0,11.0,13.0,8.0,0.0,324.0,337.0,,2018,316.0,337.0,0.0
elementary,2017-2018,Foothill,438.0,46.0,1.0,8.0,0.0,492.0,493.0,,2018,484.0,493.0,0.0
elementary,2017-2018,Flatirons,175.0,65.0,4.0,1.0,0.0,241.0,245.0,,2018,240.0,245.0,0.0
elementary,2017-2018,Eisenhower,292.0,65.0,6.0,22.0,0.0,379.0,385.0,,2018,357.0,385.0,0.0
elementary,2017-2018,Douglass,334.0,69.0,7.0,4.0,1.0,408.0,415.0,,2018,403.0,415.0,0.0
elementary,2017-2018,Crest View,525.0,46.0,7.0,4.0,0.0,575.0,582.0,,2018,571.0,582.0,0.0
elementary,2017-2018,Creekside *,215.0,36.0,5.0,16.0,0.0,267.0,272.0,,2018,251.0,272.0,0.0
elementary,2017-2018,Columbine,400.0,72.0,2.0,9.0,0.0,481.0,483.0,,2018,472.0,483.0,0.0
elementary,2017-2018,Bear Creek *,401.0,38.0,2.0,7.0,0.0,446.0,448.0,,2018,439.0,448.0,0.0
elementary,2018-2019,Peak to Peak,,341.0,107.0,1.0,0.0,342.0,449.0,,2019,341.0,449.0,0.0
elementary,2018-2019,Horizons,,226.0,5.0,3.0,0.0,229.0,234.0,,2019,226.0,234.0,0.0
elementary,2018-2019,Pioneer,,340.0,74.0,30.0,0.0,370.0,444.0,,2019,340.0,444.0,0.0
elementary,2018-2019,Uni-Hill Int.,,366.0,29.0,26.0,1.0,393.0,422.0,,2019,366.0,422.0,0.0
elementary,2018-2019,Comm. Montessori,,229.0,19.0,6.0,0.0,235.0,254.0,,2019,229.0,254.0,0.0
elementary,2018-2019,High Peaks,,278.0,9.0,4.0,0.0,282.0,291.0,,2019,278.0,291.0,0.0
elementary,2018-2019,Boulder Universal,,3.0,1.0,0.0,0.0,3.0,4.0,,2019,3.0,4.0,0.0
elementary,2018-2019,BCSIS,,302.0,3.0,1.0,0.0,303.0,306.0,,2019,302.0,306.0,0.0
elementary,2018-2019,Nederland Elem.,243.0,1.0,4.0,0.0,0.0,244.0,248.0,,2019,244.0,248.0,0.0
elementary,2018-2019,Jamestown,7.0,7.0,1.0,0.0,0.0,14.0,15.0,,2019,14.0,15.0,0.0
elementary,2018-2019,Gold Hill,4.0,15.0,0.0,0.0,0.0,19.0,19.0,,2019,19.0,19.0,0.0
elementary,2018-2019,Superior,391.0,35.0,7.0,6.0,0.0,432.0,439.0,,2019,426.0,439.0,0.0
elementary,2018-2019,Eldorado K-8,332.0,38.0,22.0,4.0,0.0,374.0,396.0,,2019,370.0,396.0,0.0
elementary,2018-2019,Monarch K-8,224.0,80.0,27.0,17.0,0.0,321.0,348.0,,2019,304.0,348.0,0.0
elementary,2018-2019,Louisville Elem.,521.0,29.0,4.0,9.0,0.0,559.0,563.0,,2019,550.0,563.0,0.0
elementary,2018-2019,Fireside,328.0,76.0,9.0,7.0,0.0,411.0,420.0,,2019,404.0,420.0,0.0
elementary,2018-2019,Coal Creek,367.0,35.0,8.0,0.0,0.0,402.0,410.0,,2019,402.0,410.0,0.0
elementary,2018-2019,Meadowlark,374.0,21.0,33.0,9.0,0.0,404.0,437.0,,2019,395.0,437.0,0.0
elementary,2018-2019,Sanchez,285.0,34.0,5.0,7.0,0.0,326.0,331.0,,2019,319.0,331.0,0.0
elementary,2018-2019,Ryan,402.0,41.0,12.0,8.0,0.0,451.0,463.0,,2019,443.0,463.0,0.0
elementary,2018-2019,Lafayette Elem.,345.0,63.0,9.0,10.0,0.0,418.0,427.0,,2019,408.0,427.0,0.0
elementary,2018-2019,Kohl,259.0,75.0,61.0,7.0,0.0,341.0,402.0,,2019,334.0,402.0,0.0
elementary,2018-2019,Emerald,284.0,35.0,61.0,7.0,0.0,326.0,387.0,,2019,319.0,387.0,0.0
elementary,2018-2019,Birch,249.0,34.0,54.0,9.0,0.0,292.0,346.0,,2019,283.0,346.0,0.0
elementary,2018-2019,Aspen Creek K-8,299.0,67.0,62.0,9.0,0.0,375.0,437.0,,2019,366.0,437.0,0.0
elementary,2018-2019,Whittier,332.0,62.0,3.0,3.0,0.0,397.0,400.0,,2019,394.0,400.0,0.0
elementary,2018-2019,Mesa *,209.0,45.0,4.0,2.0,0.0,256.0,260.0,,2019,254.0,260.0,0.0
elementary,2018-2019,Heatherwood,264.0,13.0,10.0,9.0,0.0,286.0,296.0,,2019,277.0,296.0,0.0
elementary,2018-2019,Foothill,416.0,33.0,0.0,8.0,0.0,457.0,457.0,,2019,449.0,457.0,0.0
elementary,2018-2019,Flatirons,154.0,69.0,5.0,0.0,0.0,223.0,228.0,,2019,223.0,228.0,0.0
elementary,2018-2019,Eisenhower,315.0,60.0,11.0,21.0,0.0,396.0,407.0,,2019,375.0,407.0,0.0
elementary,2018-2019,Douglass,305.0,78.0,9.0,4.0,0.0,387.0,396.0,,2019,383.0,396.0,0.0
