level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year,from_areas,rebuilt,gap
elementary,2021-2022,Creekside *,256.0,30.0,6.0,9.0,0.0,295.0,301.0,,2022,286.0,301.0,0.0
elementary,2021-2022,Columbine,287.0,54.0,8.0,13.0,0.0,354.0,362.0,,2022,341.0,362.0,0.0
elementary,2021-2022,Bear Creek *,300.0,37.0,2.0,7.0,0.0,344.0,346.0,,2022,337.0,346.0,0.0
elementary,2022-2023,Peak to Peak,,371.0,77.0,1.0,0.0,372.0,449.0,,2023,371.0,449.0,0.0
elementary,2022-2023,Horizons,,211.0,9.0,10.0,0.0,221.0,230.0,,2023,211.0,230.0,0.0
elementary,2022-2023,Pioneer,,321.0,62.0,18.0,0.0,339.0,401.0,,2023,321.0,401.0,0.0
elementary,2022-2023,Uni-Hill Int.,,354.0,18.0,4.0,1.0,359.0,377.0,,2023,354.0,377.0,0.0
elementary,2022-2023,Comm. Montessori,,193.0,28.0,2.0,1.0,196.0,224.0,,2023,193.0,224.0,0.0
elementary,2022-2023,High Peaks,,246.0,17.0,2.0,0.0,248.0,265.0,,2023,246.0,265.0,0.0
elementary,2022-2023,Halcyon,,1.0,0.0,1.0,0.0,2.0,2.0,,2023,1.0,2.0,0.0
elementary,2022-2023,Boulder Universal,,18.0,12.0,3.0,0.0,21.0,33.0,,2023,18.0,33.0,0.0
elementary,2022-2023,BCSIS,,272.0,10.0,2.0,0.0,274.0,284.0,,2023,272.0,284.0,0.0
elementary,2022-2023,Nederland Elem.,169.0,,1.0,0.0,0.0,169.0,170.0,,2023,169.0,170.0,0.0
elementary,2022-2023,Jamestown,10.0,7.0,0.0,0.0,0.0,17.0,17.0,,2023,17.0,17.0,0.0
elementary,2022-2023,Gold Hill,9.0,6.0,0.0,0.0,0.0,15.0,15.0,,2023,15.0,15.0,0.0
elementary,2022-2023,Superior,362.0,43.0,7.0,7.0,1.0,413.0,420.0,,2023,405.0,420.0,0.0
elementary,2022-2023,Eldorado K-8,235.0,26.0,24.0,2.0,0.0,263.0,287.0,,2023,261.0,287.0,0.0
elementary,2022-2023,Monarch K-8,168.0,71.0,30.0,16.0,1.0,256.0,286.0,,2023,239.0,286.0,0.0
elementary,2022-2023,Louisville Elem.,402.0,31.0,8.0,10.0,0.0,443.0,451.0,,2023,433.0,451.0,0.0
elementary,2022-2023,Fireside,281.0,85.0,9.0,9.0,0.0,375.0,384.0,,2023,366.0,384.0,0.0
elementary,2022-2023,Coal Creek,280.0,23.0,15.0,12.0,0.0,315.0,330.0,,2023,303.0,330.0,0.0
elementary,2022-2023,Meadowlark,442.0,9.0,14.0,8.0,2.0,461.0,475.0,,2023,451.0,475.0,0.0
elementary,2022-2023,Sanchez,270.0,20.0,7.0,4.0,1.0,295.0,302.0,,2023,290.0,302.0,0.0
elementary,2022-2023,Ryan,386.0,19.0,5.0,6.0,0.0,411.0,416.0,,2023,405.0,416.0,0.0
elementary,2022-2023,Lafayette Elem.,350.0,73.0,3.0,6.0,0.0,429.0,432.0,,2023,423.0,432.0,0.0
elementary,2022-2023,Kohl,193.0,33.0,39.0,2.0,0.0,228.0,267.0,,2023,226.0,267.0,0.0
elementary,2022-2023,Emerald,266.0,42.0,49.0,10.0,,318.0,367.0,,2023,308.0,367.0,0.0
elementary,2022-2023,Birch,202.0,36.0,64.0,4.0,3.0,245.0,309.0,,2023,238.0,309.0,0.0
elementary,2022-2023,Aspen Creek K-8,235.0,67.0,64.0,12.0,0.0,314.0,378.0,,2023,302.0,378.0,0.0
elementary,2022-2023,Whittier,230.0,84.0,9.0,6.0,0.0,320.0,329.0,,2023,314.0,329.0,0.0
elementary,2022-2023,Mesa *,182.0,47.0,5.0,11.0,1.0,241.0,246.0,,2023,229.0,246.0,0.0
elementary,2022-2023,Heatherwood,205.0,11.0,12.0,5.0,0.0,221.0,233.0,,2023,216.0,233.0,0.0
elementary,2022-2023,Foothill,381.0,43.0,1.0,12.0,0.0,436.0,437.0,,2023,424.0,437.0,0.0
elementary,2022-2023,Flatirons,128.0,48.0,3.0,2.0,0.0,178.0,181.0,,2023,176.0,181.0,0.0
elementary,2022-2023,Eisenhower,238.0,47.0,4.0,12.0,2.0,299.0,303.0,,2023,285.0,303.0,0.0
elementary,2022-2023,Douglass,212.0,79.0,0.0,6.0,1.0,298.0,298.0,,2023,291.0,298.0,0.0
elementary,2022-2023,Crest View,379.0,37.0,13.0,5.0,0.0,421.0,434.0,,2023,416.0,434.0,0.0
elementary,2022-2023,Creekside *,287.0,33.0,2.0,12.0,3.0,335.0,337.0,,2023,320.0,337.0,0.0
elementary,2022-2023,Columbine,282.0,58.0,7.0,12.0,0.0,352.0,359.0,,2023,340.0,359.0,0.0
elementary,2022-2023,Bear Creek *,291.0,39.0,4.0,8.0,0.0,338.0,342.0,,2023,330.0,342.0,0.0
elementary,2023-2024,Peak to Peak,,374.0,72.0,1.0,0.0,375.0,447.0,,2024,374.0,447.0,0.0
elementary,2023-2024,Horizons,,220.0,13.0,9.0,0.0,229.0,242.0,,2024,220.0,242.0,0.0
elementary,2023-2024,Pioneer,,336.0,58.0,21.0,0.0,357.0,415.0,,2024,336.0,415.0,0.0
elementary,2023-2024,Uni-Hill Int.,,346.0,18.0,7.0,1.0,354.0,372.0,,2024,346.0,372.0,0.0
elementary,2023-2024,Comm. Montessori,,194.0,31.0,2.0,0.0,196.0,227.0,,2024,194.0,227.0,0.0
elementary,2023-2024,High Peaks,,230.0,14.0,1.0,0.0,231.0,245.0,,2024,230.0,245.0,0.0
elementary,2023-2024,Halcyon,,1.0,0.0,2.0,0.0,3.0,3.0,,2024,1.0,3.0,0.0
elementary,2023-2024,Boulder Universal,,14.0,22.0,5.0,0.0,19.0,41.0,,2024,14.0,41.0,0.0
elementary,2023-2024,BCSIS,,251.0,12.0,1.0,1.0,253.0,265.0,,2024,251.0,265.0,0.0
elementary,2023-2024,Nederland Elem.,162.0,1.0,2.0,0.0,0.0,163.0,165.0,,2024,163.0,165.0,0.0
elementary,2023-2024,Jamestown,8.0,10.0,0.0,0.0,0.0,18.0,18.0,,2024,18.0,18.0,0.0
elementary,2023-2024,Gold Hill,9.0,3.0,0.0,0.0,0.0,12.0,12.0,,2024,12.0,12.0,0.0
elementary,2023-2024,Superior,359.0,51.0,8.0,10.0,1.0,421.0,429.0,,2024,410.0,429.0,0.0
elementary,2023-2024,Eldorado K-8,212.0,25.0,22.0,4.0,0.0,241.0,263.0,,2024,237.0,263.0,0.0
elementary,2023-2024,Monarch K-8,154.0,76.0,29.0,15.0,0.0,245.0,274.0,,2024,230.0,274.0,0.0
elementary,2023-2024,Louisville Elem.,369.0,36.0,8.0,9.0,0.0,414.0,422.0,,2024,405.0,422.0,0.0
elementary,2023-2024,Fireside,267.0,103.0,11.0,15.0,0.0,385.0,396.0,,2024,370.0,396.0,0.0
elementary,2023-2024,Coal Creek,260.0,24.0,11.0,10.0,0.0,294.0,305.0,,2024,284.0,305.0,0.0
elementary,2023-2024,Meadowlark,433.0,6.0,18.0,7.0,0.0,446.0,464.0,,2024,439.0,464.0,0.0
elementary,2023-2024,Sanchez,251.0,23.0,9.0,0.0,2.0,276.0,285.0,,2024,274.0,285.0,0.0
elementary,2023-2024,Ryan,384.0,25.0,12.0,5.0,0.0,414.0,426.0,,2024,409.0,426.0,0.0
elementary,2023-2024,Lafayette Elem.,354.0,76.0,3.0,8.0,3.0,441.0,444.0,,2024,430.0,444.0,0.0
elementary,2023-2024,Kohl,188.0,26.0,30.0,7.0,0.0,221.0,251.0,,2024,214.0,251.0,0.0
elementary,2023-2024,Emerald,250.0,41.0,58.0,6.0,1.0,298.0,356.0,,2024,291.0,356.0,0.0
elementary,2023-2024,Birch,188.0,29.0,53.0,7.0,2.0,226.0,279.0,,2024,217.0,279.0,0.0
elementary,2023-2024,Aspen Creek K-8,238.0,80.0,88.0,12.0,2.0,332.0,420.0,,2024,318.0,420.0,0.0
elementary,2023-2024,Whittier,196.0,76.0,13.0,6.0,0.0,278.0,291.0,,2024,272.0,291.0,0.0
elementary,2023-2024,Mesa *,166.0,49.0,5.0,13.0,0.0,228.0,233.0,,2024,215.0,233.0,0.0
elementary,2023-2024,Heatherwood,193.0,13.0,14.0,6.0,0.0,212.0,226.0,,2024,206.0,226.0,0.0
elementary,2023-2024,Foothill,360.0,63.0,3.0,11.0,0.0,434.0,437.0,,2024,423.0,437.0,0.0
elementary,2023-2024,Flatirons,125.0,31.0,3.0,5.0,0.0,161.0,164.0,,2024,156.0,164.0,0.0
elementary,2023-2024,Eisenhower,244.0,52.0,3.0,12.0,0.0,308.0,311.0,,2024,296.0,311.0,0.0
elementary,2023-2024,Douglass,187.0,87.0,3.0,9.0,0.0,283.0,286.0,,2024,274.0,286.0,0.0
elementary,2023-2024,Crest View,360.0,38.0,11.0,1.0,0.0,399.0,410.0,,2024,398.0,410.0,0.0
elementary,2023-2024,Creekside *,281.0,39.0,3.0,9.0,1.0,330.0,333.0,,2024,320.0,333.0,0.0
elementary,2023-2024,Columbine,277.0,60.0,7.0,5.0,3.0,345.0,352.0,,2024,337.0,352.0,0.0
elementary,2023-2024,Bear Creek *,231.0,51.0,7.0,9.0,0.0,291.0,298.0,,2024,282.0,298.0,0.0
elementary,2024-2025,Peak to Peak,,386.0,59.0,0.0,0.0,386.0,445.0,,2025,386.0,445.0,0.0
elementary,2024-2025,Horizons,,210.0,17.0,11.0,0.0,221.0,238.0,,2025,210.0,238.0,0.0
elementary,2024-2025,Pioneer,,320.0,52.0,21.0,4.0,345.0,397.0,,2025,320.0,397.0,0.0
elementary,2024-2025,Uni-Hill Int.,,354.0,15.0,11.0,0.0,365.0,380.0,,2025,354.0,380.0,0.0
elementary,2024-2025,Comm. Montessori,,193.0,36.0,1.0,2.0,196.0,232.0,,2025,193.0,232.0,0.0
elementary,2024-2025,High Peaks,,231.0,25.0,1.0,0.0,232.0,257.0,,2025,231.0,257.0,0.0
elementary,2024-2025,Halcyon,,0.0,0.0,1.0,0.0,1.0,1.0,,2025,0.0,1.0,0.0
elementary,2024-2025,Boulder Universal,,19.0,27.0,0.0,0.0,19.0,46.0,,2025,19.0,46.0,0.0
elementary,2024-2025,BCSIS,,241.0,10.0,3.0,0.0,244.0,254.0,,2025,241.0,254.0,0.0
elementary,2024-2025,Nederland Elem.,168.0,2.0,2.0,0.0,0.0,170.0,172.0,,2025,170.0,172.0,0.0
elementary,2024-2025,Jamestown,6.0,11.0,0.0,0.0,0.0,17.0,17.0,,2025,17.0,17.0,0.0
elementary,2024-2025,Gold Hill,7.0,3.0,0.0,0.0,0.0,10.0,10.0,,2025,10.0,10.0,0.0
elementary,2024-2025,Superior,323.0,74.0,8.0,11.0,0.0,408.0,416.0,,2025,397.0,416.0,0.0
elementary,2024-2025,Eldorado K-8,187.0,37.0,25.0,7.0,0.0,231.0,256.0,,2025,224.0,256.0,0.0
elementary,2024-2025,Monarch K-8,146.0,75.0,28.0,15.0,0.0,236.0,264.0,,2025,221.0,264.0,0.0
elementary,2024-2025,Louisville Elem.,347.0,48.0,7.0,15.0,0.0,410.0,417.0,,2025,395.0,417.0,0.0
elementary,2024-2025,Fireside,254.0,115.0,15.0,13.0,0.0,382.0,397.0,,2025,369.0,397.0,0.0
elementary,2024-2025,Coal Creek,241.0,22.0,10.0,10.0,0.0,273.0,283.0,,2025,263.0,283.0,0.0
elementary,2024-2025,Meadowlark,429.0,20.0,15.0,4.0,0.0,453.0,468.0,,2025,449.0,468.0,0.0
elementary,2024-2025,Sanchez,242.0,33.0,13.0,0.0,2.0,277.0,290.0,,2025,275.0,290.0,0.0
elementary,2024-2025,Ryan,365.0,25.0,11.0,8.0,1.0,399.0,410.0,,2025,390.0,410.0,0.0
elementary,2024-2025,Lafayette Elem.,366.0,88.0,2.0,8.0,1.0,463.0,465.0,,2025,454.0,465.0,0.0
elementary,2024-2025,Kohl,182.0,36.0,29.0,7.0,0.0,225.0,254.0,,2025,218.0,254.0,0.0
elementary,2024-2025,Emerald,242.0,37.0,60.0,9.0,0.0,288.0,348.0,,2025,279.0,348.0,0.0
elementary,2024-2025,Birch,194.0,20.0,54.0,7.0,0.0,221.0,275.0,,2025,214.0,275.0,0.0
elementary,2024-2025,Aspen Creek K-8,234.0,83.0,113.0,13.0,0.0,330.0,443.0,,2025,317.0,443.0,0.0
elementary,2024-2025,Whittier,172.0,82.0,6.0,7.0,0.0,261.0,267.0,,2025,254.0,267.0,0.0
elementary,2024-2025,Mesa *,157.0,51.0,9.0,13.0,0.0,221.0,230.0,,2025,208.0,230.0,0.0
elementary,2024-2025,Heatherwood,202.0,11.0,14.0,6.0,0.0,219.0,233.0,,2025,213.0,233.0,0.0
elementary,2024-2025,Foothill,316.0,83.0,4.0,15.0,0.0,414.0,418.0,,2025,399.0,418.0,0.0
elementary,2024-2025,Flatirons,120.0,30.0,4.0,9.0,0.0,159.0,163.0,,2025,150.0,163.0,0.0
elementary,2024-2025,Eisenhower,221.0,39.0,3.0,13.0,0.0,273.0,276.0,,2025,260.0,276.0,0.0
elementary,2024-2025,Douglass,181.0,86.0,4.0,11.0,0.0,278.0,282.0,,2025,267.0,282.0,0.0
elementary,2024-2025,Crest View,341.0,32.0,10.0,7.0,0.0,380.0,390.0,,2025,373.0,390.0,0.0
elementary,2024-2025,Creekside *,271.0,44.0,3.0,9.0,0.0,324.0,327.0,,2025,315.0,327.0,0.0
elementary,2024-2025,Columbine,260.0,67.0,7.0,5.0,4.0,336.0,343.0,,2025,327.0,343.0,0.0
elementary,2024-2025,Bear Creek *,230.0,64.0,11.0,13.0,0.0,307.0,318.0,,2025,294.0,318.0,0.0
elementary,2025-2026,Peak to Peak,,398.0,52.0,0.0,0.0,398.0,450.0,,2026,398.0,450.0,0.0
elementary,2025-2026,Horizons,,212.0,22.0,11.0,0.0,223.0,245.0,,2026,212.0,245.0,0.0
elementary,2025-2026,Pioneer,,289.0,64.0,18.0,0.0,307.0,371.0,,2026,289.0,371.0,0.0
elementary,2025-2026,Uni-Hill Int.,,336.0,21.0,9.0,2.0,347.0,368.0,,2026,336.0,368.0,0.0
elementary,2025-2026,Comm. Montessori,,165.0,25.0,1.0,2.0,168.0,193.0,,2026,165.0,193.0,0.0
elementary,2025-2026,High Peaks,,252.0,28.0,1.0,2.0,255.0,283.0,,2026,252.0,283.0,0.0
elementary,2025-2026,Halcyon,,1.0,0.0,3.0,0.0,4.0,4.0,,2026,1.0,4.0,0.0
elementary,2025-2026,Boulder Universal,,15.0,24.0,0.0,0.0,15.0,39.0,,2026,15.0,39.0,0.0
elementary,2025-2026,BCSIS,,231.0,17.0,4.0,1.0,236.0,253.0,,2026,231.0,253.0,0.0
elementary,2025-2026,Nederland Elem.,163.0,2.0,1.0,0.0,0.0,165.0,166.0,,2026,165.0,166.0,0.0
elementary,2025-2026,Jamestown,6.0,11.0,0.0,0.0,0.0,17.0,17.0,,2026,17.0,17.0,0.0
elementary,2025-2026,Gold Hill,7.0,4.0,0.0,0.0,0.0,11.0,11.0,,2026,11.0,11.0,0.0
elementary,2025-2026,Superior,313.0,97.0,10.0,13.0,0.0,423.0,433.0,,2026,410.0,433.0,0.0
elementary,2025-2026,Eldorado K-8,169.0,47.0,23.0,11.0,2.0,229.0,252.0,,2026,216.0,252.0,0.0
elementary,2025-2026,Monarch K-8,149.0,65.0,31.0,17.0,2.0,233.0,264.0,,2026,214.0,264.0,0.0
elementary,2025-2026,Louisville Elem.,317.0,46.0,5.0,14.0,0.0,377.0,382.0,,2026,363.0,382.0,0.0
elementary,2025-2026,Fireside,259.0,117.0,16.0,12.0,1.0,389.0,405.0,,2026,376.0,405.0,0.0
elementary,2025-2026,Coal Creek,223.0,30.0,8.0,8.0,0.0,261.0,269.0,,2026,253.0,269.0,0.0
elementary,2025-2026,Meadowlark,406.0,30.0,26.0,9.0,0.0,445.0,471.0,,2026,436.0,471.0,0.0
elementary,2025-2026,Sanchez,225.0,39.0,9.0,3.0,0.0,267.0,276.0,,2026,264.0,276.0,0.0
elementary,2025-2026,Ryan,342.0,30.0,13.0,8.0,0.0,380.0,393.0,,2026,372.0,393.0,0.0
elementary,2025-2026,Lafayette Elem.,331.0,103.0,7.0,9.0,0.0,443.0,450.0,,2026,434.0,450.0,0.0
elementary,2025-2026,Kohl,187.0,28.0,31.0,9.0,1.0,225.0,256.0,,2026,215.0,256.0,0.0
elementary,2025-2026,Emerald,243.0,42.0,74.0,6.0,0.0,291.0,365.0,,2026,285.0,365.0,0.0
elementary,2025-2026,Birch,183.0,23.0,45.0,7.0,1.0,214.0,259.0,,2026,206.0,259.0,0.0
elementary,2025-2026,Aspen Creek K-8,244.0,87.0,131.0,10.0,0.0,341.0,472.0,,2026,331.0,472.0,0.0
elementary,2025-2026,Whittier,152.0,94.0,6.0,5.0,0.0,251.0,257.0,,2026,246.0,257.0,0.0
elementary,2025-2026,Mesa *,156.0,48.0,10.0,10.0,0.0,214.0,224.0,,2026,204.0,224.0,0.0
elementary,2025-2026,Heatherwood,190.0,17.0,11.0,7.0,0.0,214.0,225.0,,2026,207.0,225.0,0.0
elementary,2025-2026,Foothill,304.0,115.0,4.0,11.0,0.0,430.0,434.0,,2026,419.0,434.0,0.0
elementary,2025-2026,Flatirons,116.0,24.0,4.0,7.0,0.0,147.0,151.0,,2026,140.0,151.0,0.0
elementary,2025-2026,Eisenhower,206.0,45.0,2.0,12.0,0.0,263.0,265.0,,2026,251.0,265.0,0.0
elementary,2025-2026,Douglass,164.0,95.0,8.0,13.0,1.0,273.0,281.0,,2026,259.0,281.0,0.0
elementary,2025-2026,Crest View,303.0,16.0,6.0,5.0,0.0,324.0,330.0,,2026,319.0,330.0,0.0
elementary,2025-2026,Creekside *,240.0,37.0,1.0,10.0,0.0,287.0,288.0,,2026,277.0,288.0,0.0
elementary,2025-2026,Columbine,221.0,69.0,17.0,4.0,2.0,296.0,313.0,,2026,290.0,313.0,0.0
elementary,2025-2026,Bear Creek *,216.0,70.0,13.0,13.0,0.0,299.0,312.0,,2026,286.0,312.0,0.0
high,2016-2017,Justice High,,50.0,24.0,3.0,1.0,54.0,78.0,,2017,50.0,78.0,0.0
high,2016-2017,Peak-to-Peak,,374.0,214.0,,,374.0,588.0,,2017,374.0,588.0,0.0
high,2016-2017,Boulder Prep,,66.0,36.0,2.0,,68.0,104.0,,2017,66.0,104.0,0.0
high,2016-2017,New Vista,,254.0,37.0,1.0,,255.0,292.0,,2017,254.0,292.0,0.0
high,2016-2017,Halcyon,,,,12.0,,12.0,12.0,,2017,0.0,12.0,0.0
high,2016-2017,Boulder Universal,,48.0,15.0,,,48.0,63.0,,2017,48.0,63.0,0.0
high,2016-2017,Arapahoe Ridge,,70.0,3.0,17.0,,87.0,90.0,,2017,70.0,90.0,0.0
high,2016-2017,Nederland,122.0,2.0,2.0,,,124.0,126.0,,2017,124.0,126.0,0.0
high,2016-2017,Monarch,1316.0,233.0,151.0,6.0,2.0,1557.0,1708.0,,2017,1549.0,1708.0,0.0
high,2016-2017,Centaurus,913.0,151.0,57.0,3.0,3.0,1070.0,1127.0,,2017,1064.0,1127.0,0.0
high,2016-2017,Broomfield,965.0,23.0,604.0,3.0,,991.0,1595.0,,2017,988.0,1595.0,0.0
high,2016-2017,Fairview,1226.0,838.0,92.0,10.0,,2074.0,2166.0,,2017,2064.0,2166.0,0.0
high,2016-2017,Boulder,1634.0,274.0,60.0,10.0,3.0,1921.0,1981.0,,2017,1908.0,1981.0,0.0
high,2017-2018,Justice High,,47.0,24.0,4.0,1.0,52.0,76.0,,2018,47.0,76.0,0.0
high,2017-2018,Peak-to-Peak,,367.0,220.0,2.0,,369.0,589.0,,2018,367.0,589.0,0.0
high,2017-2018,Boulder Prep,,45.0,34.0,1.0,,46.0,80.0,,2018,45.0,80.0,0.0
high,2017-2018,New Vista,,264.0,38.0,2.0,,266.0,304.0,,2018,264.0,304.0,0.0
high,2017-2018,Halcyon,,,,8.0,,8.0,8.0,,2018,0.0,8.0,0.0
high,2017-2018,Boulder Universal,,50.0,17.0,1.0,,51.0,68.0,,2018,50.0,68.0,0.0
high,2017-2018,Arapahoe Ridge,,69.0,10.0,19.0,2.0,90.0,100.0,,2018,69.0,100.0,0.0
high,2017-2018,Nederland,112.0,1.0,5.0,,,113.0,118.0,,2018,113.0,118.0,0.0
high,2017-2018,Monarch,1307.0,244.0,160.0,6.0,,1557.0,1717.0,,2018,1551.0,1717.0,0.0
high,2017-2018,Centaurus,997.0,159.0,59.0,3.0,1.0,1160.0,1219.0,,2018,1156.0,1219.0,0.0
high,2017-2018,Broomfield,952.0,24.0,595.0,3.0,,979.0,1574.0,,2018,976.0,1574.0,0.0
high,2017-2018,Fairview,1316.0,832.0,63.0,11.0,1.0,2160.0,2223.0,,2018,2148.0,2223.0,0.0
high,2017-2018,Boulder,1763.0,232.0,42.0,11.0,2.0,2008.0,2050.0,,2018,1995.0,2050.0,0.0
high,2018-2019,Justice High,,55.0,33.0,5.0,,60.0,93.0,,2019,55.0,93.0,0.0
high,2018-2019,Peak-to-Peak,,388.0,201.0,3.0,1.0,392.0,593.0,,2019,388.0,593.0,0.0
high,2018-2019,Boulder Prep,,61.0,38.0,1.0,,62.0,100.0,,2019,61.0,100.0,0.0
high,2018-2019,New Vista,,267.0,45.0,,,267.0,312.0,,2019,267.0,312.0,0.0
high,2018-2019,Halcyon,,8.0,,,,8.0,8.0,,2019,8.0,8.0,0.0
high,2018-2019,Boulder Universal,,28.0,13.0,1.0,,29.0,42.0,,2019,28.0,42.0,0.0
high,2018-2019,Arapahoe Ridge,,106.0,10.0,24.0,1.0,131.0,141.0,,2019,106.0,141.0,0.0
high,2018-2019,Nederland,112.0,2.0,6.0,,1.0,115.0,121.0,,2019,114.0,121.0,0.0
high,2018-2019,Monarch,1352.0,218.0,128.0,8.0,,1578.0,1706.0,,2019,1570.0,1706.0,0.0
high,2018-2019,Centaurus,1022.0,211.0,65.0,4.0,4.0,1241.0,1306.0,,2019,1233.0,1306.0,0.0
high,2018-2019,Broomfield,909.0,28.0,617.0,3.0,1.0,941.0,1558.0,,2019,937.0,1558.0,0.0
high,2018-2019,Fairview,1307.0,809.0,41.0,16.0,1.0,2133.0,2174.0,,2019,2116.0,2174.0,0.0
high,2018-2019,Boulder,1818.0,230.0,31.0,12.0,,2060.0,2091.0,,2019,2048.0,2091.0,0.0
high,2019-2020,Justice High,,50.0,37.0,,,50.0,87.0,,2020,50.0,87.0,0.0
high,2019-2020,Peak-to-Peak,,409.0,181.0,,1.0,410.0,591.0,,2020,409.0,591.0,0.0
high,2019-2020,Boulder Prep,,64.0,40.0,1.0,1.0,66.0,106.0,,2020,64.0,106.0,0.0
high,2019-2020,New Vista,,272.0,52.0,,,272.0,324.0,,2020,272.0,324.0,0.0
high,2019-2020,Halcyon,,11.0,,,,11.0,11.0,,2020,11.0,11.0,0.0
high,2019-2020,Boulder Universal,,40.0,10.0,5.0,,45.0,55.0,,2020,40.0,55.0,0.0
high,2019-2020,Arapahoe Ridge,,118.0,12.0,12.0,,130.0,142.0,,2020,118.0,142.0,0.0
high,2019-2020,Nederland,99.0,1.0,4.0,1.0,,101.0,105.0,,2020,100.0,105.0,0.0
high,2019-2020,Monarch,1325.0,193.0,126.0,9.0,,1527.0,1653.0,,2020,1518.0,1653.0,0.0
high,2019-2020,Centaurus,1118.0,255.0,58.0,6.0,,1379.0,1437.0,,2020,1373.0,1437.0,0.0
high,2019-2020,Broomfield,893.0,21.0,633.0,2.0,,916.0,1549.0,,2020,914.0,1549.0,0.0
high,2019-2020,Fairview,1346.0,714.0,34.0,27.0,,2087.0,2121.0,,2020,2060.0,2121.0,0.0
high,2019-2020,Boulder,1918.0,178.0,25.0,12.0,,2108.0,2133.0,,2020,2096.0,2133.0,0.0
high,2020-2021,Justice High,,45.0,35.0,3.0,,48.0,83.0,,2021,45.0,83.0,0.0
high,2020-2021,Peak-to-Peak,,417.0,174.0,,1.0,418.0,592.0,,2021,417.0,592.0,0.0
high,2020-2021,Boulder Prep,,58.0,36.0,,1.0,59.0,95.0,,2021,58.0,95.0,0.0
high,2020-2021,New Vista,,256.0,48.0,1.0,1.0,258.0,306.0,,2021,256.0,306.0,0.0
high,2020-2021,Halcyon,,5.0,,4.0,1.0,10.0,10.0,,2021,5.0,10.0,0.0
high,2020-2021,Boulder Universal,,247.0,36.0,4.0,,251.0,287.0,,2021,247.0,287.0,0.0
high,2020-2021,Arapahoe Ridge,,115.0,14.0,6.0,,121.0,135.0,,2021,115.0,135.0,0.0
high,2020-2021,Nederland,99.0,2.0,3.0,,2.0,103.0,106.0,,2021,101.0,106.0,0.0
high,2020-2021,Monarch,1288.0,172.0,102.0,9.0,4.0,1473.0,1575.0,,2021,1460.0,1575.0,0.0
high,2020-2021,Centaurus,1121.0,267.0,57.0,8.0,11.0,1407.0,1464.0,,2021,1388.0,1464.0,0.0
high,2020-2021,Broomfield,869.0,12.0,645.0,1.0,1.0,883.0,1528.0,,2021,881.0,1528.0,0.0
high,2020-2021,Fairview,1336.0,646.0,21.0,20.0,13.0,2015.0,2036.0,,2021,1982.0,2036.0,0.0
high,2020-2021,Boulder,1953.0,128.0,14.0,13.0,8.0,2102.0,2116.0,,2021,2081.0,2116.0,0.0
high,2021-2022,Justice High,,41.0,41.0,,,41.0,82.0,,2022,41.0,82.0,0.0
high,2021-2022,Peak-to-Peak,,437.0,152.0,,1.0,438.0,590.0,,2022,437.0,590.0,0.0
high,2021-2022,Boulder Prep,,50.0,44.0,1.0,2.0,53.0,97.0,,2022,50.0,97.0,0.0
high,2021-2022,New Vista,,245.0,36.0,2.0,,247.0,283.0,,2022,245.0,283.0,0.0
high,2021-2022,Halcyon,,,,6.0,,6.0,6.0,,2022,0.0,6.0,0.0
high,2021-2022,Boulder Universal,,153.0,47.0,2.0,1.0,156.0,203.0,,2022,153.0,203.0,0.0
high,2021-2022,Arapahoe Ridge,,107.0,16.0,4.0,1.0,112.0,128.0,,2022,107.0,128.0,0.0
high,2021-2022,Nederland,118.0,1.0,,,,119.0,119.0,,2022,119.0,119.0,0.0
high,2021-2022,Monarch,1238.0,163.0,91.0,7.0,8.0,1416.0,1507.0,,2022,1401.0,1507.0,0.0
high,2021-2022,Centaurus,1181.0,313.0,52.0,11.0,9.0,1514.0,1566.0,,2022,1494.0,1566.0,0.0
high,2021-2022,Broomfield,875.0,14.0,702.0,1.0,3.0,893.0,1595.0,,2022,889.0,1595.0,0.0
high,2021-2022,Fairview,1290.0,614.0,37.0,17.0,8.0,1929.0,1966.0,,2022,1904.0,1966.0,0.0
high,2021-2022,Boulder,1967.0,123.0,13.0,14.0,6.0,2110.0,2123.0,,2022,2090.0,2123.0,0.0
high,2022-2023,Justice High,,55.0,34.0,5.0,,60.0,94.0,,2023,55.0,94.0,0.0
high,2022-2023,Peak-to-Peak,,455.0,138.0,2.0,1.0,458.0,596.0,,2023,455.0,596.0,0.0
high,2022-2023,Boulder Prep,,49.0,48.0,10.0,1.0,60.0,108.0,,2023,49.0,108.0,0.0
high,2022-2023,New Vista,,267.0,38.0,4.0,,271.0,309.0,,2023,267.0,309.0,0.0
high,2022-2023,Halcyon,,9.0,,6.0,,15.0,15.0,,2023,9.0,15.0,0.0
high,2022-2023,Boulder Universal,,79.0,37.0,8.0,,87.0,124.0,,2023,79.0,124.0,0.0
high,2022-2023,Arapahoe Ridge,,139.0,22.0,20.0,,159.0,181.0,,2023,139.0,181.0,0.0
high,2022-2023,Nederland,122.0,2.0,4.0,,,124.0,128.0,,2023,124.0,128.0,0.0
high,2022-2023,Monarch,1245.0,156.0,97.0,4.0,13.0,1418.0,1515.0,,2023,1401.0,1515.0,0.0
