year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status,district_by_name,district,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,grade_span,level
2024,080249000125,5306,0480,Louisville Middle School,Boulder Valley Re 2,627.0,626.0,33.7,33.0,627.0,39.9843,-105.1329,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,212.0,208.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249000128,5606,0480,Creekside Elementary School at Martin Park,Boulder Valley Re 2,359.0,359.0,20.7,20.0,359.0,39.990267,-105.249807,0.0,1.0,0480,0480,31.0,44.0,47.0,59.0,63.0,56.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249006571,5617,0480,Mapleton Early Childhood Center,Boulder Valley Re 2,68.0,68.0,3.5,3.0,68.0,40.0202,-105.2856,0.0,1.0,0480,0480,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-PK,elementary_or_middle
2024,080249000129,5838,0480,Mesa Elementary School,Boulder Valley Re 2,250.0,250.0,15.9,15.0,250.0,39.9722,-105.2608,0.0,1.0,0480,0480,20.0,33.0,27.0,36.0,41.0,44.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249001632,5999,0480,Monarch High School,Boulder Valley Re 2,1431.0,1431.0,64.5,64.0,1431.0,39.9517,-105.1415,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,350.0,349.0,347.0,9-12,has_high_grades
2024,080249001573,6000,0480,Monarch K-8 School,Boulder Valley Re 2,698.0,698.0,45.6,45.0,698.0,39.9517,-105.1437,0.0,1.0,0480,0480,33.0,41.0,36.0,40.0,41.0,48.0,60.0,126.0,132.0,141.0,0.0,0.0,0.0,0.0,PK-8,elementary_or_middle
2024,080249000465,6195,0480,New Vista High School,Boulder Valley Re 2,327.0,327.0,18.3,18.0,327.0,40.0009,-105.2672,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,79.0,98.0,92.0,9-12,has_high_grades
2024,080249000130,6208,0480,Nederland Elementary School,Boulder Valley Re 2,196.0,196.0,12.2,12.0,196.0,39.9694,-105.5178,0.0,1.0,0480,0480,24.0,33.0,23.0,24.0,33.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249000131,6212,0480,Nederland Middle-Senior High School,Boulder Valley Re 2,235.0,235.0,17.5,17.0,235.0,39.9528,-105.5251,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,29.0,37.0,38.0,18.0,40.0,39.0,6-12,has_high_grades
2024,080249000132,6224,0480,Nevin Platt Middle School,Boulder Valley Re 2,484.0,483.0,28.6,28.0,484.0,40.003,-105.2096,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,187.0,159.0,0.0,0.0,0.0,0.0,6-8,other
