level,school,attendance_area,students
elementary,Boulder Universal,Meadowlark,1.0
elementary,Boulder Universal,Fireside,1.0
elementary,Boulder Universal,Monarch K-8,2.0
elementary,Boulder Universal,Superior,1.0
elementary,Boulder Universal,Nederland,2.0
elementary,BCSIS,Bear Creek*,2.0
elementary,BCSIS,Columbine,19.0
elementary,BCSIS,Creekside*,40.0
elementary,BCSIS,Crest View,39.0
elementary,BCSIS,Douglass,10.0
elementary,BCSIS,Eisenhower,17.0
elementary,BCSIS,Flatirons,15.0
elementary,BCSIS,Foothill,7.0
elementary,BCSIS,Heatherwood,17.0
elementary,BCSIS,Mesa*,4.0
elementary,BCSIS,Whittier,19.0
elementary,BCSIS,Optional Bear Creek/Mesa,1.0
elementary,BCSIS,Lafayette,18.0
elementary,BCSIS,Ryan,3.0
elementary,BCSIS,Sanchez,3.0
elementary,BCSIS,Meadowlark,3.0
elementary,BCSIS,Coal Creek,4.0
elementary,BCSIS,Louisville,6.0
elementary,BCSIS,Eldorado K-8,1.0
elementary,BCSIS,Nederland,3.0
elementary,Nederland Elem.,Flatirons,1.0
elementary,Nederland Elem.,Louisville,1.0
elementary,Nederland Elem.,Nederland,163.0
elementary,Jamestown,Jamestown,6.0
elementary,Jamestown,Nederland,11.0
elementary,Gold Hill,Columbine,1.0
elementary,Gold Hill,Flatirons,1.0
elementary,Gold Hill,Foothill,1.0
elementary,Gold Hill,Whittier,1.0
elementary,Gold Hill,Gold Hill,7.0
elementary,Superior,Creekside*,1.0
elementary,Superior,Douglass,2.0
elementary,Superior,Aspen Creek K-8,3.0
elementary,Superior,Birch,1.0
elementary,Superior,Emerald,4.0
elementary,Superior,Kohl,1.0
elementary,Superior,Ryan,3.0
elementary,Superior,Sanchez,3.0
elementary,Superior,Fireside,3.0
elementary,Superior,Louisville,3.0
elementary,Superior,Monarch K-8,33.0
elementary,Superior,Eldorado K-8,39.0
elementary,Superior,Superior,313.0
elementary,Superior,Nederland,1.0
elementary,Eldorado K-8,Mesa*,2.0
elementary,Eldorado K-8,Aspen Creek K-8,3.0
elementary,Eldorado K-8,Emerald,14.0
elementary,Eldorado K-8,Kohl,1.0
elementary,Eldorado K-8,Ryan,1.0
elementary,Eldorado K-8,Meadowlark,2.0
elementary,Eldorado K-8,Monarch K-8,14.0
elementary,Eldorado K-8,Eldorado K-8,169.0
elementary,Eldorado K-8,Superior,10.0
elementary,Monarch K-8,Mesa*,1.0
elementary,Monarch K-8,Aspen Creek K-8,4.0
elementary,Monarch K-8,Birch,2.0
elementary,Monarch K-8,Emerald,6.0
elementary,Monarch K-8,Kohl,2.0
elementary,Monarch K-8,Lafayette,2.0
elementary,Monarch K-8,Ryan,12.0
elementary,Monarch K-8,Sanchez,7.0
elementary,Monarch K-8,Meadowlark,3.0
elementary,Monarch K-8,Coal Creek,2.0
elementary,Monarch K-8,Louisville,4.0
elementary,Monarch K-8,Monarch K-8,149.0
elementary,Monarch K-8,Eldorado K-8,11.0
elementary,Monarch K-8,Superior,9.0
elementary,Louisville Elem.,Douglass,3.0
elementary,Louisville Elem.,Lafayette,15.0
elementary,Louisville Elem.,Ryan,3.0
elementary,Louisville Elem.,Sanchez,3.0
elementary,Louisville Elem.,Meadowlark,7.0
elementary,Louisville Elem.,Coal Creek,7.0
elementary,Louisville Elem.,Fireside,4.0
elementary,Louisville Elem.,Louisville,317.0
elementary,Louisville Elem.,Monarch K-8,4.0
elementary,Fireside,Columbine,1.0
elementary,Fireside,Douglass,3.0
elementary,Fireside,Aspen Creek K-8,2.0
elementary,Fireside,Birch,1.0
elementary,Fireside,Emerald,1.0
elementary,Fireside,Lafayette,12.0
elementary,Fireside,Ryan,10.0
elementary,Fireside,Sanchez,4.0
elementary,Fireside,Meadowlark,2.0
elementary,Fireside,Coal Creek,13.0
elementary,Fireside,Fireside,259.0
elementary,Fireside,Louisville,13.0
elementary,Fireside,Monarch K-8,54.0
elementary,Fireside,Superior,1.0
elementary,Coal Creek,Foothill,1.0
elementary,Coal Creek,Lafayette,3.0
elementary,Coal Creek,Ryan,1.0
elementary,Coal Creek,Sanchez,4.0
elementary,Coal Creek,Meadowlark,1.0
elementary,Coal Creek,Coal Creek,223.0
elementary,Coal Creek,Fireside,4.0
elementary,Coal Creek,Louisville,10.0
elementary,Coal Creek,Monarch K-8,5.0
elementary,Coal Creek,Eldorado K-8,1.0
elementary,Meadowlark,Columbine,2.0
elementary,Meadowlark,Emerald,1.0
elementary,Meadowlark,Lafayette,2.0
elementary,Meadowlark,Ryan,3.0
elementary,Meadowlark,Sanchez,20.0
elementary,Meadowlark,Meadowlark,406.0
elementary,Meadowlark,Monarch K-8,2.0
elementary,Sanchez,Lafayette,10.0
elementary,Sanchez,Ryan,24.0
elementary,Sanchez,Sanchez,225.0
elementary,Sanchez,Coal Creek,1.0
elementary,Sanchez,Louisville,3.0
elementary,Sanchez,Nederland,1.0
elementary,Ryan,Emerald,1.0
elementary,Ryan,Kohl,1.0
elementary,Ryan,Lafayette,10.0
elementary,Ryan,Ryan,342.0
elementary,Ryan,Sanchez,16.0
elementary,Ryan,Fireside,1.0
elementary,Ryan,Louisville,1.0
elementary,Lafayette Elem.,Columbine,1.0
elementary,Lafayette Elem.,Aspen Creek K-8,1.0
elementary,Lafayette Elem.,Birch,1.0
elementary,Lafayette Elem.,Lafayette,331.0
elementary,Lafayette Elem.,Ryan,14.0
elementary,Lafayette Elem.,Sanchez,72.0
elementary,Lafayette Elem.,Meadowlark,12.0
elementary,Lafayette Elem.,Coal Creek,1.0
elementary,Lafayette Elem.,Louisville,1.0
elementary,Kohl,Aspen Creek K-8,13.0
elementary,Kohl,Birch,8.0
elementary,Kohl,Emerald,5.0
elementary,Kohl,Kohl,187.0
elementary,Kohl,Ryan,1.0
elementary,Kohl,Monarch K-8,1.0
elementary,Emerald,Aspen Creek K-8,12.0
elementary,Emerald,Birch,6.0
elementary,Emerald,Emerald,243.0
elementary,Emerald,Kohl,17.0
elementary,Emerald,Lafayette,1.0
elementary,Emerald,Ryan,3.0
elementary,Emerald,Sanchez,1.0
elementary,Emerald,Monarch K-8,2.0
elementary,Birch,Flatirons,2.0
elementary,Birch,Aspen Creek K-8,3.0
elementary,Birch,Birch,183.0
elementary,Birch,Emerald,11.0
elementary,Birch,Kohl,5.0
elementary,Birch,Sanchez,2.0
elementary,Aspen Creek K-8,Creekside*,1.0
elementary,Aspen Creek K-8,Douglass,1.0
elementary,Aspen Creek K-8,Aspen Creek K-8,244.0
elementary,Aspen Creek K-8,Birch,44.0
elementary,Aspen Creek K-8,Emerald,20.0
elementary,Aspen Creek K-8,Kohl,11.0
elementary,Aspen Creek K-8,Ryan,3.0
elementary,Aspen Creek K-8,Sanchez,5.0
elementary,Aspen Creek K-8,Eldorado K-8,2.0
elementary,Whittier,Columbine,52.0
elementary,Whittier,Creekside*,4.0
elementary,Whittier,Crest View,8.0
elementary,Whittier,Douglass,2.0
elementary,Whittier,Eisenhower,4.0
elementary,Whittier,Flatirons,9.0
elementary,Whittier,Foothill,8.0
elementary,Whittier,Heatherwood,4.0
elementary,Whittier,Whittier,152.0
elementary,Whittier,Ryan,1.0
elementary,Whittier,Sanchez,1.0
elementary,Whittier,Gold Hill,1.0
elementary,Mesa *,Bear Creek*,16.0
elementary,Mesa *,Columbine,1.0
elementary,Mesa *,Creekside*,13.0
elementary,Mesa *,Crest View,3.0
elementary,Mesa *,Douglass,1.0
elementary,Mesa *,Eisenhower,1.0
elementary,Mesa *,Flatirons,1.0
elementary,Mesa *,Heatherwood,1.0
elementary,Mesa *,Mesa*,118.0
elementary,Mesa *,Whittier,1.0
elementary,Mesa *,Optional Bear Creek/Mesa,38.0
elementary,Mesa *,Lafayette,3.0
elementary,Mesa *,Meadowlark,1.0
elementary,Mesa *,Fireside,1.0
elementary,Mesa *,Eldorado K-8,2.0
elementary,Mesa *,Nederland,3.0
elementary,Heatherwood,Creekside*,1.0
elementary,Heatherwood,Crest View,12.0
elementary,Heatherwood,Douglass,1.0
elementary,Heatherwood,Eisenhower,1.0
elementary,Heatherwood,Heatherwood,190.0
elementary,Heatherwood,Ryan,1.0
elementary,Heatherwood,Meadowlark,1.0
elementary,Foothill,Columbine,44.0
elementary,Foothill,Crest View,49.0
elementary,Foothill,Flatirons,4.0
elementary,Foothill,Foothill,304.0
elementary,Foothill,Heatherwood,2.0
elementary,Foothill,Whittier,10.0
elementary,Foothill,Kohl,1.0
elementary,Foothill,Lafayette,2.0
elementary,Foothill,Monarch K-8,3.0
elementary,Flatirons,Columbine,8.0
elementary,Flatirons,Creekside*,3.0
elementary,Flatirons,Flatirons,116.0
elementary,Flatirons,Foothill,5.0
elementary,Flatirons,Whittier,6.0
elementary,Flatirons,Emerald,1.0
elementary,Flatirons,Gold Hill,1.0
elementary,Eisenhower,Columbine,12.0
elementary,Eisenhower,Creekside*,4.0
elementary,Eisenhower,Crest View,4.0
elementary,Eisenhower,Douglass,11.0
elementary,Eisenhower,Eisenhower,206.0
elementary,Eisenhower,Heatherwood,3.0
elementary,Eisenhower,Whittier,3.0
elementary,Eisenhower,Kohl,2.0
elementary,Eisenhower,Ryan,2.0
elementary,Eisenhower,Sanchez,1.0
elementary,Eisenhower,Meadowlark,1.0
elementary,Eisenhower,Jamestown,1.0
elementary,Eisenhower,Nederland,1.0
elementary,Douglass,Columbine,1.0
elementary,Douglass,Crest View,2.0
elementary,Douglass,Douglass,164.0
elementary,Douglass,Eisenhower,2.0
elementary,Douglass,Heatherwood,23.0
elementary,Douglass,Birch,1.0
elementary,Douglass,Lafayette,39.0
elementary,Douglass,Sanchez,11.0
elementary,Douglass,Meadowlark,5.0
elementary,Douglass,Coal Creek,7.0
elementary,Douglass,Louisville,3.0
elementary,Douglass,Eldorado K-8,1.0
elementary,Crest View,Columbine,6.0
elementary,Crest View,Creekside*,1.0
elementary,Crest View,Crest View,303.0
elementary,Crest View,Flatirons,1.0
elementary,Crest View,Foothill,2.0
elementary,Crest View,Heatherwood,2.0
elementary,Crest View,Whittier,2.0
elementary,Crest View,Nederland,2.0
elementary,Creekside *,Bear Creek*,1.0
elementary,Creekside *,Columbine,4.0
elementary,Creekside *,Creekside*,235.0
elementary,Creekside *,Crest View,4.0
elementary,Creekside *,Douglass,1.0
elementary,Creekside *,Eisenhower,11.0
elementary,Creekside *,Heatherwood,1.0
elementary,Creekside *,Mesa*,1.0
elementary,Creekside *,Whittier,5.0
elementary,Creekside *,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,5.0
elementary,Creekside *,Optional Bear Creek/Mesa,3.0
elementary,Creekside *,Emerald,1.0
elementary,Creekside *,Sanchez,2.0
elementary,Creekside *,Meadowlark,1.0
elementary,Creekside *,Nederland,2.0
elementary,Columbine,Columbine,221.0
elementary,Columbine,Creekside*,1.0
elementary,Columbine,Crest View,38.0
elementary,Columbine,Eisenhower,4.0
elementary,Columbine,Foothill,7.0
elementary,Columbine,Heatherwood,5.0
elementary,Columbine,Mesa*,1.0
elementary,Columbine,Whittier,10.0
elementary,Columbine,Kohl,1.0
elementary,Columbine,Meadowlark,1.0
elementary,Columbine,Louisville,1.0
elementary,Bear Creek *,Bear Creek*,131.0
elementary,Bear Creek *,Columbine,2.0
elementary,Bear Creek *,Creekside*,13.0
elementary,Bear Creek *,Crest View,4.0
elementary,Bear Creek *,Douglass,4.0
elementary,Bear Creek *,Eisenhower,2.0
elementary,Bear Creek *,Flatirons,4.0
elementary,Bear Creek *,Mesa*,27.0
elementary,Bear Creek *,Whittier,2.0
elementary,Bear Creek *,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,15.0
elementary,Bear Creek *,Optional Bear Creek/Mesa,70.0
elementary,Bear Creek *,Lafayette,2.0
elementary,Bear Creek *,Ryan,1.0
elementary,Bear Creek *,Sanchez,1.0
elementary,Bear Creek *,Coal Creek,4.0
elementary,Bear Creek *,Fireside,2.0
elementary,Bear Creek *,Louisville,1.0
elementary,Bear Creek *,Superior,1.0
middle,Peak to Peak,Manhattan,2.0
middle,Peak to Peak,Casey,1.0
middle,Peak to Peak,Centennial,6.0
middle,Peak to Peak,Platt,8.0
middle,Peak to Peak,Southern Hills,1.0
middle,Peak to Peak,Aspen Creek K-8,23.0
middle,Peak to Peak,Broomfield Heights,14.0
middle,Peak to Peak,Angevine,160.0
middle,Peak to Peak,Meadowlark,69.0
middle,Peak to Peak,Louisville Middle,27.0
middle,Peak to Peak,Monarch K-8,11.0
middle,Peak to Peak,Eldorado K-8,10.0
middle,Justice High,Angevine,2.0
middle,Summit,Manhattan,61.0
middle,Summit,Casey,50.0
middle,Summit,Centennial,63.0
middle,Summit,Platt,17.0
middle,Summit,Southern Hills,85.0
middle,Summit,Aspen Creek K-8,1.0
middle,Summit,Broomfield Heights,1.0
middle,Summit,Angevine,14.0
middle,Summit,Meadowlark,6.0
middle,Summit,Louisville Middle,9.0
middle,Summit,Monarch K-8,12.0
middle,Summit,Eldorado K-8,38.0
middle,Summit,Nederland,1.0
middle,Horizons,Manhattan,26.0
middle,Horizons,Casey,10.0
middle,Horizons,Centennial,22.0
middle,Horizons,Platt,18.0
middle,Horizons,Southern Hills,6.0
middle,Horizons,Aspen Creek K-8,1.0
middle,Horizons,Angevine,15.0
middle,Horizons,Meadowlark,1.0
