ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude_x,longitude_x,last_district,last_name,last_enrollment,latitude_y,longitude_y
080336006407,2187,DENVER VENTURE CHARTER SCHOOL,0880,2008,2010,closed,high,CCD school_status=2,39.755839,-104.985364,0880,DENVER VENTURE CHARTER SCHOOL,129.0,39.755839,-104.985364
080336006441,2755,ENVISION LEADERSHIP PREP;VENTURE PREP;VENTURE PREP HIGH SCHOOL,0880,2009,2018,closed,high,CCD school_status=2,39.75892,-104.942031,0880,VENTURE PREP HIGH SCHOOL,133.0,39.75892,-104.942031
080336006442,4795,KUNSMILLER CREATIVE ARTS ACADEMY;Kunsmiller Creative Arts Academy,0880,2009,2024,still_open,high,reported in 2024,39.676,-105.0402,0880,Kunsmiller Creative Arts Academy,670.0,39.676,-105.0402
080336006443,4494,JUSTICE HIGH SCHOOL DENVER;DENVER JUSTICE HIGH SCHOOL;Denver Justice High School,0880,2009,2024,still_open,high,reported in 2024,39.73012,-104.983231,0880,Denver Justice High School,106.0,39.73012,-104.983231
080336006444,9389,WEST DENVER PREP: HARVEY PARK CAMPUS;STRIVE PREP - WESTWOOD;STRIVE Prep - Westwood;Rocky Mountain Prep Westwood,0880,2009,2024,still_open,high,reported in 2024,39.695381,-105.028579,0880,Rocky Mountain Prep Westwood,411.0,39.695381,-105.028579
080336006445,5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY;Mathematics and Science Leadership Academy,0880,2009,2023,closed,high,CCD school_status=2,39.708704,-105.011432,0880,Mathematics and Science Leadership Academy,116.0,39.708704,-105.011432
080336006446,5430,MANNY MARTINEZ MIDDLE SCHOOL,0880,2009,2012,closed,high,CCD school_status=2,39.73134,-104.994511,0880,MANNY MARTINEZ MIDDLE SCHOOL,119.0,39.73134,-104.994511
080336006448,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL;KIPP Denver Collegiate High School,0880,2009,2024,still_open,high,reported in 2024,39.708704,-105.011432,0880,KIPP Denver Collegiate High School,477.0,39.708704,-105.011432
080336006449,1345,CESAR CHAVEZ ACADEMY DENVER;ROCKY MOUNTAIN PREP BERKELEY;Rocky Mountain Prep: Berkeley;Rocky Mountain Prep Berkeley,0880,2009,2024,still_open,high,reported in 2024,39.7687,-105.0437,0880,Rocky Mountain Prep Berkeley,329.0,39.7687,-105.0437
080336006450,2145,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR;DSST: GREEN VALLEY RANCH HIGH SCHOOL;DSST: Green Valley Ranch High School,0880,2010,2024,still_open,high,reported in 2024,39.785096,-104.780352,0880,DSST: Green Valley Ranch High School,562.0,39.785096,-104.780352
080336006453,2125,DENVER GREEN SCHOOL;Denver Green School Southeast,0880,2010,2024,still_open,high,reported in 2024,39.7072,-104.9093,0880,Denver Green School Southeast,586.0,39.7072,-104.9093
